"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.707083331E-3,-4.235822421E-1,6.991091833E-1,8.217817211E-1,1.159094803E0
7.326916661E-3,3.335982710E-1,1.458826511E0,1.325086071E0,1.998828580E0
1.736091667E-2,4.566301203E-1,1.525466351E0,1.608895885E0,2.263648520E0
2.739591667E-2,4.617417562E-1,1.228126810E0,2.030177248E0,2.417254759E0
3.742991667E-2,-2.522822124E-1,5.638747796E-1,2.081517556E0,2.171247664E0
4.746391666E-2,-5.930234420E-1,2.140947779E-1,2.043406574E0,2.138462953E0
5.749791667E-2,1.159174250E0,4.633108565E-1,1.468889569E0,1.927687334E0
6.753191666E-2,9.857353091E-1,8.303677726E-1,9.516162211E-1,1.602110536E0
7.756691666E-2,5.547066379E-1,5.352022999E-1,7.555169803E-1,1.079327042E0
8.760091667E-2,1.194951609E0,-7.539790164E-1,1.243464788E0,1.882179158E0
9.763491667E-2,2.614409986E0,-1.544860103E0,1.057743185E0,3.215673018E0
1.076689167E-1,2.921235026E0,-2.491653541E0,-7.135099983E-1,3.905259014E0
1.177033333E-1,3.016307244E0,-3.271680003E0,-2.262619858E0,4.992138625E0
1.277373333E-1,2.861450754E0,-3.059499165E0,-2.268766451E0,4.764004279E0
1.377713333E-1,3.035667375E0,-2.811148620E0,-1.736195033E0,4.486892707E0
1.478053333E-1,2.457190052E0,-2.467904490E0,-1.737567374E0,3.891975835E0
1.578393333E-1,1.634391500E0,-2.527489664E0,-2.608368058E0,3.982841134E0
1.678743333E-1,2.080218889E0,-3.106760454E0,-3.558630649E0,5.161697709E0
1.779083333E-1,2.393616199E0,-3.643441296E0,-3.663663014E0,5.694426193E0
1.879423333E-1,2.452588878E0,-4.384556292E0,-3.414536544E0,6.074420622E0
1.979763333E-1,2.092895945E0,-4.878030887E0,-3.271253448E0,6.235102076E0
2.080113333E-1,7.755360925E-1,-5.207495762E0,2.324928957E-1,5.270058945E0
2.180453333E-1,1.373394012E-2,-3.977306785E0,8.334960330E-1,4.063726555E0
2.280793333E-1,-2.993955678E0,-6.418741514E-1,-6.233242983E-1,3.124788986E0
2.381133333E-1,-4.840309914E0,3.624535494E-1,1.460398827E0,5.068800388E0
2.481483333E-1,-4.970171896E0,5.211856286E-2,4.954596668E0,7.018073323E0
2.581823333E-1,-4.362969833E0,-3.709129721E-1,8.029152705E0,9.145511214E0
2.682163333E-1,-2.274810133E0,-6.928604101E-1,7.689426552E0,8.048732657E0
2.782503333E-1,2.164709693E0,1.331275330E-1,9.845534699E0,1.008157946E1
2.882853333E-1,5.378461915E0,2.431831701E0,1.396901690E1,1.516492965E1
2.983193333E-1,2.678911791E0,4.260135144E0,1.348273205E1,1.439129540E1
3.083533333E-1,-2.560630220E0,4.080814489E0,9.661367286E0,1.079592015E1
3.183873333E-1,-6.560744362E0,1.963116263E0,6.873855159E0,9.702941656E0
3.284213333E-1,-9.366553012E0,1.241369146E0,4.214881203E0,1.034594298E1
3.384563333E-1,-7.630762607E0,1.931304778E0,2.367841673E-1,7.874931292E0
3.484903333E-1,-2.294799278E0,2.492011683E0,-3.121171795E0,4.606293448E0
3.585243333E-1,1.638479581E0,2.262354979E0,-5.142576465E0,5.852260938E0
3.685583333E-1,2.768443188E0,7.306265527E-1,-6.453951985E0,7.060565775E0
3.785933333E-1,2.100400262E0,-1.709456885E0,-6.923831311E0,7.434605848E0
3.886273333E-1,1.768384247E0,-3.989130147E0,-7.570018807E0,8.737592741E0
3.986613333E-1,2.631120744E0,-6.318404755E0,-8.127177182E0,1.062525501E1
4.086953333E-1,4.222158940E0,-8.550262996E0,-8.099761927E0,1.251158530E1
4.187293333E-1,6.692647022E0,-1.026334632E1,-7.548189397E0,1.439107241E1
4.287643333E-1,8.833482242E0,-1.162319351E1,-7.050705366E0,1.621238668E1
4.387983333E-1,1.032969585E1,-1.326020807E1,-7.284081191E0,1.831921322E1
4.488323333E-1,1.172554668E1,-1.444342256E1,-7.139411720E0,1.992666806E1
4.588663333E-1,1.305098417E1,-1.510177227E1,-6.815757809E0,2.109137899E1
4.689013333E-1,1.351948063E1,-1.525676558E1,-6.225999452E0,2.131450965E1
4.789353333E-1,1.356239685E1,-1.487931495E1,-5.504437838E0,2.087178616E1
4.889693333E-1,1.305372183E1,-1.443926519E1,-4.471545904E0,1.997214950E1
4.990033333E-1,1.222450128E1,-1.434642193E1,-4.258368115E0,1.932335253E1
5.090383333E-1,1.046339477E1,-1.339804214E1,-3.013812822E0,1.726479746E1
5.190723333E-1,9.473236046E0,-1.193766495E1,-1.141051390E0,1.528240963E1
5.291063333E-1,8.082359444E0,-1.117600547E1,2.230034494E-1,1.379410610E1
5.391403333E-1,6.826407927E0,-1.066648261E1,1.431574978E0,1.274453229E1
5.491743333E-1,5.678739243E0,-9.846927506E0,3.013672489E0,1.175977392E1
5.592093333E-1,3.965008628E0,-9.075164621E0,3.984601479E0,1.067506231E1
5.692433333E-1,2.765142435E0,-8.495403249E0,4.366970791E0,9.944260804E0
5.792773333E-1,1.428291766E0,-7.619549401E0,4.953661698E0,9.199799708E0
5.893113333E-1,4.190547431E-1,-6.747652949E0,5.859672561E0,8.946630076E0
5.993463333E-1,-4.340721470E-1,-6.835028477E0,5.834295645E0,8.996946070E0
6.093803333E-1,-2.395569170E0,-7.201154809E0,5.366595576E0,9.294930355E0
6.194143333E-1,-5.442662589E0,-7.121649048E0,4.896684090E0,1.021361720E1
6.294483333E-1,-8.884927799E0,-6.337411714E0,4.245618846E0,1.171025229E1
6.394833333E-1,-1.259303375E1,-5.399163398E0,3.079820285E0,1.404353080E1
6.495173333E-1,-1.614076986E1,-4.541557540E0,1.324817684E0,1.681979009E1
6.595513333E-1,-1.978766540E1,-3.747437535E0,-4.029998969E-1,2.014342074E1
6.695853333E-1,-2.296734385E1,-3.258059791E0,-2.975915848E0,2.338738789E1
6.796193333E-1,-2.483648352E1,-2.938299248E0,-6.671008816E0,2.588410467E1
6.896543333E-1,-2.464166131E1,-2.607787137E0,-1.012994678E1,2.676990563E1
6.996883333E-1,-2.206796256E1,-2.225332164E0,-1.207446641E1,2.525351092E1
7.097223333E-1,-2.000888194E1,-2.155075529E0,-1.355453235E1,2.426365706E1
7.197563333E-1,-1.897071816E1,-3.031848851E0,-1.457941126E1,2.411720314E1
7.297913333E-1,-1.855918644E1,-4.486965888E0,-1.464452702E1,2.406321749E1
7.398253333E-1,-1.814353829E1,-4.628441610E0,-1.345071971E1,2.305498458E1
7.498593333E-1,-1.891036554E1,-2.922722265E0,-1.112533233E1,2.213407440E1
7.598933333E-1,-2.116449991E1,-7.878146607E-1,-8.022534242E0,2.264768783E1
7.699273333E-1,-2.291212742E1,9.169583121E-1,-5.629554219E0,2.361140141E1
7.799623333E-1,-2.278001309E1,2.669364750E0,-3.970398592E0,2.327699658E1
7.899963333E-1,-2.000499003E1,4.581584363E0,-2.675400538E0,2.069657724E1
8.000303333E-1,-1.642170519E1,5.759006896E0,-3.372207381E0,1.772597936E1
8.100643333E-1,-1.230643715E1,6.430901676E0,-4.640072014E0,1.464018989E1
8.200993333E-1,-6.713758979E0,6.487456530E0,-4.775597609E0,1.048656209E1
8.301333333E-1,-2.142053195E0,5.528527197E0,-4.325915151E0,7.339383267E0
8.401673333E-1,1.756248643E0,3.878423936E0,-4.490531813E0,6.188009170E0
8.502013333E-1,5.823658390E0,2.610048548E0,-3.622840093E0,7.338414053E0
