"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.199291674E-3,1.667801321E0,8.795712152E-1,8.983375615E-1,2.088592143E0
1.223329167E-2,1.583376297E0,7.424078152E-1,1.097649847E0,2.064723965E0
2.226829166E-2,1.982568634E0,7.247783869E-1,1.297900026E0,2.477988413E0
3.230229167E-2,1.555634183E0,5.526029193E-1,1.435249368E0,2.187534787E0
4.233629168E-2,2.133595197E0,3.628210103E-1,1.334301283E0,2.542484506E0
5.237029167E-2,3.346010685E0,3.920429456E-1,7.001561272E-1,3.440887063E0
6.240429168E-2,4.279382424E0,8.134488541E-1,-2.073001671E-1,4.360938698E0
7.243929167E-2,4.740121382E0,8.099773622E-1,-6.327535182E-1,4.850277421E0
8.247329167E-2,4.703699076E0,1.724940860E-1,-1.046693702E0,4.821836467E0
9.250729167E-2,4.563538393E0,-5.801464844E-1,-1.656538414E0,4.889434745E0
1.025412917E-1,4.565380851E0,-1.249477333E0,-1.724495924E0,5.037636560E0
1.125762917E-1,4.510684242E0,-1.737862366E0,-1.832622051E0,5.169617153E0
1.226102917E-1,3.948624145E0,-2.125751742E0,-2.334728891E0,5.055829517E0
1.326442917E-1,3.050376046E0,-2.626298837E0,-2.714910759E0,4.855201339E0
1.426782917E-1,2.532700410E0,-3.106617490E0,-2.731533809E0,4.850455705E0
1.527122917E-1,2.903673791E0,-3.443165097E0,-2.781522240E0,5.293729625E0
1.627472917E-1,3.631587820E0,-3.548469942E0,-3.050053280E0,5.923081465E0
1.727812917E-1,4.166706870E0,-3.608497458E0,-2.816040693E0,6.189732243E0
1.828152917E-1,4.523276805E0,-3.911286750E0,-2.066069797E0,6.326676971E0
1.928492917E-1,4.742616682E0,-4.296640481E0,-2.495655960E0,6.868903193E0
2.028832917E-1,4.929924341E0,-4.654931543E0,-3.569988281E0,7.662725234E0
2.129182917E-1,4.553292025E0,-4.668583915E0,-4.097113017E0,7.701589389E0
2.229522917E-1,3.835219737E0,-4.519132884E0,-4.265177783E0,7.302274575E0
2.329862917E-1,2.746998817E0,-4.208902133E0,-3.676139218E0,6.226946219E0
2.430202917E-1,1.607825845E0,-3.820215197E0,-3.267945678E0,5.278126282E0
2.530542917E-1,2.726172204E-1,-3.119587784E0,-2.508654905E0,4.012417915E0
2.630892917E-1,-1.768918390E0,-2.343372830E0,1.297672570E-2,2.936092111E0
2.731232917E-1,-4.444187951E0,-1.939024565E0,-1.304028493E-1,4.850528601E0
2.831572917E-1,-5.513956520E0,-6.475341830E-1,-2.488060427E-1,5.557420397E0
2.931912917E-1,-5.965007227E0,4.196392453E-1,-7.819007868E-1,6.030653128E0
3.032252917E-1,-7.773758605E0,1.205981650E-1,-3.003194278E-1,7.780492177E0
3.132602917E-1,-8.994989355E0,-1.844584577E-2,-3.830189377E-1,9.003159292E0
3.232942917E-1,-9.519119732E0,2.119092714E-1,-1.333409582E0,9.614391667E0
3.333282917E-1,-9.376137768E0,5.435604561E-1,-1.566397153E0,9.521607924E0
