"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.833624992E-3,7.279052585E-2,-1.418086621E0,1.529983617E0,2.087371072E0
8.200374999E-3,-3.755885884E-1,-1.298864525E0,2.684608734E-1,1.378472735E0
1.823437501E-2,-5.154966715E-1,-4.433519706E-1,-1.413109471E0,1.568176063E0
2.826837500E-2,-9.056667539E-1,-1.311393061E-1,-2.112798405E0,2.302465393E0
3.830337501E-2,-1.104046116E0,-1.236624715E-1,-2.900610727E0,3.106083197E0
4.833737500E-2,-1.197025909E0,1.406416163E-1,-3.338758968E0,3.549642593E0
5.837137501E-2,-1.298052054E0,3.997729647E-1,-3.540099653E0,3.791709787E0
6.840537500E-2,-1.659044530E0,4.535401592E-1,-3.858791032E0,4.224736165E0
7.844037500E-2,-2.457430665E0,3.912386611E-1,-3.960733144E0,4.677546387E0
8.847437501E-2,-3.599129342E0,4.710619256E-1,-3.337347450E0,4.930874097E0
9.850800001E-2,-4.451216889E0,7.179334170E-1,-2.417845307E0,5.116125107E0
1.085420000E-1,-5.073958805E0,8.162093246E-1,-1.757208756E0,5.431301706E0
1.185770000E-1,-5.610530888E0,6.910058194E-1,-1.371507701E0,5.816921803E0
1.286110000E-1,-5.885607301E0,3.574449706E-1,-1.206819702E0,6.018683743E0
1.386450000E-1,-6.603786886E0,-1.424416816E-1,-1.489974629E0,6.771286086E0
1.486790000E-1,-7.666390861E0,-1.479031272E-1,8.533625329E-1,7.715157275E0
1.587140000E-1,-8.345527418E0,-9.105374846E-1,5.056114272E0,9.800061118E0
1.687480000E-1,-7.458026501E0,-2.261596449E0,8.251877827E0,1.135035090E1
1.787820000E-1,-6.214618431E0,-2.211798637E0,1.124826068E1,1.303981993E1
1.888160000E-1,-5.332600449E0,-6.795796292E-1,1.525038861E1,1.617012086E1
1.988510000E-1,-5.262778847E0,-1.415751243E-1,1.815060640E1,1.889871417E1
2.088850000E-1,-6.681526203E0,-2.250923672E0,1.872837797E1,2.001153645E1
2.189190000E-1,-7.424728947E0,-6.110443268E0,1.718679347E1,1.969390735E1
2.289530000E-1,-3.916448087E0,-7.980503286E0,1.583396061E1,1.815878044E1
2.389870000E-1,3.036424005E0,-7.840577077E0,1.324040472E1,1.568447757E1
2.490220000E-1,9.097617345E0,-7.927646211E0,9.992547734E0,1.566732989E1
2.590560000E-1,1.343782543E1,-7.499156401E0,8.014328259E0,1.735056070E1
2.690900000E-1,1.542757678E1,-7.179316043E0,6.402294173E0,1.818081612E1
2.791240000E-1,1.521823009E1,-7.558603873E0,4.701530344E0,1.763041143E1
2.891590000E-1,1.345867660E1,-8.338511928E0,2.875935477E0,1.609154318E1
2.991930000E-1,1.090302470E1,-9.167551214E0,1.652556606E0,1.434053298E1
3.092270000E-1,8.129261130E0,-9.264724336E0,1.082573825E0,1.237303397E1
3.192610000E-1,5.959431907E0,-8.627057987E0,4.439007318E-1,1.049466560E1
3.292960000E-1,4.530260135E0,-7.979000552E0,-3.809776747E-1,9.183291931E0
