"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.865416751E-4,4.387867570E-2,-5.405205910E0,-1.787658716E0,5.693320644E0
1.062054167E-2,4.122124775E-1,-5.592896855E0,-2.770119000E0,6.254915957E0
2.065454167E-2,5.271187435E-1,-6.021590733E0,-2.613294922E0,6.585341257E0
3.068854166E-2,1.108833378E0,-5.898450125E0,-3.053214869E0,6.733746831E0
4.072254167E-2,2.003614955E0,-5.382450886E0,-3.649522108E0,6.804723510E0
5.075754167E-2,1.845103956E0,-5.309268889E0,-3.553596781E0,6.649871790E0
6.079154166E-2,2.218023729E0,-4.973794831E0,-4.354282333E0,6.972663689E0
7.082554167E-2,2.251869459E0,-4.884243554E0,-5.743831033E0,7.868821137E0
8.085954167E-2,2.167587985E0,-4.827341375E0,-6.645561733E0,8.495007544E0
9.089354167E-2,2.067266137E0,-4.921855184E0,-7.124050500E0,8.902266187E0
1.009275417E-1,1.865635723E0,-5.170018033E0,-7.239282163E0,9.089383332E0
1.109611250E-1,1.611561046E0,-5.455898931E0,-7.216555206E0,9.189267174E0
1.209951250E-1,1.228073162E0,-5.816199682E0,-7.073384376E0,9.239540517E0
1.310301250E-1,8.110630439E-1,-6.037938963E0,-6.791046306E0,9.123203391E0
1.410641250E-1,4.430641414E-1,-6.077053328E0,-6.363367504E0,8.810183254E0
1.510981250E-1,2.003363525E-1,-5.977303337E0,-6.016845717E0,8.483555989E0
1.611321250E-1,-8.862602837E-2,-5.779703116E0,-5.675108122E0,8.100597193E0
1.711661250E-1,-2.995671105E-1,-5.448118041E0,-5.249957657E0,7.571907688E0
1.812001250E-1,-3.197610544E-1,-5.140170920E0,-4.748729069E0,7.005286004E0
1.912341250E-1,-2.689271888E-1,-4.624652907E0,-4.146048950E0,6.216868845E0
2.012681250E-1,-1.984379809E-1,-3.714990458E0,-3.502070532E0,5.109308147E0
2.113031250E-1,-4.681584176E-1,-2.633647910E0,-2.796410421E0,3.869778399E0
2.213371250E-1,-5.614177796E-1,-1.051431116E0,-2.039453856E0,2.362217040E0
2.313711250E-1,-1.444357868E0,8.377042741E-1,-6.455033720E-1,1.790137622E0
2.414051250E-1,-2.706297226E0,2.724047034E0,1.407772132E0,4.089779859E0
2.514391250E-1,-3.755612234E0,4.705007098E0,3.738212090E0,7.086320955E0
2.614731250E-1,-4.763182801E0,6.605770846E0,5.823504024E0,1.001185887E1
2.715071250E-1,-5.633733224E0,8.278275082E0,8.415244939E0,1.307995167E1
2.815411250E-1,-5.455473254E0,1.023688650E1,1.080878162E1,1.585515039E1
2.915761250E-1,-4.213803561E0,1.238569616E1,1.211650321E1,1.783174865E1
3.016101250E-1,-3.278573870E0,1.368251737E1,1.282968577E1,1.904103897E1
3.116441250E-1,-2.734573776E0,1.393699287E1,1.245468161E1,1.889012329E1
3.216781250E-1,-2.010831735E0,1.451104678E1,1.208904469E1,1.899365484E1
3.317121250E-1,-1.757714102E0,1.471131508E1,1.121044791E1,1.857919516E1
3.417461250E-1,-1.836163563E0,1.458322715E1,9.995735636E0,1.777517205E1
3.517801250E-1,-2.169543002E0,1.404293039E1,9.368265077E0,1.701984728E1
3.618141250E-1,-2.970420050E0,1.297866697E1,9.531211190E0,1.637416191E1
3.718491250E-1,-3.982817201E0,1.132379502E1,9.922744843E0,1.557408205E1
3.818831250E-1,-4.602038215E0,9.205887313E0,9.914852271E0,1.429095562E1
3.919171250E-1,-4.524011216E0,6.886429596E0,9.351246171E0,1.246336211E1
4.019511250E-1,-3.820658416E0,4.446087127E0,8.047362104E0,9.956161826E0
4.119851250E-1,-2.969372521E0,1.858263845E0,6.086289589E0,7.022338546E0
4.220191250E-1,-1.756477562E0,-5.049380618E-1,4.260407040E0,4.635864969E0
4.320531250E-1,-4.233269381E-1,-2.632970803E0,2.263657154E0,3.497982941E0
4.420881250E-1,9.906397343E-1,-4.704822326E0,-7.681838036E-2,4.808598680E0
4.521221250E-1,2.166636936E0,-6.627282168E0,-2.233548086E0,7.321469907E0
4.621561250E-1,2.827193087E0,-8.413300155E0,-4.183852076E0,9.812301384E0
4.721901250E-1,3.227555451E0,-9.967391843E0,-5.852966389E0,1.200096787E1
4.822241250E-1,3.502175489E0,-1.120434809E1,-6.962894220E0,1.364860965E1
4.922581250E-1,3.456900206E0,-1.234142338E1,-7.546049316E0,1.487292003E1
5.022921250E-1,3.017767002E0,-1.351146760E1,-7.645649618E0,1.581526581E1
5.123261250E-1,2.131606559E0,-1.475469792E1,-7.414094031E0,1.664973415E1
5.223611250E-1,1.334607677E0,-1.600114420E1,-7.076443055E0,1.754690399E1
5.323951250E-1,2.445319473E0,-1.697114582E1,-7.283384203E0,1.862919921E1
5.424291250E-1,4.192098989E0,-1.868422798E1,-9.075661050E0,2.119060388E1
5.524631250E-1,6.341581364E0,-1.928348572E1,-1.038397672E1,2.280121594E1
5.624971250E-1,8.001502392E0,-1.875650307E1,-1.035102649E1,2.286862911E1
5.725311250E-1,7.969890005E0,-1.827059127E1,-9.410028230E0,2.204273765E1
5.825651250E-1,6.029172817E0,-1.800442133E1,-7.641662986E0,2.046717190E1
5.925991250E-1,3.486548513E0,-1.754376131E1,-5.629008674E0,1.875167513E1
6.026341250E-1,1.402902717E0,-1.637423866E1,-3.656611272E0,1.683611100E1
6.126681250E-1,2.804489080E-2,-1.480926179E1,-1.959715376E0,1.493839033E1
6.227021250E-1,-6.236700149E-1,-1.280612733E1,-7.320942038E-1,1.284218920E1
6.327361250E-1,-8.524532177E-1,-1.058643773E1,1.119811964E-1,1.062129371E1
6.427701250E-1,-8.855181259E-1,-7.989743641E0,9.927069443E-1,8.099729185E0
6.528041250E-1,-9.210591837E-1,-5.151061360E0,2.077798142E0,5.630189008E0
6.628381250E-1,-9.625101686E-1,-2.248819259E0,3.468694625E0,4.244461837E0
6.728721250E-1,-7.369202033E-1,8.560896742E-1,5.014339424E0,5.139994239E0
6.829071250E-1,-2.219120301E-1,3.884488961E0,6.572917680E0,7.638176894E0
6.929411250E-1,2.117357370E-1,6.679727599E0,7.928381206E0,1.036932116E1
7.029751250E-1,3.179482714E-1,9.133742028E0,9.033021399E0,1.284997316E1
7.130091250E-1,6.068408512E-1,1.116322346E1,9.823194827E0,1.488223674E1
7.230431250E-1,1.636180455E0,1.306466782E1,1.002820873E1,1.655075836E1
7.330771250E-1,3.737504285E0,1.506140543E1,9.253718122E0,1.806782142E1
7.431111250E-1,6.077801186E0,1.686116671E1,7.807036278E0,1.954964004E1
7.531461250E-1,7.665844731E0,1.795618765E1,5.249644246E0,2.021753237E1
7.631801250E-1,8.846684085E0,1.858222915E1,1.950276216E0,2.067284781E1
7.732141250E-1,9.636512527E0,1.890504223E1,-1.008699372E0,2.124336296E1
7.832481250E-1,9.939284277E0,1.907136745E1,-2.644550921E0,2.166795048E1
7.932821250E-1,8.721663598E0,1.814213729E1,-2.590873774E0,2.029574311E1
8.033161250E-1,6.391793743E0,1.625746976E1,-8.508295190E-1,1.748954720E1
8.133501250E-1,3.180727148E0,1.328180534E1,1.471192203E0,1.373636724E1
8.233841250E-1,-1.060174238E0,9.318342719E0,4.132725484E0,1.024865359E1
8.334191250E-1,-4.248133734E0,5.684601662E0,6.749500085E0,9.793726955E0
8.434531250E-1,-5.717196965E0,2.505449461E0,8.443205155E0,1.050006340E1
8.534871250E-1,-5.700353476E0,-1.391830283E-1,8.907032613E0,1.057585134E1
8.635211250E-1,-4.750252853E0,-1.972091593E0,8.636704724E0,1.005219956E1
8.735551250E-1,-3.772928764E0,-3.728097576E0,7.599084147E0,9.267134555E0
8.835891250E-1,-2.858076911E0,-5.153863930E0,5.854003100E0,8.306640075E0
8.936231250E-1,-2.248322246E0,-6.358112027E0,4.223622791E0,7.957357033E0
9.036571250E-1,-2.011659993E0,-7.296021205E0,2.744642097E0,8.050575234E0
9.136921250E-1,-2.058128693E0,-8.276713291E0,1.068490952E0,8.595437716E0
9.237261250E-1,-1.988869155E0,-9.150286725E0,-7.543785274E-1,9.394276695E0
9.337601250E-1,-1.747043518E0,-9.912999873E0,-2.853286872E0,1.046235984E1
9.437941250E-1,-1.357825508E0,-1.057730438E1,-4.953679240E0,1.175848613E1
9.538281250E-1,-7.373376945E-1,-1.084214349E1,-6.881048988E0,1.286252609E1
9.638621250E-1,-1.918351588E-1,-1.097216686E1,-8.471306874E0,1.386319900E1
9.738961250E-1,1.548642375E-1,-1.102210442E1,-9.644767626E0,1.464692156E1
9.839301250E-1,4.195826004E-1,-1.076424922E1,-1.021632185E1,1.484649261E1
9.939651250E-1,5.804587989E-1,-1.038264590E1,-1.032604953E1,1.465481378E1
1.003999125E0,5.419670168E-1,-1.012479655E1,-1.002219312E1,1.425656299E1
1.014033125E0,5.758669804E-1,-9.886425447E0,-9.532275383E0,1.374544670E1
1.024067125E0,9.298248178E-1,-9.629606965E0,-8.891853241E0,1.313997559E1
