"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.704916678E-3,-1.057802534E0,-3.262326065E-1,-4.331348383E-1,1.188688228E0
1.173891667E-2,-6.497303241E-1,-4.886888688E-1,-1.210328616E0,1.458033492E0
2.177291668E-2,-3.873705818E-1,-3.626999364E-1,-1.775937973E0,1.853527150E0
3.180791668E-2,-5.226709127E-1,-2.587838776E-1,-2.384124999E0,2.454425796E0
4.184191667E-2,-5.347160308E-1,-2.375508104E-1,-2.562545768E0,2.628496231E0
5.187591667E-2,-4.270025709E-1,-4.157254115E-1,-2.649250036E0,2.715452921E0
6.190991667E-2,-3.348840737E-1,-6.088886192E-1,-2.735882383E0,2.822754879E0
7.194491666E-2,-6.954114041E-1,-6.603012861E-1,-2.332416902E0,2.521857136E0
8.197891667E-2,-9.236513275E-1,-4.934661171E-1,-2.017798108E0,2.273356503E0
9.201291668E-2,-8.709611902E-1,-4.428824392E-1,-1.667103163E0,1.932343449E0
1.020469167E-1,-5.606351298E-1,-5.889142381E-1,-1.264894833E0,1.503692345E0
1.120819167E-1,-5.681777456E-1,-6.495574658E-1,-6.175817478E-1,1.061205949E0
1.221159167E-1,-4.555077472E-1,-6.256987794E-1,-1.313828427E-1,7.850144723E-1
1.321499167E-1,-1.743940839E-1,-6.244232824E-1,-1.989064890E-1,6.781456507E-1
1.421839167E-1,-2.264033130E-1,-4.800993456E-1,-3.356775409E-1,6.280392131E-1
1.522179167E-1,-8.456915706E-2,-1.962224708E-1,-4.426377332E-1,4.915113053E-1
1.622529167E-1,1.108608699E-1,2.983503049E-1,-1.569205570E-1,3.548620832E-1
1.722869167E-1,8.422212481E-2,6.789060299E-1,2.971338648E-1,7.458520613E-1
1.823209167E-1,9.376711965E-2,7.282385498E-1,7.664518583E-1,1.061401012E0
1.923549167E-1,1.263671011E-1,5.736623608E-1,1.244795029E0,1.376434457E0
2.023899167E-1,4.106324136E-2,3.284442793E-1,1.508567020E0,1.544453395E0
2.124239167E-1,2.834876329E-2,1.481922538E-1,1.785112839E0,1.791477726E0
2.224579167E-1,1.226058796E-1,-7.360816760E-2,1.717074053E0,1.723018766E0
2.324919167E-1,7.043555975E-2,-4.246504919E-1,1.141310422E0,1.219786329E0
2.425269167E-1,-3.188401911E-1,-1.008037028E0,1.048779988E-1,1.062448640E0
2.525609167E-1,-8.994257283E-1,-1.726035349E0,-1.112618719E0,2.241893192E0
2.625949167E-1,-1.761820748E0,-2.653039032E0,-2.684500560E0,4.165233692E0
2.726289167E-1,-2.688608814E0,-3.428647630E0,-4.593269731E0,6.331063792E0
2.826639167E-1,-3.556893149E0,-4.035124053E0,-6.007583728E0,8.063794221E0
2.926979167E-1,-2.975539580E0,-4.553182974E0,-6.059746739E0,8.142839893E0
3.027319167E-1,-1.328538559E0,-5.376633491E0,-5.563234515E0,7.850017877E0
3.127659167E-1,-3.051603377E-2,-6.260861721E0,-6.089029010E0,8.733590041E0
3.227999167E-1,3.919736561E-1,-6.899582323E0,-7.415258796E0,1.013626867E1
3.328349167E-1,-1.047666094E-1,-7.293156070E0,-9.219824152E0,1.175611581E1
