"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.389666653E-3,6.245041933E-1,-4.566918084E-1,-2.700949363E0,2.809572984E0
7.644333338E-3,2.351542377E-1,-1.038633023E0,-3.031122919E0,3.212749947E0
1.767933334E-2,2.576401440E-1,-1.343592801E0,-3.186158334E0,3.467452233E0
2.771333334E-2,5.369228431E-1,-1.766551730E0,-3.926419344E0,4.338866213E0
3.774733334E-2,7.784140190E-1,-1.967818740E0,-4.958241822E0,5.390955476E0
4.778133334E-2,9.068413134E-1,-2.035370745E0,-5.492167456E0,5.926972127E0
5.781633334E-2,1.091206069E0,-2.224757090E0,-6.135435437E0,6.616936058E0
6.785033333E-2,1.406085503E0,-2.263683466E0,-7.034493960E0,7.522329729E0
7.788433334E-2,1.542803491E0,-2.119546092E0,-7.754684402E0,8.185832177E0
8.791933334E-2,1.616124067E0,-1.970270477E0,-8.170617317E0,8.558785550E0
9.795333334E-2,1.719056697E0,-2.085139029E0,-8.523657580E0,8.941795079E0
1.079873333E-1,1.553850490E0,-2.272920313E0,-8.619926139E0,9.048963738E0
1.180213333E-1,1.708373542E0,-2.489333950E0,-8.309341339E0,8.840841428E0
1.280563333E-1,1.702198005E0,-3.049975220E0,-8.706654380E0,9.381133054E0
1.380903333E-1,8.298707592E-1,-3.810429589E0,-8.821111287E0,9.644690948E0
1.481243333E-1,5.664402455E-2,-4.567902170E0,-8.722721944E0,9.846563710E0
1.581583333E-1,8.778541803E-2,-5.211456081E0,-8.091802697E0,9.625188396E0
1.681933333E-1,3.904288217E-1,-5.737202044E0,-6.993529537E0,9.054135925E0
1.782273333E-1,3.894862506E-1,-6.191581571E0,-5.727788612E0,8.443633357E0
1.882613333E-1,5.746897897E-1,-7.062977502E0,-4.912585008E0,8.622610452E0
1.982953333E-1,2.955010298E-1,-8.324069890E0,-3.590373428E0,9.070184218E0
2.083303333E-1,-2.008568278E-1,-9.857647791E0,-3.732985849E0,1.054271060E1
2.183643333E-1,-5.509509712E-1,-1.085832040E1,-4.381988195E0,1.172213672E1
2.283983333E-1,-1.430465761E0,-1.113014342E1,-3.782357984E0,1.184198280E1
2.384323333E-1,-1.341912019E0,-1.143973127E1,-3.309996514E0,1.198433379E1
2.484673333E-1,-4.842593837E-1,-1.154487356E1,-2.529685585E0,1.182869062E1
2.585013333E-1,1.287252831E-1,-1.146926556E1,-1.719362068E0,1.159813901E1
2.685353333E-1,8.722162950E-1,-1.126468200E1,-1.213794846E0,1.136341145E1
2.785693333E-1,1.546542347E0,-1.108064908E1,-3.281732243E-1,1.119286714E1
2.886043333E-1,2.052660377E0,-1.103239201E1,6.786699486E-1,1.124222758E1
2.986383333E-1,2.495748346E0,-1.096559458E1,2.273168235E0,1.147346148E1
3.086723333E-1,2.773465362E0,-1.093844596E1,4.632283523E0,1.219835074E1
3.187073333E-1,3.350458662E0,-1.098422615E1,7.282793634E0,1.359845140E1
3.287413333E-1,4.033668389E0,-1.088973866E1,1.031885043E1,1.553497869E1
3.387753333E-1,4.582652941E0,-1.057386037E1,1.292086608E1,1.731346330E1
3.488093333E-1,5.108107129E0,-1.010490783E1,1.510841938E1,1.888031400E1
3.588443333E-1,5.884267704E0,-9.517467894E0,1.724878331E1,2.056033383E1
3.688783333E-1,7.267614262E0,-8.426783835E0,1.853240853E1,2.161663870E1
3.789123333E-1,8.353700071E0,-6.608155925E0,1.865222968E1,2.147923885E1
3.889463333E-1,8.917773364E0,-4.290371096E0,1.795621104E1,2.050267009E1
3.989813333E-1,9.713672969E0,-1.970388299E0,1.683296676E1,1.953424282E1
4.090153333E-1,1.054533765E1,1.483105320E-1,1.559798453E1,1.882878816E1
4.190493333E-1,1.104745794E1,2.208349510E0,1.452089349E1,1.837877804E1
4.290833333E-1,1.120222672E1,4.152508954E0,1.382328207E1,1.827064152E1
4.391183333E-1,1.146977192E1,5.698078324E0,1.320777609E1,1.839753010E1
4.491523333E-1,1.155544650E1,6.667322731E0,1.237211190E1,1.819479841E1
4.591863333E-1,1.119000137E1,7.173807966E0,1.124210474E1,1.740874982E1
4.692203333E-1,1.079715735E1,7.285595035E0,1.007040926E1,1.646425354E1
4.792553333E-1,1.053047754E1,7.148481921E0,9.033654068E0,1.560764738E1
