"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.199483333E-2,-3.872002816E-1,-1.994017482E-2,-6.249299437E-1,7.354312362E-1
2.202883334E-2,-4.274823350E-1,1.130822271E-1,-8.735868824E-1,9.791234742E-1
3.206283333E-2,-5.064542449E-1,1.417891324E-1,-8.378943086E-1,9.892759638E-1
4.209683333E-2,-6.402812237E-1,8.351519644E-2,-7.663419306E-1,1.002105178E0
5.213083333E-2,-7.272065163E-1,-1.323546499E-2,-7.095830083E-1,1.016126242E0
6.216583333E-2,-7.696660727E-1,-1.425206190E-1,-7.134684831E-1,1.059120044E0
7.219983333E-2,-8.157111418E-1,-2.543898413E-1,-7.814236540E-1,1.157895412E0
8.223383334E-2,-8.044453114E-1,-3.253212449E-1,-8.563580614E-1,1.219145316E0
9.226783333E-2,-7.907815379E-1,-3.866053274E-1,-9.075627136E-1,1.264305817E0
1.023018333E-1,-7.838666207E-1,-4.511895785E-1,-8.128682256E-1,1.216048382E0
1.123368333E-1,-7.233865303E-1,-5.035435009E-1,-6.495894063E-1,1.094902062E0
1.223708333E-1,-6.180501097E-1,-4.419655958E-1,-5.998582524E-1,9.680647959E-1
1.324048333E-1,-5.417573941E-1,-3.366356072E-1,-5.868844503E-1,8.667513854E-1
1.424388333E-1,-4.577334899E-1,-1.860569403E-1,-6.854790312E-1,8.449962337E-1
1.524728333E-1,-3.691604519E-1,-5.942379087E-2,-8.363348562E-1,9.161149588E-1
1.625078333E-1,-3.609965694E-1,3.154748261E-2,-9.364403576E-1,1.004108714E0
1.725418333E-1,-4.127409196E-1,9.404193878E-2,-9.994733423E-1,1.085424302E0
1.825758333E-1,-4.884991997E-1,8.359559566E-2,-9.671154356E-1,1.086706933E0
1.926098333E-1,-5.793894893E-1,3.562942386E-2,-8.694879842E-1,1.045452529E0
2.026438333E-1,-6.280488485E-1,-5.015332282E-2,-7.766926718E-1,1.000106104E0
2.126788333E-1,-7.183900845E-1,-1.219235095E-1,-7.092087865E-1,1.016821891E0
2.227128333E-1,-7.969626296E-1,-1.651765332E-1,-8.023040611E-1,1.142858052E0
2.327468333E-1,-9.171696889E-1,-2.095381889E-1,-9.391908878E-1,1.329355488E0
2.427808333E-1,-1.054588028E0,-2.058749083E-1,-1.031958718E0,1.489791657E0
2.528148333E-1,-1.136935535E0,-2.213992658E-1,-1.105094522E0,1.600897857E0
2.628488333E-1,-1.107250391E0,-2.385602590E-1,-1.183615612E0,1.638249169E0
2.728838333E-1,-1.139640457E0,-2.793773326E-1,-1.269888940E0,1.729002598E0
2.829178333E-1,-1.234347224E0,-2.827655017E-1,-1.347906584E0,1.849438174E0
2.929518333E-1,-1.191834458E0,-2.946142995E-1,-1.488526273E0,1.929501860E0
3.029858333E-1,-1.230851759E0,-3.148322171E-1,-1.613150904E0,2.053380436E0
3.130198333E-1,-1.271225613E0,-2.990792334E-1,-1.511883561E0,1.997812516E0
