"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.742541667E-3,-1.064982623E-2,1.030813833E0,3.990711527E-1,1.105417732E0
1.379254166E-2,-3.143226323E-1,1.049660579E0,6.402293296E-1,1.269046746E0
2.384154167E-2,-5.906655523E-1,7.502714431E-1,1.068956244E0,1.433338929E0
3.389054167E-2,-5.225872976E-1,2.136952668E-1,1.115418220E0,1.250168371E0
4.393954166E-2,-1.984121069E-1,-8.518574595E-2,4.702130561E-1,5.174208090E-1
5.398854167E-2,-3.764020823E-1,1.942708164E-1,-1.133397970E-1,4.384809999E-1
6.403754167E-2,-5.247431660E-1,9.931840771E-1,-1.498210140E-1,1.133232693E0
7.408654167E-2,-2.799952371E-1,1.960790679E0,3.706949075E-1,2.015071248E0
8.413554166E-2,8.440046489E-2,2.794238180E0,8.138048033E-1,2.911557779E0
9.418454167E-2,3.745599170E-1,2.997073998E0,8.289654641E-1,3.132081005E0
1.042335417E-1,1.210655183E0,2.356276465E0,1.050163293E0,2.849660979E0
1.142825417E-1,2.126154177E0,1.598953865E0,1.316165997E0,2.968076478E0
1.243325417E-1,2.584559658E0,8.596436119E-1,1.060803033E0,2.923053000E0
1.343815417E-1,3.149224396E0,1.600885785E-1,6.369557659E-1,3.216979220E0
1.444305417E-1,3.435599677E0,-3.624291372E-1,1.334836011E-1,3.457241370E0
1.544795417E-1,2.848406201E0,-7.388483226E-1,-7.763628888E-1,3.043362296E0
1.645285417E-1,2.311149701E0,-8.711947864E-1,-1.821800755E0,3.069096168E0
1.745775417E-1,2.116376317E0,-7.005543226E-1,-2.354492480E0,3.242446593E0
1.846265417E-1,1.821219103E0,-6.954929727E-1,-2.625176464E0,3.269877821E0
1.946755417E-1,1.383143075E0,-7.753331941E-1,-3.137799522E0,3.515680897E0
2.047245417E-1,1.064739525E0,-7.054946351E-1,-3.631987478E0,3.850029347E0
2.147735417E-1,1.014549949E0,-6.298655784E-1,-3.740592492E0,3.926585595E0
2.248235417E-1,9.688823180E-1,-3.339906192E-1,-3.679006108E0,3.819079552E0
2.348725417E-1,8.192029528E-1,1.133833587E-1,-3.868522553E0,3.955934278E0
2.449215417E-1,5.068380415E-1,4.416495538E-1,-4.209788278E0,4.263127546E0
2.549705417E-1,3.213796368E-1,7.600678682E-1,-4.375049304E0,4.452195464E0
2.650195417E-1,8.689786186E-1,8.072969985E-1,-3.626549567E0,3.815588296E0
2.750685417E-1,1.111215899E0,4.446421587E-1,-2.335934587E0,2.624709092E0
2.851175417E-1,6.138581678E-1,2.835449356E-1,-1.408386090E0,1.562296694E0
2.951665417E-1,1.013810715E-1,1.077331942E-1,-1.246581938E0,1.255329077E0
3.052155417E-1,-2.195405822E-1,-2.992400318E-1,-1.356085085E0,1.405954985E0
3.152645417E-1,-6.075187627E-1,-7.373029035E-1,-1.293844982E0,1.608331265E0
3.253145417E-1,-1.059896349E0,-9.249950176E-1,-1.013232425E0,1.733677018E0
3.353635417E-1,-1.337023015E0,-7.900974137E-1,-6.615481317E-1,1.688055212E0
3.454125417E-1,-1.310842692E0,-5.498066711E-1,-4.823835969E-1,1.501096224E0
3.554615417E-1,-1.322456432E0,-4.138308406E-1,-4.528492375E-1,1.457813229E0
3.655105417E-1,-1.365043019E0,-3.746983498E-1,-2.813983862E-1,1.443234683E0
3.755595417E-1,-1.367401201E0,-3.462931609E-1,5.530767996E-2,1.411652910E0
3.856085417E-1,-1.147974055E0,-3.297964114E-1,4.753820678E-1,1.285534214E0
3.956575417E-1,-5.734788314E-1,-2.860545605E-1,8.676542243E-1,1.078670030E0
4.057065417E-1,1.428480631E-1,-3.741329241E-1,9.668861517E-1,1.046541850E0
4.157555417E-1,5.435239476E-1,-4.812387121E-1,7.149343070E-1,1.018891576E0
4.258055417E-1,8.833122638E-1,-5.347091603E-1,1.277383462E-1,1.040418919E0
4.358545417E-1,1.393109654E0,-6.090056366E-1,-5.273042464E-1,1.609252044E0
4.459035417E-1,1.897723926E0,-6.460465783E-1,-4.918420529E-1,2.064131994E0
4.559525417E-1,1.919313747E0,-6.749055111E-1,-2.644287065E-1,2.051629901E0
4.660015417E-1,1.354387784E0,-7.700239223E-1,-4.566055620E-1,1.623512165E0
4.760505417E-1,4.812056022E-1,-8.015608799E-1,-5.239771076E-1,1.071732562E0
4.860995417E-1,-3.847830427E-1,-6.344807857E-1,-3.758695471E-1,8.318063319E-1
4.961485417E-1,-1.131135828E0,-1.923160923E-1,-2.573278479E-1,1.175870470E0
5.061975417E-1,-1.479912594E0,5.546721393E-1,-3.317585908E-2,1.580791923E0
5.162465417E-1,-1.748743596E0,1.390607631E0,3.230553026E-1,2.257489419E0
5.262965417E-1,-2.163730577E0,2.003381213E0,6.065528027E-1,3.010510355E0
5.363455417E-1,-2.419350380E0,2.333747143E0,7.370205561E-1,3.441341496E0
5.463945417E-1,-2.397806899E0,2.368683672E0,6.643712405E-1,3.435335414E0
5.564435417E-1,-1.733023210E0,2.018036090E0,3.637927079E-1,2.684806183E0
