"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.139250002E-3,9.238068634E-1,1.806465701E0,6.869308949E-2,2.030136988E0
8.909750002E-3,6.657151499E-1,1.653931725E0,-1.844761455E-1,1.792400140E0
1.895875001E-2,1.355378741E-1,1.574244701E0,-3.609662004E-1,1.620775583E0
2.900775000E-2,-3.063952696E-1,1.702197567E0,-5.184328874E-1,1.805582254E0
3.905737500E-2,-5.727093378E-1,1.726904976E0,-5.496839527E-1,1.900618118E0
4.910637501E-2,-6.145748171E-1,1.826478966E0,-7.012729454E-1,2.050734347E0
5.915537500E-2,-6.550799417E-1,1.838439445E0,-1.033343924E0,2.208345306E0
6.920337501E-2,-8.709456950E-1,1.570803030E0,-1.302235737E0,2.218509967E0
7.925237500E-2,-1.098818998E0,1.201830858E0,-1.335640880E0,2.106118981E0
8.930137500E-2,-1.213130602E0,9.230326921E-1,-1.191794770E0,1.934954775E0
9.935037501E-2,-1.175983241E0,6.706300271E-1,-1.065150438E0,1.722563982E0
1.093993750E-1,-1.022033362E0,4.675340080E-1,-7.631042542E-1,1.358480160E0
1.194483750E-1,-8.535701090E-1,2.496714306E-1,-3.716560435E-1,9.638703071E-1
1.294973750E-1,-7.270767081E-1,-1.878534973E-2,-7.739900887E-2,7.314260286E-1
1.395453750E-1,-3.617420894E-1,1.651990449E-1,2.108079118E-1,4.500978109E-1
1.495943750E-1,6.162877589E-2,4.053389293E-1,5.084769429E-1,6.531818699E-1
1.596433750E-1,1.106176257E-1,4.821502930E-1,1.055081533E0,1.165290609E0
1.696923750E-1,-2.104059157E-1,4.955749154E-1,1.630155777E0,1.716762361E0
1.797413750E-1,-3.524432623E-1,3.725518370E-1,1.737300741E0,1.811415190E0
1.897903750E-1,-3.489083281E-1,8.039278328E-2,1.391948397E0,1.437261410E0
1.998393750E-1,-3.902811795E-1,-1.347064000E-1,7.784170157E-1,8.811346456E-1
2.098883750E-1,-5.481273508E-1,-2.038105488E-1,4.535041988E-1,7.400326958E-1
2.199363750E-1,-6.391141194E-1,-1.487584287E-1,3.690715742E-1,7.528676873E-1
2.299853750E-1,-6.876524413E-1,-7.632487535E-2,3.213566865E-1,7.628640026E-1
2.400343750E-1,-7.407650399E-1,-5.731908560E-2,2.145652594E-1,7.733411747E-1
2.500833750E-1,-9.310296366E-1,-9.720528245E-2,8.813917458E-2,9.402305915E-1
2.601323750E-1,-1.179033734E0,-6.233190358E-2,1.829235636E-2,1.180821926E0
2.701813750E-1,-1.297617606E0,-4.212918878E-2,-3.018515445E-2,1.298652172E0
2.802303750E-1,-1.186566117E0,-1.038576597E-1,-9.163829461E-2,1.194622593E0
2.902793750E-1,-1.054578672E0,-1.132289922E-1,-5.414412059E-2,1.062020982E0
3.003273750E-1,-9.858382201E-1,2.706793070E-2,7.370298386E-2,9.889599582E-1
3.103763750E-1,-8.624344879E-1,2.219895422E-1,1.987029328E-1,9.124447700E-1
3.204253750E-1,-8.533604863E-1,4.207545286E-1,2.789336751E-1,9.914950772E-1
3.304743750E-1,-8.723425949E-1,5.637335694E-1,2.502163911E-1,1.068356393E0
3.405233750E-1,-7.984805667E-1,7.019646710E-1,1.231517172E-1,1.070276581E0
3.505723750E-1,-7.675964507E-1,7.973245722E-1,2.000390947E-2,1.106946675E0
3.606213750E-1,-7.874205583E-1,8.351314992E-1,-3.787767828E-2,1.148438277E0
3.706703750E-1,-7.957534254E-1,8.174734926E-1,-6.945264280E-2,1.142939235E0
3.807183750E-1,-8.162166336E-1,7.658975422E-1,-6.790064558E-2,1.121347018E0
3.907673750E-1,-8.471978134E-1,7.271246552E-1,7.271436587E-2,1.118812665E0
4.008163750E-1,-8.974148709E-1,7.368234318E-1,3.233252247E-1,1.205322123E0
4.108653750E-1,-9.565100482E-1,6.843417478E-1,6.082039102E-1,1.324064612E0
4.209143750E-1,-8.840712324E-1,6.944545072E-1,9.174458237E-1,1.451053357E0
4.309633750E-1,-8.268553501E-1,7.289074713E-1,1.066809366E0,1.533974607E0
4.410123750E-1,-1.075489192E0,5.732043046E-1,9.657173663E-1,1.554943796E0
4.510613750E-1,-1.333961560E0,3.818904251E-1,7.815950505E-1,1.592540286E0
4.611093750E-1,-1.493077454E0,2.593643600E-1,6.651944554E-1,1.655002664E0
4.711583750E-1,-1.575519101E0,1.366020674E-1,6.266613042E-1,1.701065829E0
4.812073750E-1,-1.519648663E0,1.721209788E-1,5.581529868E-1,1.628033307E0
4.912563750E-1,-1.353473426E0,2.954358333E-1,4.715269985E-1,1.463390022E0
5.013053750E-1,-1.183274427E0,3.491711605E-1,4.613640261E-1,1.317161962E0
5.113543750E-1,-1.028831627E0,3.906548166E-1,3.969551184E-1,1.169905581E0
5.214033750E-1,-8.958524948E-1,4.519792449E-1,3.107122689E-1,1.050418509E0
5.314513750E-1,-7.849454319E-1,4.087864476E-1,2.825917663E-1,9.290337977E-1
5.415003750E-1,-7.185567302E-1,2.645473319E-1,2.561647636E-1,8.074214831E-1
5.515493750E-1,-7.042295900E-1,1.519445765E-1,1.328563410E-1,7.325826077E-1
5.615983750E-1,-5.983715978E-1,7.741245747E-2,-2.011610292E-2,6.036935607E-1
5.716473750E-1,-3.540462765E-1,-7.764225304E-2,-1.109983525E-1,3.790748206E-1
5.816963750E-1,-2.187551549E-1,-2.466899353E-1,-1.710064995E-1,3.714201999E-1
5.917453750E-1,-1.625675055E-1,-4.674831372E-1,-2.386389041E-1,5.494699300E-1
6.017943750E-1,-1.044417965E-1,-7.818949395E-1,-3.353390602E-1,8.571581363E-1
6.118423750E-1,-2.757137597E-2,-1.126242732E0,-3.545494294E-1,1.181053839E0
6.218913750E-1,9.311106205E-3,-1.464159756E0,-3.069472468E-1,1.496017079E0
6.319403750E-1,-5.987841189E-3,-1.765311828E0,-2.622995891E-1,1.784702434E0
6.419893750E-1,4.745512515E-2,-2.180371168E0,-2.369391185E-1,2.193720713E0
6.520383750E-1,9.605133444E-2,-2.567089639E0,-1.793476257E-1,2.575138957E0
6.620873750E-1,1.139736351E-1,-2.794863247E0,-2.543141929E-1,2.808723245E0
6.721363750E-1,2.001352814E-1,-2.985701748E0,-4.416659625E-1,3.024820306E0
6.821853750E-1,3.089689216E-1,-3.246103404E0,-6.201505027E-1,3.319222161E0
6.922333750E-1,3.270888582E-1,-3.573826978E0,-7.116663712E-1,3.658646664E0
7.022823750E-1,2.267751959E-1,-3.928058318E0,-6.402051368E-1,3.986343156E0
7.123313750E-1,9.965497345E-2,-4.236994788E0,-5.741632479E-1,4.276881970E0
7.223803750E-1,5.266879499E-3,-4.493978747E0,-5.806764615E-1,4.531341729E0
7.324293750E-1,-2.406567782E-2,-4.702154242E0,-7.011641872E-1,4.754204969E0
7.424783750E-1,-1.505064538E-1,-4.858640351E0,-7.905423868E-1,4.924834567E0
7.525273750E-1,-3.150298530E-1,-4.919310476E0,-7.826188248E-1,4.991127286E0
7.625763750E-1,-5.337440774E-1,-4.910370083E0,-7.765891761E-1,4.999970784E0
7.726243750E-1,-8.684585819E-1,-4.737028205E0,-7.081135299E-1,4.867759371E0
7.826733750E-1,-1.037882532E0,-4.306813467E0,-6.085139588E-1,4.471703437E0
7.927223750E-1,-1.029414887E0,-3.683918354E0,-6.424487865E-1,3.878619586E0
8.027713750E-1,-9.638743240E-1,-2.967191802E0,-7.519735676E-1,3.209165803E0
8.128203750E-1,-8.961623973E-1,-1.969125300E0,-8.489267620E-1,2.324056397E0
8.228693750E-1,-9.845711285E-1,-4.958754623E-1,-1.034339120E0,1.511664710E0
8.329183750E-1,-9.128255001E-1,1.431995392E0,-1.310712445E0,2.145187244E0
8.429673750E-1,-2.202675372E-1,3.636007438E0,-1.579889603E0,3.970531329E0
8.530153750E-1,5.878232208E-1,5.985217543E0,-1.866434160E0,6.296978772E0
8.630643750E-1,1.023939554E0,8.606521981E0,-2.082647822E0,8.913927012E0
8.731133750E-1,1.528144960E0,1.070854631E1,-1.912971565E0,1.098488285E1
8.831623750E-1,2.358822635E0,1.240929084E1,-1.525732107E0,1.272330153E1
8.932113750E-1,3.046878827E0,1.426575491E1,-4.416261649E-1,1.459418609E1
9.032603750E-1,3.780067337E0,1.606666810E1,8.207005709E-1,1.652574604E1
9.133093750E-1,5.032723655E0,1.745388259E1,1.864563051E0,1.826041950E1
9.233573750E-1,6.145480369E0,1.851092703E1,2.613972614E0,1.967877540E1
9.334063750E-1,6.914482198E0,1.982707330E1,3.055013473E0,2.121923672E1
9.434553750E-1,7.629917099E0,2.100733611E1,3.101555555E0,2.256420733E1
9.535043750E-1,7.943430769E0,2.171523278E1,2.677486825E0,2.327699214E1
9.635533750E-1,8.424560723E0,2.162202817E1,1.684061258E0,2.326631444E1
9.736023750E-1,8.828735472E0,2.070136067E1,5.472350292E-1,2.251204944E1
9.836513750E-1,8.959157617E0,1.903478142E1,-1.715444799E-1,2.103850842E1
9.937003750E-1,9.031229228E0,1.622242272E1,-1.941497425E-1,1.856792380E1
1.003748375E0,8.813429800E0,1.210733361E1,-1.040921330E-1,1.497581073E1
1.013797375E0,7.660406236E0,7.370146358E0,1.517703295E-1,1.063127063E1
1.023846375E0,6.245608674E0,2.742566920E0,7.558543646E-1,6.862988915E0
1.033894750E0,5.073701527E0,-1.388664016E0,1.341065927E0,5.428562679E0
1.043943750E0,3.916517669E0,-4.714248038E0,1.743120475E0,6.371947442E0
1.053992750E0,2.695638629E0,-7.304438272E0,1.807663211E0,7.993055259E0
1.064041750E0,1.378009512E0,-9.117706039E0,1.258249472E0,9.306700025E0
1.074089750E0,-1.733678976E-1,-1.003162468E1,2.652940214E-1,1.003662946E1
1.084138750E0,-1.638825443E0,-1.057304527E1,-9.819755495E-1,1.074426876E1
1.094187750E0,-2.801012764E0,-1.092296604E1,-2.178246290E0,1.148484291E1
1.104236750E0,-3.416615229E0,-1.079961786E1,-2.938472033E0,1.170212047E1
1.114285750E0,-3.518854672E0,-1.050523979E1,-3.275621318E0,1.155301243E1
1.124334750E0,-3.577390563E0,-1.031678286E1,-3.419845816E0,1.144242445E1
1.134383750E0,-3.547269801E0,-1.003897696E1,-3.303589720E0,1.114799922E1
1.144432750E0,-3.464762665E0,-9.839215028E0,-3.105393083E0,1.088385037E1
1.154480750E0,-3.485952390E0,-9.901834030E0,-2.949218631E0,1.090394753E1
1.164529750E0,-3.362795117E0,-1.005995911E1,-2.708464204E0,1.094746303E1
1.174578750E0,-3.184666125E0,-1.019396326E1,-2.401095958E0,1.094642623E1
1.184627750E0,-3.176121588E0,-1.032417140E1,-2.121727688E0,1.100808756E1
1.194676750E0,-3.079725561E0,-1.042607200E1,-1.850061956E0,1.102771128E1
1.204725750E0,-2.911849953E0,-1.055548608E1,-1.736473945E0,1.108659092E1
1.214774750E0,-2.673287939E0,-1.067661466E1,-1.710677783E0,1.113835659E1
1.224823750E0,-2.417896178E0,-1.068828337E1,-1.632412071E0,1.107927761E1
1.234871750E0,-2.138639298E0,-1.064078176E1,-1.580017657E0,1.096797475E1
1.244920750E0,-1.863616971E0,-1.067495171E1,-1.603491158E0,1.095439849E1
1.254969750E0,-1.629706126E0,-1.080205264E1,-1.669306394E0,1.105110253E1
1.265018750E0,-1.447539046E0,-1.096804925E1,-1.777722543E0,1.120507791E1
1.275067750E0,-1.234259808E0,-1.104214867E1,-1.835626789E0,1.126152611E1
1.285116750E0,-9.903706893E-1,-1.106366526E1,-1.727264580E0,1.124139519E1
1.295165750E0,-8.924274883E-1,-1.120884343E1,-1.423759004E0,1.133409404E1
1.305214750E0,-8.740657693E-1,-1.133009013E1,-1.179812437E0,1.142483657E1
1.315262750E0,-8.662588593E-1,-1.140047072E1,-9.928757827E-1,1.147636438E1
1.325311750E0,-8.883560720E-1,-1.142538454E1,-7.517266689E-1,1.148449744E1
1.335360750E0,-9.958091846E-1,-1.132300681E1,-4.548266928E-1,1.137580707E1
1.345409750E0,-1.117820695E0,-1.112204386E1,-2.116247678E-1,1.118007906E1
1.355458750E0,-1.167096350E0,-1.090370298E1,3.056990124E-2,1.096602877E1
1.365507750E0,-1.281389828E0,-1.061173747E1,2.884272876E-1,1.069271351E1
1.375556750E0,-1.495918908E0,-1.020188273E1,5.489588249E-1,1.032557700E1
1.385604750E0,-1.681984912E0,-9.811174121E0,8.011374684E-1,9.986492483E0
1.395653750E0,-2.050024160E0,-9.432937621E0,9.455520006E-1,9.699328833E0
1.405702750E0,-2.463781618E0,-9.010117271E0,1.000170403E0,9.394294754E0
1.415751750E0,-2.725405342E0,-8.551345316E0,9.173556304E-1,9.021911235E0
1.425800750E0,-3.030735541E0,-8.074537039E0,8.389900037E-1,8.665299218E0
1.435849750E0,-3.516406735E0,-7.360082715E0,8.369599966E-1,8.199782676E0
1.445898750E0,-3.972921373E0,-6.071097938E0,1.169067081E0,7.349085130E0
1.455947750E0,-4.192355974E0,-3.972581942E0,1.951045709E0,6.096214831E0
1.465995750E0,-4.165916035E0,-1.010007686E0,2.902390035E0,5.176759589E0
1.476044750E0,-3.882471963E0,2.600035776E0,3.823159854E0,6.037410526E0
1.486093750E0,-2.942323302E0,6.941332027E0,4.065049226E0,8.565277692E0
1.496142750E0,-1.462245378E0,1.147516306E1,3.506752982E0,1.208779737E1
1.506191750E0,-3.565637952E-1,1.524199785E1,2.982761768E0,1.553520209E1
1.516240750E0,3.002846369E-1,1.773925010E1,2.071739257E0,1.786234219E1
1.526289750E0,5.143307367E-1,1.915703033E1,1.765751538E0,1.924510913E1
1.536338750E0,1.012202438E0,1.968052102E1,2.908499790E0,1.992001085E1
1.546386750E0,2.077884681E0,1.911471637E1,5.286475857E0,1.994083282E1
1.556435750E0,2.357488593E0,1.760795906E1,7.672268482E0,1.935101234E1
1.566484750E0,2.171234894E0,1.586505142E1,9.068967158E0,1.840272488E1
1.576533750E0,1.860406265E0,1.400962231E1,9.480057993E0,1.701770044E1
1.586582750E0,1.306292535E0,1.257549327E1,8.450619425E0,1.520731402E1
1.596631750E0,1.468643401E0,1.212241358E1,5.462450151E0,1.337715164E1
1.606680750E0,2.248741491E0,1.203349965E1,1.784039290E0,1.237112558E1
1.616728750E0,3.213556048E0,1.178861358E1,-1.540168297E0,1.231545659E1
1.626777750E0,3.844751868E0,1.112905701E1,-4.464601750E0,1.259248568E1
1.636826750E0,4.420694423E0,9.914681532E0,-6.263915137E0,1.253315930E1
1.646875750E0,4.945296671E0,8.924484798E0,-6.830667039E0,1.227845268E1
1.656924750E0,5.542468713E0,7.919099336E0,-6.315813854E0,1.154645393E1
1.666973750E0,5.263578746E0,6.680785945E0,-4.282137047E0,9.522334784E0
1.677022750E0,4.192820828E0,5.552028911E0,-1.891941469E0,7.210007908E0
1.687071750E0,3.263860813E0,4.776986908E0,-3.607661526E-1,5.796770096E0
1.697119750E0,2.710561016E0,4.246593577E0,6.527340388E-1,5.080035409E0
1.707168750E0,2.556816081E0,3.778919236E0,1.139203670E0,4.702693278E0
1.717217750E0,2.720926960E0,3.371662420E0,7.179433572E-1,4.391695989E0
1.727266750E0,2.964019688E0,2.921526802E0,-4.376184833E-1,4.184763016E0
1.737315750E0,2.901434015E0,2.290125160E0,-1.449361038E0,3.970345075E0
1.747364750E0,2.528548302E0,1.601685684E0,-1.885363351E0,3.537449436E0
1.757413750E0,2.109413452E0,8.405799347E-1,-2.009857589E0,3.032445757E0
1.767462750E0,1.837273803E0,-8.471679926E-2,-2.209923581E0,2.875154639E0
1.777510750E0,1.674121284E0,-1.001829770E0,-2.325435326E0,3.035456212E0
1.787559750E0,1.732617706E0,-1.857059904E0,-2.281687628E0,3.414195957E0
1.797608750E0,1.845129537E0,-2.803486136E0,-2.165656650E0,3.994259162E0
1.807657750E0,1.911670851E0,-3.730110773E0,-2.116079863E0,4.695317434E0
1.817706750E0,1.959112236E0,-4.488916227E0,-2.120024979E0,5.336946277E0
1.827755750E0,1.815711318E0,-5.202901019E0,-1.911181732E0,5.832632529E0
1.837804750E0,1.540328511E0,-5.832110540E0,-1.655374818E0,6.255109197E0
1.847852750E0,1.304425811E0,-6.259660703E0,-1.592373993E0,6.589425904E0
1.857901750E0,1.217151732E0,-6.513532773E0,-1.778202599E0,6.860726785E0
1.867950750E0,1.181801805E0,-6.675820490E0,-2.093861613E0,7.095596604E0
1.877999750E0,1.088133211E0,-6.883978443E0,-2.455262809E0,7.389283359E0
1.888048750E0,1.143876180E0,-6.857291166E0,-2.844825951E0,7.511586353E0
1.898097750E0,1.420312948E0,-6.680273144E0,-2.989628153E0,7.455280991E0
1.908146750E0,1.528531753E0,-6.522518774E0,-2.888944947E0,7.295592052E0
1.918195750E0,1.551563644E0,-6.273748400E0,-2.789661564E0,7.039139178E0
1.928243750E0,1.705573164E0,-5.976463092E0,-2.630859373E0,6.748963769E0
1.938292750E0,1.812469037E0,-5.625727217E0,-2.348482127E0,6.359970049E0
1.948341750E0,1.740765801E0,-5.286382887E0,-2.046791527E0,5.930047652E0
1.958390750E0,1.656481111E0,-4.976005663E0,-1.861347082E0,5.564995507E0
1.968439750E0,1.403548104E0,-4.671011971E0,-1.725893554E0,5.173684246E0
1.978488750E0,1.044638113E0,-4.242591158E0,-1.591606253E0,4.650167630E0
1.988537750E0,8.642140880E-1,-3.575398124E0,-1.356742312E0,3.920597842E0
1.998585750E0,9.474676216E-1,-2.661209346E0,-1.113185899E0,3.036266280E0
2.008634750E0,1.163587144E0,-1.691794785E0,-9.051502255E-1,2.243970046E0
2.018683750E0,1.342569538E0,-5.786065471E-1,-6.279914727E-1,1.591116523E0
2.028732750E0,1.635492530E0,7.392710763E-1,-1.796563222E-1,1.803783229E0
2.038781375E0,1.925797724E0,1.991881494E0,5.511720325E-1,2.824903427E0
2.048830375E0,2.089095255E0,3.111057281E0,1.461824378E0,4.022427986E0
2.058879375E0,1.922988430E0,3.861632195E0,2.226274735E0,4.854522314E0
2.068928375E0,1.514772670E0,4.186695285E0,2.626779771E0,5.169422174E0
2.078976375E0,1.072904723E0,4.289703344E0,2.619713995E0,5.139609007E0
2.089025375E0,5.841505846E-1,4.123220835E0,2.408818960E0,4.810882533E0
2.099074375E0,1.703176975E-1,3.770960006E0,2.177669170E0,4.357911254E0
2.109123375E0,-2.486306262E-1,3.292723839E0,1.947321618E0,3.833524351E0
2.119172375E0,-7.285548842E-1,2.728959864E0,1.703787425E0,3.298621795E0
2.129221375E0,-1.082226647E0,2.190795000E0,1.412603102E0,2.822453679E0
2.139270375E0,-1.174840111E0,1.776553684E0,1.033115298E0,2.367217670E0
2.149319375E0,-1.141592258E0,1.411938858E0,6.640542483E-1,1.933331908E0
2.159367375E0,-1.145206422E0,1.003652347E0,3.762999753E-1,1.568571788E0
2.169416375E0,-1.304728990E0,5.279357457E-1,1.208245619E-1,1.412668561E0
2.179465375E0,-1.411457632E0,-6.155363917E-2,-1.177067534E-1,1.417694035E0
2.189514375E0,-1.478688918E0,-6.201644629E-1,-3.551376228E-1,1.642329933E0
2.199563375E0,-1.318882175E0,-8.334165108E-1,-5.980157582E-1,1.670824982E0
2.209612375E0,-1.137467632E0,-7.713939250E-1,-6.442333567E-1,1.517866206E0
2.219661375E0,-9.873678517E-1,-7.527775598E-1,-5.413223612E-1,1.354473783E0
2.229709375E0,-8.461599326E-1,-7.319538707E-1,-3.893134288E-1,1.184613036E0
2.239758375E0,-9.788882196E-1,-6.294457483E-1,-7.435904145E-2,1.166170384E0
2.249807375E0,-1.309799110E0,-5.337396920E-1,2.527611359E-1,1.436781111E0
2.259856375E0,-1.647363548E0,-4.760919929E-1,4.713733264E-1,1.778387769E0
2.269905375E0,-1.784547998E0,-3.382748741E-1,5.324591883E-1,1.892763650E0
2.279954375E0,-1.664165522E0,-8.337544799E-2,5.471871185E-1,1.753799331E0
2.290003375E0,-1.402969229E0,2.293289673E-1,5.618987131E-1,1.528608713E0
2.300052375E0,-1.234936039E0,5.846572459E-1,5.164927447E-1,1.460703896E0
2.310100375E0,-1.131469558E0,9.097191668E-1,4.505887771E-1,1.520145575E0
2.320149375E0,-1.093022361E0,1.123213289E0,4.056271970E-1,1.618900676E0
2.330198375E0,-1.178954211E0,1.163119367E0,3.363774892E-1,1.689949558E0
2.340247375E0,-1.339585996E0,1.046257499E0,2.546252282E-1,1.718714462E0
2.350296375E0,-1.529740958E0,9.418677431E-1,1.622181709E-1,1.803756352E0
2.360345375E0,-1.632787609E0,8.356320208E-1,1.541466379E-1,1.840662227E0
2.370394375E0,-1.621501898E0,6.916490132E-1,1.555043614E-1,1.769697253E0
2.380442375E0,-1.622721042E0,5.818342102E-1,1.435385827E-1,1.729843332E0
2.390491375E0,-1.612698330E0,5.122096592E-1,9.241056561E-2,1.694607432E0
2.400540375E0,-1.584436398E0,4.812287718E-1,4.311857421E-2,1.656465828E0
2.410589375E0,-1.560092685E0,4.519558561E-1,5.994448543E-2,1.625345078E0
2.420638375E0,-1.546756355E0,3.440232718E-1,6.629105330E-2,1.585938756E0
2.430687375E0,-1.534155021E0,2.518167740E-1,3.493126631E-2,1.555076689E0
2.440736375E0,-1.524424669E0,2.382407087E-1,-1.512206912E-2,1.543002879E0
