"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.903166661E-3,3.584781736E-3,-5.232989037E-1,8.859701157E-3,5.233861744E-1
1.595116666E-2,-7.206981998E-2,-3.709479457E-1,-6.915662751E-2,3.841602224E-1
2.600016666E-2,-6.315120813E-2,-1.370230669E-1,-3.278090890E-1,3.608631247E-1
3.604816666E-2,-1.678279166E-1,1.164771205E-1,-3.690325440E-1,4.218034468E-1
4.609716666E-2,-4.454697956E-1,2.566927671E-1,1.272953466E-2,5.142922871E-1
5.614516666E-2,-4.353525776E-1,2.780736959E-1,8.757426046E-2,5.239523817E-1
6.619416666E-2,-4.466091621E-1,2.181660479E-1,5.983996645E-2,5.006365845E-1
7.624316667E-2,-3.091910062E-1,8.372452676E-2,4.151289225E-2,3.230049456E-1
8.629116666E-2,-1.598743146E-1,-1.009936935E-1,4.405950084E-2,1.941668411E-1
9.634016667E-2,-1.190069915E-1,-2.150535750E-1,1.604271322E-1,2.935090610E-1
1.063881667E-1,-1.760939426E-1,-2.239980608E-1,1.758398080E-1,3.348191242E-1
1.164371667E-1,-2.291060057E-1,-7.252067685E-2,7.046472274E-2,2.504278091E-1
1.264851667E-1,-2.579142505E-1,6.112094522E-3,-2.859405398E-2,2.595664428E-1
1.365341667E-1,-2.823871503E-1,6.381475747E-2,4.005576611E-2,2.922657872E-1
1.465821667E-1,-2.902209210E-1,1.363459593E-1,1.260811722E-1,3.445502366E-1
1.566311667E-1,-3.480432326E-1,1.059521323E-1,1.029764843E-1,3.781059407E-1
1.666801667E-1,-3.175415610E-1,-1.917886734E-4,1.956758293E-1,3.729902276E-1
1.767281667E-1,-2.610352384E-1,-6.090576768E-2,2.887249108E-1,3.939682504E-1
1.867771667E-1,-3.217634700E-1,-5.944747210E-2,2.601356077E-1,4.180146731E-1
1.968251667E-1,-4.981738200E-1,-5.421187520E-2,3.629336789E-1,6.187381818E-1
2.068741667E-1,-7.314005779E-1,6.403870583E-2,2.948534507E-1,7.911929717E-1
2.169221667E-1,-7.483181076E-1,1.707673484E-1,2.511168623E-1,8.075897201E-1
2.269716250E-1,-7.179160215E-1,2.194226146E-1,2.660793024E-1,7.964595990E-1
2.370196250E-1,-7.243087824E-1,2.690537810E-1,2.226723509E-1,8.041120103E-1
2.470686250E-1,-6.848681433E-1,2.006203079E-1,2.449737044E-1,7.545230266E-1
2.571176250E-1,-5.894457500E-1,5.203963459E-2,3.078050333E-1,6.670070122E-1
2.671656250E-1,-4.601464896E-1,-5.313364863E-2,2.643678224E-1,5.333369686E-1
2.772146250E-1,-3.294511699E-1,-1.693610930E-1,2.012382855E-1,4.215662471E-1
2.872626250E-1,-2.077133460E-1,-2.789466852E-1,1.739694299E-1,3.888720224E-1
2.973116250E-1,-7.051851712E-2,-3.302875775E-1,2.169479998E-1,4.014089931E-1
3.073596250E-1,1.362203903E-2,-3.589260703E-1,2.582748775E-1,4.424018493E-1
3.174086250E-1,1.613579359E-1,-3.497769320E-1,3.575747057E-1,5.255853459E-1
3.274566250E-1,2.589609021E-1,-3.544669837E-1,4.026006782E-1,5.956466213E-1
3.375056250E-1,4.273579720E-1,-3.360277891E-1,3.473807430E-1,6.451533864E-1
3.475546250E-1,5.581139931E-1,-3.517041743E-1,2.372379112E-1,7.010484164E-1
3.576026250E-1,6.192172140E-1,-3.577601355E-1,1.739232369E-1,7.359833999E-1
3.676516250E-1,6.982584865E-1,-3.246368283E-1,1.547436386E-1,7.854295499E-1
3.776996250E-1,6.878656454E-1,-3.818418932E-1,1.543360877E-1,8.017368680E-1
3.877486250E-1,6.566655605E-1,-5.188836712E-1,1.270833850E-1,8.465223619E-1
3.977966250E-1,7.175727899E-1,-5.792953491E-1,1.320190928E-1,9.316237713E-1
4.078456250E-1,8.392746900E-1,-5.699819040E-1,2.019300842E-1,1.034425993E0
4.178936250E-1,8.913473614E-1,-5.398126101E-1,1.484280610E-1,1.052581903E0
4.279426250E-1,8.901827422E-1,-5.616051829E-1,5.544329882E-2,1.053992246E0
4.379916250E-1,7.782170409E-1,-6.433422410E-1,6.504508473E-2,1.011801297E0
4.480396250E-1,6.913173299E-1,-6.840657592E-1,8.761124410E-2,9.764944155E-1
4.580886250E-1,7.600659679E-1,-7.388927615E-1,1.390690807E-1,1.069113183E0
4.681366250E-1,7.972493624E-1,-8.057849085E-1,1.660404593E-1,1.145628779E0
4.781856250E-1,7.725559129E-1,-8.743265551E-1,2.068896925E-1,1.184944264E0
4.882336250E-1,7.523679623E-1,-9.112651706E-1,1.486759830E-1,1.191035814E0
4.982826250E-1,6.917172063E-1,-8.405887055E-1,1.219419283E-1,1.095414031E0
5.083306250E-1,5.058697060E-1,-8.740622610E-1,2.532235958E-1,1.041158578E0
5.183796250E-1,3.626457400E-1,-9.788186377E-1,3.863074118E-1,1.113027976E0
5.284286250E-1,3.442932304E-1,-1.162794262E0,3.910126662E-1,1.274173940E0
5.384766250E-1,3.368860142E-1,-1.336925513E0,4.038677698E-1,1.436652773E0
5.485256250E-1,3.084083929E-1,-1.425113220E0,3.531297255E-1,1.500254655E0
5.585736250E-1,1.585539402E-1,-1.449180944E0,2.385547042E-1,1.477218030E0
5.686226250E-1,-2.348556277E-1,-1.615887986E0,2.477734061E-1,1.651557692E0
5.786706250E-1,-5.672911250E-1,-1.959500783E0,2.320046532E-1,2.053116825E0
5.887196250E-1,-6.372745123E-1,-2.280184894E0,2.333015656E-1,2.379031646E0
5.987676250E-1,-6.113102070E-1,-2.440311479E0,3.629308283E-1,2.541759050E0
6.088166250E-1,-7.201280232E-1,-2.606419766E0,4.250247868E-1,2.737271349E0
6.188656250E-1,-8.835040525E-1,-2.766533487E0,3.450371424E-1,2.924608961E0
6.289136250E-1,-1.035492995E0,-2.780404252E0,2.427331245E-1,2.976879729E0
6.389626250E-1,-1.094808539E0,-2.543807781E0,2.408339489E-1,2.779849772E0
6.490106250E-1,-1.028381319E0,-2.075423003E0,3.109280312E-1,2.337011985E0
6.590596250E-1,-9.944209094E-1,-1.471689216E0,2.398598027E-1,1.792282014E0
6.691076250E-1,-1.090784778E0,-8.698586977E-1,2.116048142E-1,1.411113809E0
6.791566250E-1,-1.244265564E0,-3.809671497E-1,1.545805013E-1,1.310430423E0
6.892046250E-1,-1.433770022E0,8.799767196E-2,3.338526249E-2,1.436855818E0
6.992536250E-1,-1.644758321E0,4.003892612E-1,1.104643556E-1,1.696391425E0
7.093026250E-1,-1.855794712E0,4.502788746E-1,3.651082584E-1,1.944229698E0
7.193506250E-1,-1.793430942E0,2.731848389E-1,4.960158686E-1,1.880706314E0
7.293996250E-1,-1.828596389E0,8.066292465E-2,6.074299581E-1,1.928533747E0
7.394476250E-1,-2.018705011E0,-5.078306794E-3,8.192452721E-1,2.178613900E0
7.494966250E-1,-2.095542102E0,-2.536054373E-2,8.995017421E-1,2.280579585E0
7.595446250E-1,-2.051160566E0,1.971505702E-2,8.385924661E-1,2.216051822E0
7.695936250E-1,-1.919078104E0,1.940082765E-1,7.018542317E-1,2.052583578E0
7.796416250E-1,-1.662288858E0,4.780718601E-1,4.925308549E-1,1.798428090E0
7.896906250E-1,-1.518378941E0,7.691123414E-1,4.548057890E-1,1.761776577E0
7.997396250E-1,-1.449529292E0,1.266632625E0,3.611765175E-1,1.958556063E0
8.097876250E-1,-1.257676153E0,1.626966705E0,1.859904282E-1,2.064791129E0
8.198366250E-1,-9.426594561E-1,1.592778035E0,1.698038734E-2,1.850901687E0
8.298846250E-1,-6.164929231E-1,1.430452312E0,-6.178993978E-2,1.558869891E0
8.399336250E-1,-2.017746397E-1,1.330187767E0,-1.755391880E-1,1.356807468E0
8.499816250E-1,9.279478250E-2,1.447030923E0,-4.188558646E-1,1.509287779E0
8.600306250E-1,2.198645910E-1,1.624685706E0,-7.607507499E-1,1.807397518E0
8.700786250E-1,2.618394315E-1,2.094146372E0,-1.019823334E0,2.343938683E0
8.801276250E-1,3.131197504E-1,3.004300572E0,-1.212741835E0,3.254936046E0
8.901766250E-1,6.466188745E-1,4.538977164E0,-1.778021336E0,4.917498300E0
9.002246250E-1,8.904034015E-1,6.353231356E0,-2.116074600E0,6.755304478E0
9.102736250E-1,8.758976289E-1,7.928081828E0,-2.063593501E0,8.238937812E0
9.203216250E-1,7.232301904E-1,9.530498999E0,-1.841885794E0,9.733756539E0
9.303706250E-1,1.000093074E0,1.136435832E1,-1.828349490E0,1.155386031E1
9.404186250E-1,1.914689330E0,1.240083109E1,-1.747570206E0,1.266888506E1
9.504676250E-1,2.822120043E0,1.286616771E1,-1.514856870E0,1.325886211E1
9.605156250E-1,3.200122362E0,1.338367670E1,-9.533721399E-1,1.379392996E1
9.705646250E-1,2.900969161E0,1.363190387E1,-6.299252200E-1,1.395138814E1
9.806136250E-1,2.311032611E0,1.337838965E1,-6.350380254E-1,1.359137428E1
9.906616250E-1,2.117060148E0,1.341287419E1,-9.290184867E-1,1.361066542E1
1.000710625E0,2.045245523E0,1.379990139E1,-1.120877327E0,1.399559480E1
1.010758625E0,1.608226233E0,1.395431116E1,-7.462275088E-1,1.406648666E1
1.020807625E0,2.101446913E0,1.403030274E1,-1.097856619E0,1.422922216E1
1.030855625E0,1.439205009E0,1.341557093E1,-8.371834333E-1,1.351849586E1
1.040904625E0,2.295431947E-1,1.284520428E1,-6.610943878E-1,1.286425314E1
1.050952625E0,-8.349794716E-1,1.191980872E1,-7.064803295E-1,1.196988493E1
1.061001625E0,-1.448873965E0,9.714920765E0,1.480316198E-1,9.823483832E0
1.071050625E0,-1.956556710E0,6.213391685E0,8.888587864E-1,6.574528146E0
1.081098625E0,-2.330166454E0,1.931381523E0,1.583582704E0,3.415793389E0
1.091147625E0,-2.726310199E0,-1.849553833E0,2.441252442E0,4.100406098E0
1.101195625E0,-2.614597974E0,-4.885523509E0,2.641996565E0,6.138779062E0
1.111244625E0,-1.939963920E0,-6.978733742E0,2.332033470E0,7.609504896E0
1.121292625E0,-1.042908653E0,-7.937556657E0,1.339881573E0,8.117126755E0
1.131341625E0,-4.048937369E-1,-8.308072493E0,2.550296728E-1,8.321841600E0
1.141390625E0,-7.826657487E-1,-8.385131194E0,-3.798292816E-1,8.430140040E0
1.151438625E0,-1.464556782E0,-8.480641953E0,-7.905494034E-1,8.642406081E0
1.161487625E0,-1.704831006E0,-8.943841420E0,-1.246870791E0,9.189854998E0
1.171535625E0,-1.456143662E0,-9.582108863E0,-1.306611939E0,9.779795468E0
1.181584625E0,-1.014679246E0,-1.035656497E1,-1.195706411E0,1.047462295E1
1.191632625E0,-6.682909946E-1,-1.106031948E1,-9.185860308E-1,1.111850170E1
1.201681625E0,-8.193907946E-1,-1.157931717E1,-5.029611913E-1,1.161916337E1
1.211729625E0,-1.380212597E0,-1.183322666E1,-1.143072188E-1,1.191399623E1
1.221777917E0,-1.760241999E0,-1.196272027E1,4.423289271E-1,1.209961913E1
1.231826917E0,-2.078351581E0,-1.185159745E1,1.141729667E0,1.208649883E1
1.241874917E0,-2.311682675E0,-1.148160201E1,1.502682967E0,1.180801074E1
1.251923917E0,-2.461529855E0,-1.122033438E1,1.400046791E0,1.157217196E1
1.261971917E0,-2.755942426E0,-1.089043214E1,1.315641063E0,1.131051025E1
1.272020917E0,-2.869852034E0,-1.062164265E1,1.212251839E0,1.106909652E1
1.282068917E0,-2.848628395E0,-1.054089962E1,1.103812813E0,1.097468228E1
1.292117917E0,-3.026574955E0,-1.052090448E1,1.057763650E0,1.099856586E1
1.302165917E0,-3.301090035E0,-1.063306577E1,9.372326553E-1,1.117307872E1
1.312214917E0,-3.302417938E0,-1.079178961E1,7.388448143E-1,1.130993275E1
1.322263917E0,-3.422150204E0,-1.092060026E1,7.169165862E-1,1.146667308E1
1.332311917E0,-3.778077822E0,-1.098997514E1,7.645457391E-1,1.164637092E1
1.342360917E0,-4.178368265E0,-1.110671246E1,6.579672968E-1,1.188489562E1
1.352408917E0,-4.334182821E0,-1.123892151E1,6.354484999E-1,1.206243310E1
1.362457917E0,-4.379738771E0,-1.125199822E1,8.488040435E-1,1.210413335E1
1.372505917E0,-4.532146447E0,-1.116326790E1,1.372598791E0,1.212612588E1
1.382554917E0,-4.392670180E0,-1.100025454E1,1.881187270E0,1.199333218E1
1.392602917E0,-3.868320532E0,-1.083777913E1,2.197632734E0,1.171541505E1
1.402651917E0,-3.358243060E0,-1.064185764E1,2.427610742E0,1.142016744E1
1.412700917E0,-2.958919162E0,-1.035678600E1,2.656864865E0,1.109401414E1
1.422748917E0,-2.430683746E0,-1.017833833E1,2.907090611E0,1.086084576E1
1.432797917E0,-1.985788695E0,-1.023915990E1,2.920642118E0,1.083115426E1
1.442845917E0,-1.628967476E0,-1.046409293E1,2.647866000E0,1.091613349E1
1.452894917E0,-9.124031849E-1,-1.069399960E1,2.453656579E0,1.100974740E1
1.462942917E0,-6.619137289E-1,-1.047511026E1,2.463126730E0,1.078114363E1
1.472991917E0,-1.224074836E0,-9.261380898E0,2.544939802E0,9.682368199E0
1.483039917E0,-1.355442622E0,-6.906756272E0,2.294139858E0,7.402944319E0
1.493088917E0,-9.365940662E-1,-3.902947451E0,1.765975925E0,4.385074483E0
1.503137917E0,-3.283468866E-1,-1.500646967E-1,1.125014963E0,1.181520105E0
1.513185917E0,-1.368654844E-1,4.833986151E0,-1.912086296E-1,4.839701954E0
1.523234917E0,-2.842040264E-1,1.003073239E1,-1.253623155E0,1.011276101E1
1.533282917E0,-3.179415106E-1,1.386373662E1,-1.254499068E0,1.392400976E1
1.543331917E0,-1.325671085E0,1.572309506E1,-6.851800923E-1,1.579375174E1
1.553379917E0,-2.978908745E0,1.679025636E1,-2.343702905E-1,1.705407679E1
1.563428917E0,-3.707636999E0,1.820353891E1,6.452344000E-1,1.858848375E1
1.573477917E0,-4.733703771E0,1.938142892E1,1.890185842E0,2.004047258E1
1.583525917E0,-5.331520468E0,2.010613985E1,1.929295529E0,2.089028845E1
1.593574917E0,-4.280065963E0,2.014306151E1,8.767549038E-1,2.061141894E1
1.603622917E0,-2.676108052E0,1.934089602E1,-8.415172434E-1,1.954328439E1
1.613671917E0,-1.446456580E0,1.857775720E1,-3.102472399E0,1.889049057E1
1.623719917E0,-9.298388511E-3,1.665239305E1,-5.023203803E0,1.739352917E1
1.633768917E0,1.421582817E0,1.337298215E1,-5.994900532E0,1.472400698E1
1.643816917E0,2.132743258E0,1.001628275E1,-6.371520277E0,1.206112700E1
1.653865917E0,2.311388121E0,7.192469355E0,-6.621241994E0,1.004564463E1
1.663914917E0,2.274952367E0,5.752899479E0,-6.638990632E0,9.074549978E0
1.673962917E0,2.164679434E0,5.453989815E0,-6.306534323E0,8.614186968E0
1.684011917E0,2.537282580E0,6.480629906E0,-6.175285381E0,9.304327832E0
1.694059917E0,2.000993795E0,8.139940485E0,-5.234979429E0,9.882692795E0
1.704108917E0,7.371916603E-1,8.881241714E0,-3.575298722E0,9.602221976E0
1.714156917E0,1.136498456E-1,8.387413362E0,-2.830481561E0,8.852866489E0
1.724205917E0,3.790355220E-1,7.288057882E0,-2.383422456E0,7.677249392E0
1.734253917E0,1.111145806E0,6.060596924E0,-1.754927173E0,6.406656652E0
1.744302917E0,1.565053901E0,5.265995400E0,-1.100332404E0,5.602752240E0
1.754351917E0,1.942458050E0,4.465450766E0,-8.289050916E-1,4.939683944E0
1.764399917E0,2.008950247E0,3.518199492E0,-7.503018486E-1,4.120262324E0
1.774448917E0,1.847772625E0,2.831452784E0,-7.917445743E-1,3.472498814E0
1.784496917E0,2.003239126E0,2.096884623E0,-1.035457692E0,3.079296145E0
1.794545917E0,2.128857198E0,9.894272411E-1,-1.167969486E0,2.622051097E0
1.804593917E0,2.086231289E0,-7.235403121E-2,-1.211973438E0,2.413809377E0
1.814642917E0,1.712202591E0,-1.004737006E0,-1.023478063E0,2.233526698E0
1.824691917E0,1.392506075E0,-1.831800517E0,-9.303865890E-1,2.481972101E0
1.834739917E0,1.225674926E0,-2.555095831E0,-8.374836878E-1,2.955024984E0
1.844788917E0,1.047035764E0,-3.273584148E0,-6.259608078E-1,3.493488801E0
1.854836917E0,7.742573065E-1,-3.916063340E0,-4.664594360E-1,4.019031086E0
1.864885917E0,6.980570499E-1,-4.270046175E0,-4.443300636E-1,4.349483554E0
1.874933917E0,8.534054368E-1,-4.458886682E0,-5.303237486E-1,4.570690819E0
1.884982917E0,8.434254091E-1,-4.826160237E0,-3.792993046E-1,4.913965508E0
1.895030917E0,8.354367238E-1,-5.294856672E0,-2.096774257E-1,5.364459555E0
1.905079917E0,1.086907270E0,-5.569650664E0,-1.699760740E-1,5.677258828E0
1.915128917E0,1.128775526E0,-5.561309026E0,-2.084635437E-1,5.678534082E0
1.925176917E0,1.201993337E0,-5.473711889E0,-2.283337712E-1,5.608782946E0
1.935225917E0,1.233062006E0,-5.562677860E0,4.587798491E-3,5.697705497E0
1.945273917E0,1.155454910E0,-5.621879164E0,3.109783173E-1,5.747809052E0
