"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.080166643E-3,6.093680178E-1,-1.668719333E-1,5.477437735E-1,8.361811195E-1
1.312816655E-2,5.491231316E-1,-2.123153239E-1,5.682464504E-1,8.182408196E-1
2.317616669E-2,5.483600700E-1,-2.396574891E-1,5.494079641E-1,8.123937404E-1
3.322516661E-2,5.175364727E-1,-2.274180973E-1,5.111624960E-1,7.621352169E-1
4.327316652E-2,4.397794680E-1,-2.246412545E-1,4.941575503E-1,6.986138836E-1
5.332116666E-2,3.254222555E-1,-1.855993956E-1,4.576113562E-1,5.914008229E-1
6.337016658E-2,1.980017786E-1,-1.578040713E-1,4.295481563E-1,4.986165338E-1
7.341816672E-2,6.226583004E-2,-1.278107786E-1,3.833691859E-1,4.088820875E-1
8.346616663E-2,-4.883199826E-2,-1.034144408E-1,3.307443181E-1,3.499584470E-1
9.351416654E-2,-1.605807678E-1,-6.509295881E-2,2.700559938E-1,3.208637033E-1
1.035631667E-1,-2.684963952E-1,-1.402162313E-2,2.145249867E-1,3.439591401E-1
1.136111666E-1,-3.711311097E-1,2.002554417E-2,1.358436835E-1,3.957181186E-1
1.236591665E-1,-4.643050294E-1,3.533121586E-2,6.700777575E-2,4.704439362E-1
1.337071666E-1,-5.331238340E-1,5.651392400E-2,1.068754077E-2,5.362173715E-1
1.437561666E-1,-5.854089054E-1,5.573449016E-2,-5.503896385E-2,5.906261148E-1
1.538041667E-1,-5.733192024E-1,6.870887697E-2,-1.080343258E-1,5.874412593E-1
1.638521666E-1,-4.676239090E-1,6.450472891E-2,-1.156627496E-1,4.860152795E-1
1.739011665E-1,-2.944843452E-1,4.183331966E-2,-9.320593312E-2,3.117024256E-1
1.839491667E-1,-9.321952790E-2,1.572140872E-2,-5.059347197E-2,1.072228636E-1
1.939971666E-1,8.357132971E-2,-2.223462224E-2,9.379957169E-3,8.698579868E-2
2.040451667E-1,2.258699007E-1,-5.195251107E-2,8.366985530E-2,2.464080359E-1
2.140941666E-1,3.091079392E-1,-5.951880813E-2,1.361161637E-1,3.429545401E-1
2.241421666E-1,3.533444645E-1,-1.072718489E-1,1.629022586E-1,4.036046407E-1
2.341901667E-1,3.691664453E-1,-1.481526572E-1,1.796557009E-1,4.364736476E-1
2.442391666E-1,3.208343840E-1,-1.589893019E-1,1.542564194E-1,3.898811909E-1
2.542871665E-1,2.080369163E-1,-1.381036323E-1,1.103648798E-1,2.730061876E-1
2.643351667E-1,1.007153660E-1,-9.065815508E-2,4.228245892E-2,1.419517255E-1
2.743831666E-1,1.762687013E-2,-4.504461050E-2,1.112842083E-2,4.963431510E-2
2.844321667E-1,-3.249473155E-2,6.317916512E-3,-1.281475782E-2,3.549706559E-2
2.944801666E-1,-8.841794059E-2,7.100858688E-2,-2.682015494E-2,1.165301349E-1
3.045281665E-1,-1.120425922E-1,1.366587853E-1,-2.106415585E-2,1.779687184E-1
3.145761667E-1,-1.240825939E-1,1.811917645E-1,-1.840250328E-2,2.203760372E-1
3.246251666E-1,-1.558091475E-1,1.917629457E-1,-8.727554083E-3,2.472360976E-1
3.346731665E-1,-2.131808580E-1,1.870875120E-1,-2.220772505E-2,2.845013154E-1
3.447211666E-1,-3.004913360E-1,1.714561504E-1,-2.687723838E-2,3.470081274E-1
3.547701666E-1,-3.718029548E-1,1.268436491E-1,-4.396748029E-2,3.952972146E-1
3.648181667E-1,-4.141704176E-1,6.865332842E-2,-6.950446375E-2,4.255364671E-1
3.748661666E-1,-3.769458733E-1,1.734050274E-2,-9.646385550E-2,3.894793446E-1
3.849141665E-1,-2.839441542E-1,1.063550055E-2,-1.168871565E-1,3.072458363E-1
3.949631667E-1,-1.821697113E-1,7.148981273E-2,-1.067876995E-1,2.229354386E-1
4.050111666E-1,-6.192625299E-2,1.473913497E-1,-8.876307249E-2,1.828604763E-1
4.150591667E-1,6.702590212E-2,1.651335561E-1,-4.618481755E-2,1.841048622E-1
4.251081666E-1,1.747832161E-1,1.408272654E-1,-5.568888187E-3,2.245272897E-1
4.351561666E-1,1.837839814E-1,1.123302752E-1,4.496633090E-2,2.200377546E-1
4.452041667E-1,9.757468030E-2,4.231454551E-2,8.871870674E-2,1.385003535E-1
4.552521666E-1,-1.755582646E-2,-5.085557342E-2,1.009697199E-1,1.144088315E-1
4.653011665E-1,-1.154857251E-1,-9.614752114E-2,1.133985615E-1,1.882565597E-1
4.753489166E-1,-2.219747780E-1,-9.964591026E-2,1.217996947E-1,2.720979146E-1
