"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.984750006E-3,-1.233904882E0,-3.667237417E0,1.133430129E-1,3.870916968E0
1.903375001E-2,-1.563117449E0,-2.736844835E0,-6.064958654E-2,3.152353753E0
2.908275000E-2,-1.210431820E0,-1.878308685E0,-4.868790094E-1,2.286971770E0
3.913175000E-2,-5.068237889E-1,-1.149734505E0,-1.012483982E0,1.613655353E0
4.918075001E-2,2.786198258E-4,-2.369911587E-1,-1.623477672E0,1.640684198E0
5.922975001E-2,3.041002375E-1,-4.418448508E-2,-1.496399549E0,1.527625882E0
6.927875000E-2,2.596359631E-1,3.004211694E-1,-1.434073493E0,1.488029064E0
7.932775001E-2,1.277227780E-1,7.120072639E-1,-8.448928410E-1,1.112255081E0
8.937675001E-2,3.682965258E-1,8.412488562E-1,-3.127547014E-1,9.701327085E-1
9.942575000E-2,4.467556348E-1,1.128412634E0,8.023923540E-1,1.454901769E0
1.094747083E-1,4.915134394E-1,1.660549019E0,8.387585270E-1,1.924194474E0
1.195237083E-1,6.576568097E-2,1.611479770E0,-2.168065337E-1,1.627328254E0
1.295727083E-1,-8.971494073E-1,1.095976374E0,-3.336807168E-1,1.455123394E0
1.396217083E-1,-1.627110254E0,5.857097447E-1,-7.758195363E-2,1.731058244E0
1.496707083E-1,-2.012928547E0,1.880037707E-1,7.338964619E-2,2.023020710E0
1.597197083E-1,-2.244987871E0,-1.463341731E-1,4.468370573E-1,2.293697362E0
1.697687083E-1,-2.185270550E0,-3.796509415E-1,8.870189600E-1,2.388795690E0
1.798167083E-1,-1.611421883E0,-5.144602525E-1,1.338046424E0,2.156784196E0
1.898657083E-1,-1.085855429E0,-4.437592292E-1,1.753514485E0,2.109696024E0
1.999147083E-1,-7.753194532E-1,-2.131315953E-1,1.857385594E0,2.023963086E0
2.099637083E-1,-5.421362936E-1,1.000365043E-1,1.649697464E0,1.739373676E0
2.200127083E-1,-4.250501856E-1,3.748696733E-1,1.391194106E0,1.502203706E0
2.300617083E-1,-3.955533215E-1,4.473546821E-1,1.180341317E0,1.322797893E0
2.401107083E-1,-3.089537188E-1,5.270762050E-1,8.672299357E-1,1.060824909E0
2.501597083E-1,-1.730436695E-1,5.519157618E-1,5.777529998E-1,8.175289894E-1
2.602087083E-1,-1.453588575E-1,5.201893544E-1,4.046928120E-1,6.749092042E-1
2.702577083E-1,-1.068678063E-1,5.510141212E-1,3.116156638E-1,6.419825634E-1
2.803067083E-1,-1.195714670E-1,5.551814318E-1,2.395053153E-1,6.163493765E-1
2.903557083E-1,-2.553151631E-1,4.042092472E-1,2.171747987E-1,5.251055525E-1
3.004047083E-1,-3.321545935E-1,1.985386992E-1,1.543863007E-1,4.166286342E-1
3.104537083E-1,-3.325346625E-1,2.633702874E-2,1.914137207E-2,3.341247267E-1
3.205027083E-1,-3.325592208E-1,-1.135108280E-1,-1.059620726E-1,3.670262991E-1
3.305517083E-1,-3.505674756E-1,-2.112341738E-1,-2.549679116E-1,4.822095676E-1
3.406007083E-1,-3.245935589E-1,-2.611892760E-1,-3.391374115E-1,5.372103873E-1
3.506497083E-1,-3.026051044E-1,-3.049521768E-1,-2.499357978E-1,4.970247302E-1
3.606987083E-1,-1.165101573E-1,-3.116197568E-1,-1.988369802E-1,3.875791975E-1
3.707477083E-1,-2.005887330E-3,-3.268418133E-1,-2.113090547E-1,3.892057439E-1
3.807967083E-1,1.820080358E-1,-3.439449191E-1,-2.192542513E-1,4.466513844E-1
3.908457083E-1,3.917456147E-1,-3.470199698E-1,-1.844281983E-1,5.548884991E-1
4.008947083E-1,5.561321890E-1,-3.711771566E-1,-1.188820803E-1,6.791085644E-1
4.109437083E-1,7.716283983E-1,-3.988982213E-1,-1.152672951E-1,8.762515194E-1
4.209927083E-1,1.076745467E0,-4.310140532E-1,-9.331922293E-2,1.163555925E0
4.310417083E-1,1.340337071E0,-3.633775556E-1,-1.077969289E-1,1.392898736E0
4.410907083E-1,1.549910782E0,-1.914208835E-1,-2.814008347E-1,1.586837048E0
4.511397083E-1,1.800088727E0,-3.195503354E-2,-4.175895039E-1,1.848167077E0
4.611887083E-1,2.050241092E0,6.949064970E-2,-3.659235064E-1,2.083798814E0
4.712377083E-1,1.910759563E0,1.353776604E-1,-2.539703035E-1,1.932312121E0
4.812867083E-1,1.360670471E0,1.303174800E-1,-1.730027390E-1,1.377801410E0
4.913357083E-1,1.040994128E0,6.946843028E-2,-2.966630543E-1,1.084667509E0
5.013847083E-1,7.526237780E-1,-4.920256555E-2,-3.284544754E-1,8.226456017E-1
5.114337083E-1,4.362844411E-1,-1.444145322E-1,-1.443490434E-1,4.817014811E-1
5.214827083E-1,2.241283076E-1,-1.593284404E-1,1.769392307E-1,3.269962409E-1
5.315317083E-1,1.094283020E-1,-1.687325174E-1,3.971089733E-1,4.451300398E-1
5.415807083E-1,3.237734869E-2,-5.847508013E-2,4.268186029E-1,4.320205406E-1
5.516297083E-1,-1.589261520E-1,2.314889288E-1,3.901906208E-1,4.807217142E-1
5.616787083E-1,-2.202273376E-1,5.136498284E-1,2.816206169E-1,6.258165852E-1
5.717277083E-1,-1.458998711E-1,6.495759577E-1,1.170660082E-1,6.759734813E-1
5.817767083E-1,-1.683584417E-1,5.790790021E-1,8.963087238E-2,6.096808582E-1
5.918257083E-1,-1.256274283E-1,4.477786052E-1,2.339997232E-1,5.206186709E-1
6.018747083E-1,1.083372116E-1,3.439846802E-1,3.930264473E-1,5.334155977E-1
6.119237083E-1,3.330986264E-1,1.783020705E-1,2.600562318E-1,4.586671636E-1
6.219727083E-1,4.998094690E-1,1.259121877E-1,5.691343501E-2,5.185581196E-1
6.320217083E-1,7.582821286E-1,1.245749295E-1,-1.969015519E-1,7.932722866E-1
6.420707083E-1,8.145111470E-1,-7.513438225E-2,-4.732759738E-1,9.450204926E-1
6.521197083E-1,8.129258206E-1,-1.955975497E-1,-7.594060365E-1,1.129515082E0
6.621687083E-1,7.456335779E-1,9.669423580E-2,-1.092221292E0,1.325996440E0
6.722177083E-1,5.293324994E-1,4.974834466E-1,-1.081233205E0,1.302592767E0
6.822667083E-1,4.846938318E-1,5.702660787E-1,-8.953864717E-1,1.166982624E0
6.923157083E-1,4.867853808E-1,4.325968945E-1,-8.554101547E-1,1.075093769E0
7.023647083E-1,5.893978760E-1,2.803927016E-1,-1.042717595E0,1.230150359E0
7.124137083E-1,8.780996172E-1,1.786008632E-1,-1.414712777E0,1.674625166E0
7.224627083E-1,9.084896435E-1,3.870739818E-2,-1.668245709E0,1.899972484E0
7.325117083E-1,8.047521441E-1,-1.188353026E-1,-1.937459704E0,2.101308627E0
7.425597083E-1,3.793271519E-1,-1.947421020E-1,-1.880387371E0,1.928126095E0
7.526087083E-1,1.566395983E-2,-1.645710540E-1,-1.346338946E0,1.356450349E0
7.626577083E-1,-1.422231419E-1,-1.890761501E-1,-8.405945528E-1,8.732562137E-1
7.727067083E-1,-2.720001930E-1,-3.229686177E-1,-5.871411431E-1,7.232064400E-1
7.827557083E-1,-4.568007128E-1,-4.502227414E-1,-4.855867016E-1,8.044637051E-1
7.928047083E-1,-6.552312385E-1,-4.561465555E-1,-4.822374165E-1,9.327114140E-1
8.028537083E-1,-8.937021813E-1,-4.520903420E-1,-5.387682974E-1,1.137260104E0
8.129027083E-1,-1.041622996E0,-4.883033180E-1,-6.176016283E-1,1.305699187E0
8.229517083E-1,-1.076751460E0,-4.967695016E-1,-6.117438877E-1,1.334317889E0
8.330007083E-1,-1.149715794E0,-5.086241466E-1,-5.736492777E-1,1.381889440E0
8.430497083E-1,-1.324218636E0,-5.872943401E-1,-5.391869581E-1,1.545701205E0
8.530987083E-1,-1.337580986E0,-6.181816721E-1,-4.659517515E-1,1.545439261E0
8.631477083E-1,-1.085230507E0,-5.232977343E-1,-5.001836908E-1,1.304511210E0
8.731967083E-1,-1.034416449E0,-3.770261264E-1,-6.666223454E-1,1.287070877E0
8.832457083E-1,-1.274572706E0,-3.073787713E-1,-8.494893372E-1,1.562257797E0
8.932947083E-1,-1.425811231E0,-3.050129879E-1,-8.649739337E-1,1.695331972E0
9.033437083E-1,-1.639607508E0,-4.130543303E-1,-7.175340521E-1,1.836785719E0
9.133927083E-1,-1.649640600E0,-4.361806530E-1,-4.446000588E-1,1.763302833E0
9.234417083E-1,-1.561423072E0,-4.874496245E-1,-2.562799537E-1,1.655695794E0
9.334907083E-1,-1.506263364E0,-5.744094157E-1,-1.845708704E-1,1.622603434E0
9.435397083E-1,-1.554182611E0,-5.592744827E-1,-1.427726340E-1,1.657906982E0
9.535887083E-1,-1.651748667E0,-6.132776123E-1,-1.457851195E-1,1.767946942E0
9.636377083E-1,-1.533469581E0,-7.078054547E-1,-2.449036109E-1,1.706603438E0
9.736867083E-1,-1.127557186E0,-7.474448991E-1,-5.152753178E-1,1.447607591E0
9.837357083E-1,-9.342627083E-1,-6.826595038E-1,-6.874758554E-1,1.345917478E0
9.937847083E-1,-9.368981946E-1,-5.594276798E-1,-8.913986707E-1,1.409017085E0
1.003833708E0,-9.025305998E-1,-4.814573979E-1,-1.375637004E0,1.714275321E0
1.013882708E0,-7.418741105E-1,-4.191827971E-1,-2.254244306E0,2.409918838E0
1.023931708E0,-3.959101479E-1,-9.556806207E-2,-2.046872803E0,2.086999370E0
1.033980708E0,1.166132145E-1,9.593819082E-2,-5.663390887E-1,5.861251928E-1
1.044029708E0,4.728329010E-1,-9.690005779E-3,-2.918871582E-1,5.557544076E-1
1.054078708E0,6.861365506E-1,-4.710879457E-1,-1.055783783E0,1.344390797E0
1.064127708E0,5.481700355E-1,-5.744842601E-1,-2.126589063E0,2.270000792E0
1.074176708E0,3.196212329E-1,-5.608427060E-1,-2.432595493E0,2.516788252E0
1.084225708E0,8.976382345E-2,-6.173086828E-1,-2.432289099E0,2.511007331E0
1.094274708E0,-2.058572204E-1,-8.064392120E-1,-2.304673033E0,2.450354910E0
1.104323708E0,-7.491008306E-1,-9.585802549E-1,-1.956124016E0,2.303573165E0
1.114372875E0,-1.108386212E0,-8.064245939E-1,-1.642452471E0,2.139273414E0
1.124421875E0,-1.094920075E0,-4.302018750E-1,-1.486000276E0,1.895289013E0
1.134470875E0,-8.999243496E-1,1.664702296E-2,-1.461600430E0,1.716512970E0
1.144519875E0,-8.871794660E-1,3.433116657E-1,-1.606694409E0,1.867195016E0
1.154568875E0,-1.087722445E0,6.364507127E-1,-1.824150020E0,2.217145219E0
1.164617875E0,-1.408446170E0,7.844647908E-1,-2.069716705E0,2.623515363E0
1.174666875E0,-1.791775595E0,7.720435506E-1,-2.288931744E0,3.007610273E0
1.184715875E0,-2.189770567E0,6.558079201E-1,-2.393612106E0,3.309767074E0
1.194764875E0,-2.415071242E0,5.453996247E-1,-2.334061139E0,3.402627110E0
1.204813875E0,-2.529765108E0,3.454599327E-1,-2.232325433E0,3.391508647E0
1.214862875E0,-2.556822513E0,-3.662111163E-3,-2.170026274E0,3.353560616E0
1.224911875E0,-2.531919514E0,-4.258784437E-1,-2.113162687E0,3.325273736E0
1.234960875E0,-2.678575869E0,-6.478633082E-1,-1.997088439E0,3.403359779E0
1.245009875E0,-2.864701806E0,-3.841608989E-1,-1.791393333E0,3.400468513E0
1.255058875E0,-2.977197558E0,2.641169769E-1,-1.368029192E0,3.287090955E0
1.265107875E0,-3.070637233E0,9.220211238E-1,-9.904481649E-1,3.355580954E0
1.275156875E0,-3.210369315E0,1.128141323E0,-8.040190494E-1,3.496515496E0
1.285205875E0,-2.922522583E0,8.957677102E-1,-6.961654025E-1,3.134993510E0
1.295254875E0,-2.661460192E0,6.870788294E-1,-4.831741405E-1,2.790860964E0
1.305302875E0,-2.303147202E0,7.312814409E-1,-4.288529223E-1,2.454215640E0
1.315351875E0,-1.334711465E0,6.578316414E-1,-4.822777623E-1,1.564221533E0
1.325400875E0,-3.257184170E-1,5.187100089E-1,-5.489073694E-1,8.224669359E-1
1.335449875E0,3.994825043E-1,5.122704703E-1,-5.801525509E-1,8.709674439E-1
1.345498875E0,9.388662212E-1,2.138285834E-1,-2.497217166E-1,9.947629768E-1
1.355547875E0,1.631376529E0,-4.950077355E-1,1.364400629E-1,1.710274226E0
1.365596875E0,2.276290356E0,-1.398124811E0,4.385527953E-1,2.707134892E0
1.375645875E0,2.760740066E0,-2.117496643E0,8.339930463E-1,3.577851611E0
1.385694875E0,3.299984912E0,-2.576308944E0,1.090207511E0,4.326178523E0
1.395743875E0,3.877682801E0,-2.792837772E0,1.337502633E0,4.962386525E0
1.405792875E0,4.483810146E0,-2.555599276E0,1.603430639E0,5.404315951E0
1.415841875E0,4.861334748E0,-1.482990714E0,1.993827009E0,5.459595510E0
1.425890875E0,2.851505810E0,2.469068670E-1,2.420503013E0,3.748450776E0
1.435939875E0,8.450893074E-1,1.829539399E0,1.819026836E0,2.714820248E0
1.445988875E0,-9.770194495E-1,3.461196156E0,6.822811890E-1,3.660594686E0
1.456037875E0,-3.085570437E0,4.685625917E0,-2.214220700E-1,5.614700606E0
1.466086875E0,-4.719552047E0,5.037863358E0,-4.288366963E-1,6.916512101E0
1.476135875E0,-5.602621359E0,4.505652713E0,2.550369819E-1,7.194116786E0
1.486184875E0,-6.036875939E0,3.495003002E0,8.199388249E-1,7.023618495E0
1.496233875E0,-5.997362795E0,1.855720891E0,1.517213298E0,6.458637373E0
1.506282875E0,-4.557779763E0,4.657494378E-1,2.016914009E0,5.005818717E0
1.516331875E0,-1.783364814E0,-1.457646543E-1,1.960343075E0,2.654163213E0
1.526380875E0,-1.331827911E0,-9.458602220E-1,2.558034056E0,3.035120323E0
1.536429875E0,-2.571985513E-1,-1.242225178E0,2.236723709E0,2.571421288E0
1.546478875E0,5.215000078E-1,-1.166496719E0,1.429324092E0,1.917196968E0
1.556527875E0,6.228606141E-1,-1.043170170E0,1.002948343E0,1.575456989E0
1.566576875E0,9.124068394E-1,-9.171579945E-1,6.474195045E-1,1.446657196E0
1.576625875E0,9.181201538E-1,-8.930177647E-1,4.730341914E-1,1.365352222E0
1.586674875E0,8.115341833E-1,-9.270567459E-1,6.526018918E-1,1.394242149E0
1.596723875E0,5.986399850E-1,-9.965532428E-1,4.274292715E-1,1.238621806E0
1.606772875E0,2.959840098E-1,-1.187605167E0,2.906031096E-1,1.257959751E0
1.616821875E0,4.028912848E-1,-1.297024698E0,3.686458969E-1,1.407300342E0
1.626870875E0,1.962082914E-1,-1.341243682E0,1.909864354E-1,1.368907640E0
1.636919875E0,1.636752605E-1,-1.507677074E0,2.022771165E-1,1.529965942E0
1.646968875E0,2.355197069E-1,-1.415143717E0,4.575235748E-1,1.505798490E0
1.657017875E0,3.925826436E-1,-1.292949774E0,5.236263478E-1,1.449146232E0
