"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.412458252E-3,7.125488622E-1,-1.288871341E0,-8.527497447E-1,1.701792391E0
1.146145840E-2,1.009661750E0,-1.239796829E0,-9.827951829E-1,1.876805637E0
2.150945831E-2,1.247729747E0,-1.135343338E0,-1.039168335E0,1.981339155E0
3.155845846E-2,1.335288147E0,-1.034836133E0,-1.006139826E0,1.966264887E0
4.160645837E-2,1.239627845E0,-9.102664661E-1,-9.390967476E-1,1.801989160E0
5.165545829E-2,9.833621436E-1,-6.687764597E-1,-9.015914639E-1,1.492357272E0
6.170345843E-2,7.911431151E-1,-3.451196247E-1,-8.631682404E-1,1.220686035E0
7.175245835E-2,6.052344017E-1,-3.569198906E-2,-8.828219017E-1,1.070960835E0
8.180145826E-2,4.197363457E-1,2.507116503E-1,-8.695885563E-1,9.976067305E-1
9.184945840E-2,2.878980049E-1,4.160445964E-1,-8.256560862E-1,9.683420574E-1
1.018984583E-1,1.539229088E-1,5.035575342E-1,-7.083258569E-1,8.826029525E-1
1.119464585E-1,6.481543534E-2,4.129502499E-1,-5.698649597E-1,7.067354681E-1
1.219954584E-1,-4.480757900E-3,2.252932191E-1,-4.695641613E-1,5.208335755E-1
1.320434583E-1,-8.619062651E-2,1.348952651E-2,-4.040134386E-1,4.133251142E-1
1.420924584E-1,-2.003025848E-1,-1.925265920E-1,-3.247333074E-1,4.273632355E-1
1.521414584E-1,-2.379467399E-1,-3.531852740E-1,-3.106355973E-1,5.271175990E-1
1.621894583E-1,-2.741497026E-1,-5.684382391E-1,-3.137300900E-1,7.047741911E-1
1.722384584E-1,-3.513666438E-1,-8.025151455E-1,-3.263343481E-1,9.348706776E-1
1.822864583E-1,-4.332989989E-1,-9.133508724E-1,-3.880071974E-1,1.082823819E0
1.923354582E-1,-4.421119224E-1,-8.782418507E-1,-4.640186620E-1,1.087237333E0
2.023834584E-1,-4.321647122E-1,-6.968653142E-1,-4.581376056E-1,9.392963698E-1
2.124324583E-1,-3.864451137E-1,-3.713169050E-1,-4.348106503E-1,6.901277936E-1
2.224804584E-1,-2.677042437E-1,-4.807756126E-2,-3.308097339E-1,4.282663820E-1
2.325294584E-1,-3.276858589E-1,2.869708192E-1,-2.728754481E-1,5.139954118E-1
2.425784583E-1,-3.274328206E-1,4.123345381E-1,-1.507635120E-1,5.476875568E-1
2.526264584E-1,-4.440925205E-1,4.087308991E-1,2.576056637E-2,6.041048927E-1
2.626754583E-1,-3.952065817E-1,2.822000760E-1,4.068388132E-1,6.335163336E-1
2.727234582E-1,-4.518542607E-1,1.680583334E-1,7.232771873E-1,8.692213562E-1
2.827724584E-1,-5.300093877E-1,-1.550681591E-3,8.882834204E-1,1.034388607E0
2.928204583E-1,-6.499310298E-1,-1.622233969E-1,7.793953279E-1,1.027708057E0
3.028694585E-1,-6.392971373E-1,-3.205291593E-1,4.511115912E-1,8.455420980E-1
3.129184584E-1,-5.980865461E-1,-4.753634298E-1,4.571937919E-2,7.653549298E-1
3.229664583E-1,-6.612459768E-1,-5.495441312E-1,-2.620312019E-1,8.988355493E-1
3.330154584E-1,-9.007852791E-1,-5.372105992E-1,-3.925890025E-1,1.119881901E0
3.430634583E-1,-1.092146594E0,-4.662049359E-1,-2.862633061E-1,1.221506408E0
3.531124583E-1,-8.603206464E-1,-2.687824702E-1,1.111530845E-1,9.081578272E-1
3.631604584E-1,-2.506745204E-1,-2.408643544E-2,5.281567705E-1,5.851217358E-1
3.732094583E-1,1.362315731E-1,1.222471529E-1,7.009513485E-1,7.244557964E-1
3.832584585E-1,9.697826430E-2,2.414391357E-1,6.385125140E-1,6.894895725E-1
3.933064584E-1,-8.954930373E-2,3.778418130E-1,5.129705282E-1,6.433679167E-1
4.033554583E-1,-1.400794796E-1,5.481203341E-1,3.699498260E-1,6.759593442E-1
4.134034584E-1,-3.983781114E-2,6.276869059E-1,2.355270159E-1,6.716032149E-1
4.234524583E-1,-3.204763882E-2,6.619036424E-1,1.662035966E-1,6.832035703E-1
4.335004583E-1,-1.513225058E-1,6.075251216E-1,1.504875235E-1,6.439190701E-1
4.435494584E-1,-3.254795583E-1,4.084987646E-1,7.072214641E-2,5.270766600E-1
4.535974583E-1,-5.478826448E-1,1.769367456E-1,-4.112237133E-2,5.772114464E-1
4.636464585E-1,-6.583148407E-1,-1.081325591E-1,-2.270298421E-1,7.047081872E-1
4.736954584E-1,-6.211202634E-1,-3.639611077E-1,-4.641717859E-1,8.565707889E-1
4.837434583E-1,-5.233187842E-1,-5.534529948E-1,-7.360859518E-1,1.059242794E0
4.937924584E-1,-4.301165056E-1,-5.778107411E-1,-9.814479844E-1,1.217417598E0
5.038404583E-1,-3.798917737E-1,-5.794473767E-1,-1.143669627E0,1.337182575E0
5.138894583E-1,-3.096132117E-1,-4.981968069E-1,-1.208209001E0,1.343067157E0
5.239374584E-1,-8.168721065E-2,-1.779810584E-1,-1.194431791E0,1.210379016E0
5.339864583E-1,-6.580259152E-2,-1.275195873E-1,-1.334853845E0,1.342544604E0
5.440354582E-1,-1.267838614E-1,-1.579970294E-1,-1.673753786E0,1.685968252E0
5.540834584E-1,-3.551867028E-1,-1.427773118E-1,-2.034750355E0,2.070447286E0
5.641324583E-1,-7.425613046E-1,-1.511060858E-1,-2.329027855E0,2.449204175E0
5.741804584E-1,-1.080603240E0,-2.493469101E-1,-2.360723273E0,2.608235345E0
5.842292500E-1,-1.110527901E0,-4.071188217E-1,-1.933005295E0,2.266170211E0
5.942772501E-1,-1.039146774E0,-6.331751025E-1,-1.234589299E0,1.733478429E0
6.043262500E-1,-9.444102587E-1,-6.274734825E-1,-7.053695778E-1,1.335357611E0
6.143752499E-1,-9.089987167E-1,-3.863202757E-1,-6.160334782E-1,1.164052949E0
6.244232501E-1,-7.030696486E-1,-1.708041859E-1,-8.465213636E-1,1.113588533E0
6.344722500E-1,-4.977597275E-1,-8.084360361E-2,-1.012500354E0,1.131131028E0
6.445202499E-1,-1.658559796E-1,-7.785567641E-2,-9.064084002E-1,9.247409909E-1
6.545692501E-1,1.065986882E-1,-1.175699651E-2,-6.973037823E-1,7.055027088E-1
6.646172500E-1,4.985184038E-1,3.640476465E-3,-4.248388088E-1,6.549976072E-1
6.746662501E-1,8.853036793E-1,-3.802502811E-2,-2.747267497E-1,9.277301840E-1
6.847152500E-1,1.169907399E0,-6.680619299E-2,-3.697580373E-1,1.228766616E0
6.947632500E-1,1.396381902E0,-9.431383431E-2,-5.553381371E-1,1.505715100E0
7.048122501E-1,1.665855367E0,-8.826898277E-2,-6.548869836E-1,1.792133499E0
7.148602500E-1,1.889680935E0,-6.557827771E-2,-6.755989909E-1,2.007891567E0
7.249092499E-1,2.127876474E0,-3.143112302E-2,-6.831428493E-1,2.235068312E0
7.349572501E-1,2.251092072E0,-3.309757948E-2,-6.077163255E-1,2.331915543E0
7.450062500E-1,1.826000371E0,-6.508418798E-2,-5.739276052E-1,1.915177852E0
7.550552499E-1,1.403922618E0,-4.827578187E-2,-7.005595120E-1,1.569749310E0
7.651032500E-1,1.374584798E0,1.403507173E-2,-8.274113473E-1,1.604459375E0
7.751522500E-1,1.329973174E0,4.584918737E-2,-8.726220918E-1,1.591351660E0
7.852002501E-1,1.222847213E0,1.811350465E-2,-8.933901592E-1,1.514539330E0
7.952492500E-1,1.144669647E0,-8.711825073E-2,-8.850461825E-1,1.449539560E0
8.052972499E-1,1.027965362E0,-2.080146968E-1,-8.451365968E-1,1.346936809E0
8.153462501E-1,9.437717427E-1,-3.146375048E-1,-8.554557630E-1,1.312061898E0
8.253942500E-1,9.234036979E-1,-3.632237738E-1,-8.941644037E-1,1.335715494E0
8.354432499E-1,1.105357208E0,-3.320709783E-1,-1.021559957E0,1.541321004E0
8.454922501E-1,1.098226821E0,-2.949569464E-1,-1.174573404E0,1.634846914E0
8.555402500E-1,1.010851878E0,-3.305507022E-1,-1.387502174E0,1.748212679E0
8.655892501E-1,6.390873684E-1,-4.239821917E-1,-1.431240517E0,1.623774301E0
8.756372500E-1,5.925831467E-1,-4.728380173E-1,-1.550255914E0,1.725695215E0
8.856862499E-1,4.224281479E-1,-4.885068011E-1,-1.622949668E0,1.746725525E0
8.957352501E-1,2.290352909E-1,-6.179881293E-1,-1.841746631E0,1.956117876E0
9.057832500E-1,-1.432274012E-1,-7.943576950E-1,-2.075250510E0,2.226697760E0
9.158322499E-1,-3.785241830E-1,-8.573228520E-1,-2.304784130E0,2.488033946E0
9.258802501E-1,-5.128595772E-1,-8.757263786E-1,-2.540288926E0,2.735505340E0
9.359292500E-1,-4.343877505E-1,-8.190920019E-1,-2.666457807E0,2.823048292E0
9.459772501E-1,-8.654671463E-1,-8.529041111E-1,-2.601570085E0,2.871349110E0
9.560262500E-1,-1.176346353E0,-7.638422459E-1,-2.543129504E0,2.904264690E0
9.660742499E-1,-1.188140480E0,-6.893995893E-1,-2.577200060E0,2.920429719E0
9.761232501E-1,-1.345941335E0,-6.382358676E-1,-2.591000658E0,2.988676548E0
9.861722500E-1,-1.068902742E0,-2.524628913E-1,-2.678632879E0,2.895058667E0
9.962202499E-1,1.166304637E-1,7.879006147E-2,-2.951311934E0,2.954666254E0
1.006269250E0,4.520564282E-1,2.409052849E-4,-2.880137286E0,2.915398062E0
1.016317250E0,8.174210139E-1,-1.110737085E-1,-2.969573958E0,3.082025953E0
1.026366250E0,7.724351679E-1,-1.987936378E-1,-3.173798490E0,3.272487105E0
1.036414250E0,7.050477616E-1,-2.513028038E-1,-3.281874915E0,3.366147413E0
1.046463250E0,6.998099720E-1,-2.954720861E-1,-3.231093017E0,3.319186622E0
1.056512250E0,6.721397781E-1,-2.350902289E-1,-2.937455202E0,3.022529133E0
1.066560250E0,7.984675567E-1,-1.099919736E-2,-2.501242390E0,2.625620862E0
1.076609250E0,8.708005379E-1,4.536281598E-1,-2.072378358E0,2.293212625E0
1.086657250E0,9.059241776E-1,1.043550239E0,-1.795099298E0,2.265408839E0
1.096706250E0,9.140139467E-1,1.634952248E0,-1.666226081E0,2.506950279E0
1.106754250E0,9.250208916E-1,2.262850823E0,-1.546218996E0,2.892568181E0
1.116803250E0,9.101271562E-1,2.811386894E0,-1.472114308E0,3.301416097E0
1.126852250E0,6.972664332E-1,3.131019675E0,-1.361099657E0,3.484545445E0
1.136900250E0,5.092490678E-1,3.197497255E0,-1.314095060E0,3.494305243E0
1.146949250E0,2.490725295E-1,2.926664751E0,-1.265202397E0,3.198146462E0
1.156997250E0,-5.040212184E-2,2.503211732E0,-1.083788438E0,2.728224098E0
1.167046250E0,-1.892312475E-1,1.710186617E0,-8.569574010E-1,1.922218177E0
1.177094250E0,-1.499999388E-1,7.841244829E-1,-5.361300337E-1,9.616582550E-1
1.187143250E0,-2.965184453E-1,6.491929650E-2,-1.272623098E-1,3.291403940E-1
1.197192250E0,-4.808057258E-1,-7.093380100E-1,3.027933482E-1,9.088555276E-1
1.207240250E0,-5.875000159E-1,-1.398275084E0,8.116309547E-1,1.720196003E0
1.217289250E0,-5.488725784E-1,-2.008863562E0,1.105591536E0,2.357780007E0
1.227337250E0,-5.559659819E-1,-2.487556981E0,1.333078630E0,2.876479887E0
1.237386250E0,-5.574910820E-1,-2.646682523E0,1.412330621E0,3.051295212E0
1.247434250E0,-7.471648175E-1,-2.461475476E0,1.449697838E0,2.952751362E0
1.257483250E0,-1.079491173E0,-1.885287922E0,1.580806446E0,2.686737941E0
1.267531250E0,-1.533924787E0,-8.418060958E-1,1.821486321E0,2.525742499E0
1.277580250E0,-1.835125097E0,5.200174463E-1,2.113726505E0,2.847093606E0
1.287629250E0,-2.029529961E0,2.120272316E0,2.188741311E0,3.661302376E0
1.297677250E0,-1.621391531E0,3.649701033E0,2.180907212E0,4.550338932E0
1.307726250E0,-6.551113705E-1,4.610109127E0,2.287726779E0,5.188060417E0
