"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.599333336E-3,3.693981412E-1,3.510668278E-3,-3.958928986E-1,5.414780685E-1
8.449666668E-3,6.161079571E-1,-2.229157412E-1,-4.089868610E-1,7.723669432E-1
1.849866667E-2,7.896632579E-1,-3.016373903E-1,-4.573735937E-1,9.611159037E-1
2.854766666E-2,9.734149334E-1,-3.000639045E-1,-2.904309091E-1,1.059209655E0
3.859666667E-2,1.013065487E0,-1.430848753E-1,-1.505582017E-1,1.034138644E0
4.864566667E-2,8.398674515E-1,1.402688563E-2,-1.282500507E-1,8.497188742E-1
5.869466667E-2,6.629169649E-1,2.297821265E-1,8.216902122E-2,7.064067356E-1
6.874366666E-2,3.228756469E-1,3.284696782E-1,1.943800132E-1,4.999245967E-1
7.879166667E-2,-3.008947939E-2,4.819760460E-1,1.612746862E-1,5.091324092E-1
8.884066666E-2,-3.771509644E-1,7.903932828E-1,7.372929633E-2,8.788631296E-1
9.888966667E-2,-5.616978613E-1,-1.205947298E-1,2.677288020E-1,6.338188129E-1
1.089386667E-1,-3.488437164E-1,-7.922211224E-1,3.682054554E-1,9.406814033E-1
1.189876667E-1,-4.686204207E-1,-4.474382973E-1,3.662004451E-1,7.442505590E-1
1.290366667E-1,-5.872607186E-1,-1.027186221E-1,5.506298129E-1,8.115537307E-1
1.390856667E-1,-5.457700458E-1,2.016096568E-1,6.998900789E-1,9.101414831E-1
1.491346667E-1,-5.434861234E-1,1.731921887E-1,4.105359346E-1,7.027890538E-1
1.591836667E-1,-6.386030728E-1,2.008465952E-1,-1.352146693E-1,6.829613797E-1
1.692326667E-1,-6.704853085E-1,2.722527927E-1,-6.531304801E-1,9.748084714E-1
1.792816667E-1,-4.969595361E-1,6.092757779E-1,-9.322645685E-1,1.219550319E0
1.893306667E-1,-4.644039935E-1,1.143338236E0,-7.729147857E-1,1.456121787E0
