"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.831541660E-3,-1.904862061E-1,1.063912582E-1,9.595865607E-3,2.183945402E-1
1.388054166E-2,-8.053779423E-2,-1.341286951E-1,1.842519048E-1,2.417138961E-1
2.392954165E-2,-2.324999124E-1,-1.166133606E-1,-2.882677317E-2,2.616980474E-1
3.397854166E-2,-1.389231196E-1,-1.614006937E-1,-8.598476797E-2,2.296588718E-1
4.402754166E-2,-1.165244830E-1,-4.260871893E-1,-1.390961972E-1,4.631155365E-1
5.407654167E-2,-5.281263649E-2,-1.135217038E0,-2.861001688E-1,1.171904521E0
6.412554166E-2,8.622596562E-2,-1.692159067E0,-1.605411530E-1,1.701943209E0
7.417354167E-2,-1.053902149E-2,-1.726716111E0,1.697470093E-1,1.735071655E0
8.422254166E-2,-3.390876371E-1,-1.431211866E0,6.059393567E-1,1.590757786E0
9.427154166E-2,-5.985598782E-1,-9.605080819E-1,1.023010139E0,1.525581676E0
1.043205417E-1,-6.381256476E-1,-5.296080494E-1,1.421223359E0,1.645467978E0
1.143695417E-1,-5.976716861E-1,-2.106997383E-1,1.721138452E0,1.834100160E0
1.244185417E-1,-5.285827401E-1,1.098849696E-1,1.668950591E0,1.754101050E0
1.344677917E-1,-8.024420553E-1,2.065061152E-1,1.463213384E0,1.681532467E0
1.445167917E-1,-1.291025455E0,-8.212999105E-3,1.270235095E0,1.811162990E0
1.545647917E-1,-1.584513581E0,-3.702492034E-1,1.132003701E0,1.982221012E0
1.646137917E-1,-1.455210008E0,-6.351327503E-1,1.110527755E0,1.937602042E0
1.746627917E-1,-1.225475829E0,-7.500855017E-1,1.202594212E0,1.873673425E0
1.847117917E-1,-9.152325064E-1,-7.811728084E-1,1.244003901E0,1.730730251E0
1.947607917E-1,-8.231578633E-1,-7.613484085E-1,1.196039483E0,1.639436096E0
2.048097917E-1,-7.047037992E-1,-7.191782892E-1,1.048947803E0,1.454000121E0
2.148587917E-1,-6.956955788E-1,-7.454843277E-1,9.727235001E-1,1.409230368E0
2.249067917E-1,-6.641709003E-1,-8.511920464E-1,1.116900928E0,1.553421568E0
2.349557917E-1,-6.033446547E-1,-7.937589401E-1,1.362278455E0,1.688158943E0
2.450047917E-1,-5.777297571E-1,-4.259977269E-1,1.552264432E0,1.710196072E0
2.550537917E-1,-4.859311026E-1,-4.206720829E-2,1.908998966E0,1.970323765E0
2.651027917E-1,-5.474607682E-1,1.358828598E-1,2.118849396E0,2.192646850E0
2.751517917E-1,-6.954400554E-1,1.503979880E-1,2.115311539E0,2.231770448E0
2.852007917E-1,-8.478073856E-1,-6.785109043E-2,1.909770799E0,2.090599349E0
