"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.185541667E-3,1.145998427E0,-5.761156332E-1,-2.752684357E0,3.036855740E0
6.843458337E-3,8.201515174E-1,-5.935590470E-1,-1.614174167E0,1.905392111E0
1.687345833E-2,3.456485054E-1,-4.135057354E-1,-4.450491250E-1,6.989482142E-1
2.690245833E-2,1.259987265E-2,-2.191010177E-1,2.190776289E-2,2.205537640E-1
3.693145834E-2,9.564875364E-3,1.256771296E-1,-9.726328683E-1,9.807654787E-1
4.696045833E-2,8.002148509E-2,7.793578327E-2,-2.555734931E0,2.558174830E0
5.699045833E-2,-7.794923186E-2,-3.957687914E-2,-3.677689315E0,3.678728192E0
6.701945834E-2,1.178468308E-1,1.002271235E-2,-4.161270422E0,4.162950859E0
7.704845833E-2,3.938155290E-1,-2.195366353E-1,-4.149870690E0,4.174292006E0
8.707845833E-2,1.002008110E-1,-8.089880133E-1,-4.013746925E0,4.095688732E0
9.710745834E-2,1.055963293E-1,-5.699935985E-1,-3.948716531E0,3.991040658E0
1.071364583E-1,-1.189206719E-2,-3.748632413E-1,-2.972883482E0,2.996447909E0
1.171664583E-1,-1.562725686E0,-7.482483065E-1,-1.176363895E0,2.094234732E0
1.271954583E-1,-3.438626488E0,-1.385474945E0,3.114285529E-1,3.720306532E0
1.372244583E-1,-3.871470135E0,-1.742098382E0,1.431308929E0,4.480159933E0
1.472544583E-1,-4.149818358E0,-1.439745292E0,2.136861452E0,4.884673558E0
1.572834583E-1,-5.241300269E0,-6.871881723E-1,2.157437804E0,5.709465297E0
1.673124583E-1,-4.894554826E0,2.462858927E-1,1.582036116E0,5.149773001E0
1.773424583E-1,-3.203991757E0,6.572919434E-1,8.138382787E-1,3.370449320E0
1.873714583E-1,-1.735189312E0,2.952917579E0,-2.467840755E-1,3.433876317E0
1.974004583E-1,-1.877032238E-1,5.407965796E0,4.500859165E-1,5.429908276E0
2.074294583E-1,-7.753157987E-1,6.963878891E0,4.101148766E0,8.118875845E0
2.174594583E-1,-2.917075317E0,8.222024283E0,8.928719351E0,1.248331050E1
2.274884583E-1,-6.626510920E0,8.047129970E0,1.313404153E1,1.676812436E1
2.375174583E-1,-8.634166448E0,7.189698944E0,1.523055953E1,1.892645093E1
2.475474583E-1,-7.114866863E0,6.730273855E0,1.498670842E1,1.790305409E1
2.575764583E-1,-4.833572752E0,7.229507373E0,1.282623006E1,1.549649573E1
2.676054583E-1,-2.788146551E0,8.559261276E0,9.779297440E0,1.329170317E1
2.776354583E-1,-1.300369890E0,1.054375306E1,6.399920788E0,1.240244639E1
2.876644583E-1,2.121377148E-1,1.172299378E1,3.907944481E0,1.235902972E1
2.976934583E-1,1.543431044E0,1.260842245E1,2.730615503E0,1.299271939E1
3.077234583E-1,2.233366092E0,1.244826136E1,2.338497421E0,1.286140370E1
3.177524583E-1,1.933075461E0,1.150461899E1,2.103244347E0,1.185397299E1
3.277814583E-1,-8.381755596E-1,8.709476246E0,2.484178753E0,9.095529607E0
3.378114583E-1,-7.118574290E-1,8.121779033E0,2.389325220E0,8.495817245E0
3.478404583E-1,9.780944601E-1,7.440197756E0,3.242172321E0,8.174649398E0
3.578694583E-1,-3.988473505E-1,3.495339802E0,4.045107297E0,5.360911544E0
3.678984583E-1,-4.136659491E-1,9.261112511E-1,3.749030316E0,3.883816406E0
3.779284583E-1,-9.755406886E-1,-1.843120726E0,3.010760868E0,3.662438348E0
3.879574583E-1,-1.816822289E0,-4.947693445E0,1.001229554E0,5.364976633E0
3.979864583E-1,4.678231528E-1,-7.957721364E0,-5.047246385E-1,7.987423538E0
4.080164583E-1,2.017297001E0,-9.249826216E0,-1.999639580E0,9.676121674E0
4.180454583E-1,2.983973896E0,-9.950012748E0,-4.476891721E0,1.131147264E1
4.280744583E-1,3.414301194E0,-1.100630992E1,-5.832950785E0,1.291586720E1
4.381044583E-1,3.312858142E0,-1.133022228E1,-6.328406417E0,1.339394242E1
4.481334583E-1,3.082540703E0,-1.154646400E1,-6.385945943E0,1.355002560E1
4.581624583E-1,2.808249570E0,-1.178075726E1,-6.545719941E0,1.376658842E1
4.681924583E-1,3.146984328E0,-1.169410503E1,-6.914513773E0,1.394511038E1
4.782214583E-1,3.541724887E0,-1.168135342E1,-7.607921628E0,1.438326474E1
4.882504583E-1,3.268512273E0,-1.155935595E1,-7.932730950E0,1.439548897E1
4.982804583E-1,2.745387909E0,-1.125132229E1,-8.003130841E0,1.407762449E1
5.083094583E-1,2.284060428E0,-1.120192150E1,-7.557230946E0,1.370444150E1
5.183384583E-1,2.046994571E0,-1.129726503E1,-6.711387348E0,1.329891364E1
5.283684583E-1,2.309285024E0,-1.129396486E1,-5.729659721E0,1.287305092E1
5.383974583E-1,2.827265593E0,-1.123451973E1,-4.799434953E0,1.253963477E1
5.484264583E-1,3.366494066E0,-1.073672521E1,-4.178819085E0,1.200304459E1
5.584554583E-1,3.366973538E0,-1.021987111E1,-4.125862023E0,1.152410576E1
5.684854583E-1,3.014319191E0,-9.669661562E0,-4.523584954E0,1.109284886E1
5.785144583E-1,2.502421773E0,-8.980629762E0,-5.007382992E0,1.058242458E1
5.885434583E-1,1.722635632E0,-8.512046179E0,-5.106968091E0,1.007489587E1
5.985734583E-1,1.116461509E0,-8.295523784E0,-4.356994271E0,9.436397630E0
6.086024583E-1,4.317383771E-1,-8.228847399E0,-2.805535001E0,8.704674272E0
6.186314583E-1,-2.676317382E-1,-8.048479507E0,-1.444961886E0,8.181537996E0
6.286614583E-1,-8.044420955E-1,-7.806469098E0,-6.136114883E-1,7.871760027E0
6.386904583E-1,-6.585833010E-1,-7.543873567E0,-1.838656962E-1,7.574798146E0
6.487194583E-1,-2.241188058E-1,-7.385452030E0,-3.889991775E-1,7.399084489E0
6.587494583E-1,3.196588013E-1,-7.120307697E0,-1.007241953E0,7.198298396E0
6.687784583E-1,5.199313460E-1,-6.611376572E0,-1.420816686E0,6.782281978E0
6.788074583E-1,-7.318945214E-2,-5.955952229E0,-1.383770481E0,6.115026116E0
6.888374583E-1,-1.203038235E0,-5.060527166E0,-9.990584823E-1,5.296636106E0
6.988664583E-1,-2.445358211E0,-4.052864798E0,-9.436110905E-1,4.826581786E0
7.088954583E-1,-3.277788589E0,-2.960657539E0,-9.182444072E-1,4.511381594E0
7.189244583E-1,-2.852076498E0,-1.215397568E0,-4.055353957E-1,3.126658049E0
7.289544583E-1,-1.043533501E0,1.070660854E0,6.203483579E-1,1.618675050E0
7.389834583E-1,1.244388794E0,3.757282199E0,2.861434382E0,4.884002428E0
7.490124583E-1,2.679012656E0,6.966749289E0,5.871341264E0,9.496596901E0
7.590424583E-1,1.899628657E0,1.057458192E1,8.729100671E0,1.384296104E1
7.690714583E-1,-7.310538380E-1,1.379799052E1,1.067961195E1,1.746347885E1
7.791004583E-1,-2.406520420E0,1.656373756E1,1.132362662E1,2.020824738E1
7.891304583E-1,-1.403976997E0,1.888486232E1,1.111935531E1,2.196017392E1
7.991594583E-1,1.411084726E0,2.125312967E1,1.118273094E1,2.405701877E1
8.091884583E-1,3.016387936E0,2.308891682E1,1.158616660E1,2.600838197E1
8.192184583E-1,2.091836722E0,2.375295703E1,1.264560255E1,2.699055414E1
8.292477083E-1,1.133934452E0,2.428553547E1,1.463661223E1,2.837786916E1
8.392767083E-1,8.343982583E-1,2.385587271E1,1.658797076E1,2.906818978E1
8.493067083E-1,4.595266847E-1,2.235811310E1,1.766992551E1,2.850127460E1
8.593357083E-1,-5.114177269E-1,1.998116614E1,1.703865076E1,2.626450395E1
8.693647083E-1,-1.533311560E0,1.689000986E1,1.487529440E1,2.255876461E1
