"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.110874997E-3,4.612017074E0,-1.497442926E1,7.290872147E0,1.728181269E1
6.919125000E-3,2.333834998E0,-2.241476092E1,1.718044983E0,2.260132676E1
1.694812501E-2,3.146183552E-1,-2.888568269E1,-4.489630172E0,2.923419964E1
2.697812500E-2,8.317048846E-1,-3.000516955E1,-3.722552662E0,3.024664165E1
3.700712500E-2,1.772593658E0,-2.658127396E1,-1.330950243E0,2.667353823E1
4.703612500E-2,1.555041567E0,-1.965824313E1,-7.025113126E-1,1.973216155E1
5.706612500E-2,1.149023484E0,-1.343290324E1,-4.696015104E-1,1.349013232E1
6.709512500E-2,6.713597596E-2,-1.007183832E1,-1.097130688E0,1.013164005E1
7.712512500E-2,-1.249464177E0,-8.091755919E0,-3.261133672E0,8.813209825E0
8.715412500E-2,-3.153547535E0,-7.281517771E0,-5.754889287E0,9.802250447E0
9.718412500E-2,-5.176499087E0,-6.299063335E0,-7.104203296E0,1.081406705E1
1.072131250E-1,-5.746770428E0,-4.221407865E0,-6.674161634E0,9.766784949E0
1.172421250E-1,-4.859230919E0,-1.286303828E0,-5.437728124E0,7.405105659E0
1.272721250E-1,-3.846383241E0,1.886926312E0,-4.274712837E0,6.052133903E0
1.373011250E-1,-3.558919794E0,4.487567275E0,-2.788109713E0,6.370064828E0
1.473311250E-1,-3.590129892E0,6.390067061E0,-1.393831201E0,7.460881657E0
1.573601250E-1,-3.543752116E0,7.673790513E0,-2.817504068E-1,8.457223137E0
1.673901250E-1,-3.607084771E0,8.646140376E0,3.659216791E-1,9.375537457E0
1.774191250E-1,-3.875763161E0,9.598696244E0,4.379307246E-1,1.036090213E1
1.874481250E-1,-3.947422543E0,1.031778741E1,-1.885259271E-2,1.104713706E1
1.974781250E-1,-3.773236327E0,1.079049854E1,-9.923233670E-1,1.147418306E1
2.075071250E-1,-3.475822088E0,1.098583881E1,-1.803211725E0,1.166282840E1
2.175371250E-1,-3.189873362E0,1.102509351E1,-1.584042295E0,1.158607652E1
2.275661250E-1,-3.143558152E0,1.093359862E1,-8.743785954E-1,1.141008653E1
2.375961250E-1,-3.074965050E0,1.081200460E1,-2.842214584E-1,1.124436016E1
2.476251250E-1,-2.953527444E0,1.067274381E1,1.901818768E-1,1.107551145E1
2.576551250E-1,-2.795965155E0,1.057123029E1,5.655005980E-1,1.094934345E1
2.676841250E-1,-2.616780740E0,1.051566303E1,9.113142872E-1,1.087461283E1
2.777131250E-1,-2.460180610E0,1.052904731E1,1.230521976E0,1.088244045E1
2.877431250E-1,-2.338257101E0,1.056887270E1,1.540544858E0,1.093351704E1
2.977721250E-1,-2.283938952E0,1.066607915E1,1.820953786E0,1.105881975E1
3.078021250E-1,-2.357905353E0,1.078585702E1,2.041359025E0,1.122771464E1
3.178311250E-1,-2.537607393E0,1.089728040E1,2.278489201E0,1.141847995E1
3.278611250E-1,-2.795736237E0,1.094318689E1,2.519444772E0,1.157225485E1
3.378901250E-1,-3.079536403E0,1.089415330E1,2.749250872E0,1.165008588E1
3.479191250E-1,-3.362544272E0,1.075533573E1,2.939995233E0,1.164592300E1
3.579491250E-1,-3.672390568E0,1.054022368E1,3.053238551E0,1.157173424E1
3.679781250E-1,-3.917059706E0,1.010655441E1,3.027190082E0,1.125387393E1
3.780081250E-1,-3.838181351E0,9.481637326E0,2.814687355E0,1.060921992E1
3.880371250E-1,-3.518082547E0,8.996645871E0,2.597624384E0,1.000320919E1
3.980671250E-1,-3.215069892E0,8.686924705E0,2.458461821E0,9.583494653E0
4.080961250E-1,-3.116594009E0,8.417342920E0,2.382127590E0,9.286514519E0
4.181251250E-1,-3.174197270E0,8.164573635E0,2.207558967E0,9.033775929E0
4.281551250E-1,-3.293616709E0,8.031805587E0,1.812602938E0,8.868108108E0
4.381841250E-1,-3.394347863E0,7.912594893E0,8.408145542E-1,8.650879982E0
4.482141250E-1,-5.495587492E0,5.545275376E0,-1.046272936E1,1.305451135E1
4.582431250E-1,-5.905085546E0,2.604823476E-1,-1.986037904E1,2.072130647E1
4.682731250E-1,-5.837929543E-1,-7.110774397E0,-1.463547202E1,1.628192151E1
4.783021250E-1,9.993218994E-1,-6.054489507E0,-9.168480921E-1,6.204522373E0
