"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.419208333E-3,-6.322958567E0,-1.371811873E1,-1.453127815E0,1.517491901E1
1.544920834E-2,-5.013216759E0,-1.359125169E1,-1.090495194E0,1.452734128E1
2.547920834E-2,-3.395722835E0,-1.090826848E1,-6.597366643E-1,1.144362300E1
3.550820833E-2,-2.081508493E0,-7.576704513E0,-3.244631660E-1,7.864121390E0
4.553820834E-2,-7.673714791E-1,-4.259194912E0,-9.908709917E-3,4.327782165E0
5.556820834E-2,4.515589763E-1,-1.034097630E0,1.753556585E-1,1.141933897E0
6.559720833E-2,1.687471208E0,1.935806111E0,1.571801551E-1,2.572860272E0
7.562720834E-2,3.117329589E0,4.714310603E0,4.026147115E-1,5.666089201E0
8.565720834E-2,4.535051636E0,6.831773917E0,7.565267944E-1,8.234813962E0
9.568720833E-2,5.898162442E0,8.713579237E0,1.387341961E0,1.061317582E1
1.057162083E-1,7.068223039E0,1.018464046E1,1.858493056E0,1.253557636E1
1.157462083E-1,7.709737440E0,1.123849817E1,1.325238683E0,1.369306942E1
1.257762083E-1,8.100661229E0,1.192621026E1,4.870718944E-1,1.442540961E1
1.358062083E-1,8.319843523E0,1.223225820E1,1.956647927E-1,1.479480387E1
1.458352083E-1,7.999802606E0,1.242877727E1,3.031991816E-1,1.478388568E1
1.558652083E-1,7.424580427E0,1.261040348E1,-3.123231312E-2,1.463378441E1
1.658952083E-1,7.183806705E0,1.293290549E1,-4.339382458E-1,1.480052113E1
1.759252083E-1,7.528728694E0,1.350586363E1,-6.116047239E-1,1.547462983E1
1.859542083E-1,7.477778395E0,1.371945189E1,-3.181165616E-1,1.562823497E1
1.959842083E-1,7.162676622E0,1.354226138E1,6.169981956E-3,1.531981781E1
2.060142083E-1,6.921901145E0,1.330160869E1,4.638537705E-1,1.500202218E1
2.160442083E-1,6.586632909E0,1.285748811E1,9.734889738E-1,1.447917174E1
2.260732083E-1,6.296936703E0,1.229511811E1,1.224018703E0,1.386793290E1
2.361032083E-1,5.897990534E0,1.152315349E1,1.320731649E0,1.301205944E1
2.461332083E-1,5.538314851E0,1.059123245E1,1.148896015E0,1.200696041E1
2.561632083E-1,5.128950114E0,9.537987528E0,9.254306352E-1,1.086902743E1
2.661922083E-1,4.587359950E0,8.566295477E0,6.744166839E-1,9.740643067E0
2.762222083E-1,4.101579705E0,7.724306363E0,3.191466583E-1,8.751555259E0
2.862522083E-1,3.695392345E0,7.057850078E0,-8.334153414E-2,7.967190102E0
2.962822083E-1,3.329483822E0,6.765870534E0,-3.033009962E-1,7.546817747E0
3.063112083E-1,3.002601371E0,7.002717851E0,-2.673113839E-1,7.623983714E0
3.163412083E-1,2.558627549E0,7.817561851E0,1.519340515E-2,8.225635481E0
3.263712083E-1,2.078040509E0,8.998857288E0,3.019010997E-1,9.240607616E0
3.364002083E-1,1.855299307E0,9.852511597E0,6.406734987E-1,1.004612278E1
3.464302083E-1,1.682692278E0,1.030316118E1,1.013930583E0,1.048878634E1
3.564602083E-1,1.583871849E0,1.035510785E1,1.218653151E0,1.054618529E1
3.664902083E-1,1.426612884E0,1.030486156E1,1.584242270E0,1.052308033E1
3.765192083E-1,1.217285926E0,1.023904763E1,2.172714239E0,1.053757888E1
3.865492083E-1,1.082106340E0,1.015744389E1,2.679871320E0,1.056060277E1
3.965792083E-1,8.818760414E-1,9.972567798E0,3.394257231E0,1.057122490E1
4.066092083E-1,4.968077277E-1,9.253274319E0,3.964591137E0,1.007908163E1
4.166382083E-1,-1.556473258E-1,7.562257213E0,2.547940593E0,7.981476149E0
4.266682083E-1,-3.163533702E0,-1.161217268E0,-1.113140642E1,1.163033017E1
4.366982083E-1,-1.524026766E0,-8.660272511E0,-2.243198448E1,2.409391843E1
4.467282083E-1,-1.337770582E0,-1.197622734E1,-2.925626285E0,1.240076371E1
