"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.597791663E-3,1.782970711E0,-2.193346140E0,1.550797366E0,3.224085036E0
1.362679167E-2,1.200032547E0,-1.650084842E0,2.798436481E0,3.463250617E0
2.365679167E-2,7.761579439E-1,-1.523733528E0,2.760905542E0,3.247581320E0
3.368679166E-2,5.779417187E-1,-1.595426824E0,2.426903229E0,2.961294086E0
4.371579167E-2,5.090030462E-1,-1.425309686E0,2.355314013E0,2.799659962E0
5.374579167E-2,4.126304072E-1,-1.414681202E0,2.032854103E0,2.510793214E0
6.377579166E-2,3.048173985E-1,-1.773597917E0,1.359806253E0,2.255578920E0
7.380479167E-2,5.770570350E-1,-2.155597685E0,5.231269956E-1,2.291998703E0
8.383479167E-2,1.156060023E0,-2.150407112E0,-2.101682264E-1,2.450488973E0
9.386479167E-2,1.517110387E0,-2.098748131E0,-6.124344438E-1,2.661098193E0
1.038937917E-1,1.419052581E0,-1.509815401E0,-4.674533165E-1,2.124091659E0
1.139237917E-1,2.478438833E-1,-1.816389595E0,4.054693222E-2,1.833668947E0
1.239527917E-1,-5.176189184E-2,-1.232098970E0,3.382813060E-1,1.278742119E0
1.339827917E-1,-5.080815250E-1,-7.946284211E-1,8.761532253E-1,1.287332761E0
1.440127917E-1,-8.925596353E-1,-1.979656720E-1,7.911832416E-1,1.209059151E0
1.540417917E-1,-1.721691599E0,-1.161757550E0,3.307383978E-1,2.103162014E0
1.640717917E-1,-1.084887422E0,-1.576125750E0,-3.788843715E-1,1.950565678E0
1.741017917E-1,-1.310463354E0,-9.886472225E-1,-1.767023892E0,2.411868771E0
1.841307917E-1,-1.441943553E0,-8.255829960E-1,-2.677064071E0,3.150787288E0
1.941607917E-1,-1.065829300E0,-1.068219641E0,-2.534886099E0,2.950039463E0
2.041907917E-1,-1.398496694E0,-1.296331803E0,-1.972085161E0,2.743244252E0
2.142197917E-1,-1.629835934E0,-8.006685948E-1,-1.335492361E0,2.254101865E0
2.242497917E-1,-1.482809451E0,-3.233989727E-1,-9.542650098E-1,1.792744397E0
2.342797917E-1,-1.687719276E0,-1.052358484E-1,-8.942105967E-1,1.912873109E0
2.443087917E-1,-2.195224265E0,3.704298824E-1,-9.028118509E-1,2.402352412E0
2.543387917E-1,-2.270968805E0,1.127348440E0,-1.257813855E0,2.830249019E0
2.643677917E-1,-2.293773238E0,1.546717764E0,-1.804482910E0,3.303012274E0
2.743977917E-1,-2.326338136E0,1.768168777E0,-2.190595025E0,3.651982545E0
2.844277917E-1,-2.288942268E0,2.005707235E0,-2.028419575E0,3.657404024E0
2.944567917E-1,-2.279688757E0,2.074336005E0,-1.319812467E0,3.352872745E0
3.044867917E-1,-2.518040271E0,1.598536958E0,-3.368797284E-1,3.001555457E0
3.145167917E-1,-3.365757025E0,4.607015365E-1,8.546600300E-1,3.503000146E0
3.245457917E-1,-4.359152186E0,-7.266147780E-1,2.613153419E0,5.134077094E0
3.345757917E-1,-5.065178626E0,-1.497452633E0,4.659140369E0,7.043151843E0
3.446057917E-1,-5.099549729E0,-1.473523487E0,5.449193344E0,7.607258836E0
3.546347917E-1,-4.448947292E0,-1.159773590E0,4.082348213E0,6.148477350E0
3.646647917E-1,-3.619076533E0,-1.085682936E0,1.552013587E0,4.084748286E0
3.746947917E-1,-2.549025251E0,-1.004855120E0,-7.602444541E-1,2.843454795E0
3.847237917E-1,-1.379043592E0,-6.664153540E-1,-2.383216342E0,2.832947367E0
3.947537917E-1,-6.102247810E-1,-4.216994387E-1,-3.466287326E0,3.544764100E0
4.047827917E-1,-1.758795691E-1,-3.671384847E-1,-3.640355428E0,3.663046810E0
4.148127917E-1,1.150694034E-1,-5.023530078E-1,-3.096166762E0,3.138765383E0
4.248427917E-1,1.842130208E-1,-6.277138031E-1,-2.123295327E0,2.221788041E0
4.348717917E-1,2.291985744E-1,-6.360548562E-1,-1.151620232E0,1.335412643E0
4.449017917E-1,3.939424136E-1,-6.657306451E-1,-4.540865815E-1,8.969852510E-1
4.549317917E-1,6.275635296E-1,-7.773773807E-1,1.934375882E-2,9.992626065E-1
4.649607917E-1,7.642661691E-1,-9.780286789E-1,9.545462608E-2,1.244891344E0
4.749907917E-1,1.040871629E0,-1.132257763E0,-6.445736647E-2,1.539342763E0
4.850207917E-1,1.367968381E0,-1.210644366E0,-2.224877250E-1,1.840244022E0
4.950497917E-1,1.610826636E0,-1.228802310E0,-4.189073932E-1,2.068864658E0
5.050797917E-1,1.717314373E0,-1.357166820E0,-5.543160439E-1,2.257949669E0
5.151087917E-1,1.538476698E0,-1.511691188E0,-2.068727356E-1,2.166775744E0
5.251387917E-1,1.272078430E0,-1.532338291E0,3.602147967E-1,2.023857423E0
5.351687917E-1,1.269733112E0,-1.382214537E0,7.837812513E-1,2.033974496E0
5.451977917E-1,1.439226936E0,-1.321251467E0,6.058118874E-1,2.045504255E0
5.552277917E-1,1.646552831E0,-1.346152419E0,-7.840882301E-2,2.128241177E0
5.652577917E-1,1.569778890E0,-1.221486273E0,-6.609201407E-1,2.095960379E0
5.752867917E-1,1.489800966E0,-1.285536089E0,-1.035472895E0,2.223581362E0
5.853167917E-1,1.419473580E0,-1.377563077E0,-9.170743793E-1,2.180277664E0
5.953467917E-1,1.335033647E0,-1.200090142E0,-6.062802494E-1,1.894757749E0
6.053757917E-1,1.350398667E0,-1.110531263E0,-6.174928701E-1,1.854225901E0
6.154057917E-1,1.071507531E0,-1.106638772E0,-1.002369468E0,1.837803665E0
6.254357917E-1,6.516102040E-1,-8.228652102E-1,-1.590326883E0,1.905477002E0
6.354647917E-1,4.973445752E-1,-4.553916800E-1,-2.034586049E0,2.143425669E0
6.454947917E-1,5.145695955E-1,-3.209864116E-1,-2.112343492E0,2.197682682E0
6.555237917E-1,6.489581993E-1,-4.222660339E-1,-2.094592515E0,2.233108405E0
6.655537917E-1,7.880190209E-1,-5.732557601E-1,-1.871414233E0,2.109925917E0
6.755837917E-1,8.576020566E-1,-5.663443512E-1,-1.483795291E0,1.804958636E0
6.856127917E-1,9.336895350E-1,-3.750866050E-1,-1.036930021E0,1.444884071E0
6.956422917E-1,5.501194972E-1,-1.006311661E-1,-7.261984563E-1,9.165818516E-1
7.056722917E-1,2.364412281E-1,3.101421654E-1,-5.577887052E-1,6.806033035E-1
7.157012917E-1,-1.609124511E-2,5.897823304E-1,-3.650615537E-1,6.938098179E-1
7.257312917E-1,6.721637517E-2,6.605084968E-1,-2.078843039E-1,6.957049656E-1
7.357612917E-1,4.545040727E-1,7.036276191E-1,-3.471410072E-1,9.067373696E-1
7.457902917E-1,2.857835421E-1,6.781518853E-1,-5.383876437E-1,9.118242524E-1
7.558202917E-1,-3.208454937E-2,7.888630664E-1,-2.635141289E-1,8.323304945E-1
7.658502917E-1,-6.674158126E-2,9.197307694E-1,1.583899623E-1,9.356529843E-1
7.758792917E-1,8.474954367E-2,9.661459672E-1,3.234439963E-1,1.022368101E0
7.859092917E-1,2.120837742E-1,1.129925893E0,2.106196314E-1,1.168791119E0
7.959392917E-1,3.358922799E-1,1.386030430E0,-1.196954280E-1,1.431164202E0
8.059682917E-1,4.693039602E-1,1.551829984E0,-4.431978965E-1,1.680728081E0
8.159982917E-1,4.557261407E-1,1.655025739E0,-6.266162807E-1,1.827414697E0
8.260272917E-1,1.775172280E-1,1.736749933E0,-4.513179249E-1,1.803191772E0
8.360572917E-1,4.570841566E-2,1.812839166E0,-7.073025942E-2,1.814794167E0
8.460872917E-1,3.400038958E-2,1.904204249E0,3.134347326E-1,1.930127245E0
8.561162917E-1,-6.008350298E-2,1.936235881E0,4.013096130E-1,1.978299477E0
8.661462917E-1,-5.788363427E-2,2.166206288E0,2.958410454E-1,2.187080731E0
8.761762917E-1,-9.189060196E-2,2.530808836E0,3.143235093E-1,2.551908406E0
8.862052917E-1,-4.110680312E-2,2.978664039E0,4.332798493E-1,3.010292454E0
8.962352917E-1,3.386005640E-1,3.320627337E0,5.165401071E-1,3.377577525E0
9.062652917E-1,6.695490231E-1,3.288372926E0,7.069488376E-1,3.429499826E0
9.162942917E-1,7.402349898E-1,3.136894373E0,1.155895717E0,3.424054476E0
9.263242917E-1,4.751019131E-1,2.847439656E0,1.482463295E0,3.245201357E0
9.363542917E-1,1.035590132E-1,2.443109956E0,1.791564072E0,3.031371398E0
9.463832917E-1,-2.375466442E-1,1.878669459E0,2.173422337E0,2.882636293E0
9.564132917E-1,-5.026405446E-1,1.326013439E0,2.502473813E0,2.876340443E0
9.664422917E-1,-3.557158028E-1,1.018728808E0,2.882368584E0,3.077724934E0
9.764722917E-1,-4.889090896E-2,5.418088496E-1,3.242903808E0,3.288217185E0
9.865022917E-1,1.303930552E-1,3.384385961E-1,3.454080679E0,3.473070165E0
9.965312917E-1,1.450503584E0,1.404923369E0,3.326409064E0,3.891370913E0
1.006561292E0,1.887841986E0,1.365188030E0,3.274985726E0,4.019106521E0
1.016591292E0,7.552643806E-1,-3.185621560E-2,2.859141689E0,2.957385721E0
1.026620292E0,-1.364602724E-1,-5.463170528E-1,2.357273415E0,2.423596848E0
1.036650292E0,-5.264876828E-1,-8.399572062E-1,1.763836575E0,2.023323220E0
1.046680292E0,-6.576398528E-1,-7.482395357E-1,1.131536801E0,1.507557001E0
1.056709292E0,-5.648009786E-1,-8.415014559E-1,5.051310199E-1,1.132378997E0
1.066739292E0,-6.578784192E-1,-6.233465177E-1,-4.561997652E-2,9.074392970E-1
1.076769292E0,-2.421776390E-1,5.067501140E-1,-8.577280641E-2,5.681572504E-1
1.086798292E0,1.134038240E-1,1.321402325E0,6.981084323E-1,1.498772803E0
1.096828292E0,-3.092121658E-1,9.977998692E-1,1.729439160E0,2.020439692E0
1.106858292E0,-6.857216907E-1,1.008907825E-1,2.343309095E0,2.443663377E0
1.116887292E0,-8.153451061E-1,-2.837209368E-1,2.294616407E0,2.451642238E0
1.126917292E0,-4.912599626E-1,-4.300592029E-1,1.779586635E0,1.895577975E0
1.136946292E0,2.956410706E-2,-6.204398668E-1,1.168240943E0,1.323104896E0
1.146976292E0,2.707211146E-1,-9.930723953E-1,3.543056005E-1,1.088584017E0
1.157006292E0,4.978258011E-1,-1.336902124E0,-7.001801008E-1,1.589147568E0
1.167035292E0,8.995260081E-1,-1.456569486E0,-1.602410154E0,2.344879529E0
1.177065292E0,1.092949855E0,-1.490518420E0,-2.276459633E0,2.932311887E0
1.187095292E0,1.154337434E0,-1.644829364E0,-2.457568367E0,3.174523716E0
1.197124292E0,1.174547750E0,-1.890291969E0,-2.095808735E0,3.056988780E0
1.207154292E0,1.083718271E0,-2.093893188E0,-1.723507744E0,2.920498744E0
1.217184292E0,1.133358501E0,-2.311060531E0,-1.660819160E0,3.063302557E0
1.227213292E0,1.283766137E0,-2.566379203E0,-1.629381021E0,3.299884879E0
1.237243292E0,1.391758947E0,-2.736773499E0,-1.840594729E0,3.579764113E0
1.247273292E0,1.527950248E0,-3.034260535E0,-2.091304041E0,3.989351018E0
1.257302292E0,1.779907940E0,-3.457356289E0,-2.092357124E0,4.415806055E0
1.267332292E0,1.841265405E0,-3.766971036E0,-1.922584387E0,4.612662984E0
