"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.496291669E-3,-4.681307164E0,3.502123157E0,-1.236797208E0,5.975715079E0
6.532708328E-3,-5.064298035E0,3.846662153E0,-3.692142463E-1,6.370262433E0
1.656170833E-2,-3.710320871E0,2.452905797E0,2.264856856E-2,4.447891722E0
2.659070833E-2,-2.346297607E0,5.105268306E-1,-6.773098862E-1,2.494894544E0
3.662070833E-2,-9.036748999E-1,-4.973986620E-1,-2.477189283E0,2.683374834E0
4.664970833E-2,-2.735222232E-1,-4.574563318E-1,-5.584080423E0,5.609459410E0
5.667870833E-2,-9.788239002E-2,-1.094482411E0,-9.515389209E0,9.578627485E0
6.670870833E-2,9.724679768E-2,-1.070953215E0,-9.027089399E0,9.090915287E0
7.673770833E-2,-1.446312885E0,-1.725726762E0,-4.818027345E0,5.318208469E0
8.676670833E-2,-2.054778823E0,-1.861813690E0,-1.794404064E0,3.302779462E0
9.679570833E-2,1.531685742E0,-5.987847036E-1,8.918629396E-1,1.870835064E0
1.068257083E-1,2.746957594E0,-1.181131130E0,4.861494377E0,5.707449022E0
1.168547083E-1,5.096481110E0,-2.234122283E0,8.781374195E0,1.039605477E1
1.268837083E-1,7.890145678E0,-1.980513922E0,9.346245632E0,1.239068770E1
1.369132083E-1,8.213518338E0,-1.334134637E0,6.351699386E0,1.046832765E1
1.469432083E-1,6.121149520E0,-2.000081044E-1,3.348506277E0,6.980040757E0
1.569722083E-1,3.718356700E0,1.471779263E0,2.418997793E0,4.673741656E0
1.670012083E-1,8.766747969E-1,2.139035447E0,2.117858001E0,3.135180035E0
1.770312083E-1,6.114053339E-1,1.544311634E0,5.458855283E-1,1.748343764E0
1.870602083E-1,2.092644807E0,2.122637515E0,7.739202145E-1,3.079562438E0
1.970892083E-1,2.491599746E0,2.737485105E0,9.716948287E-1,3.827020360E0
2.071182083E-1,1.630238807E0,2.247842774E0,2.259766124E-1,2.785954260E0
2.171482083E-1,5.452873582E-1,1.674766524E0,-1.056325528E0,2.053778185E0
2.271772083E-1,4.184238285E-1,7.417193055E-3,-2.822616179E0,2.853470801E0
2.372062083E-1,3.755052656E-1,-9.532113415E-1,-3.787838286E0,3.923943801E0
2.472362083E-1,-4.086426061E-1,7.212131202E-2,-2.779639144E0,2.810441964E0
2.572652083E-1,-9.982840186E-1,6.965349466E-1,-1.458684131E0,1.899866129E0
2.672942083E-1,-2.930223951E0,1.380572639E0,-1.677088161E0,3.647576992E0
2.773232083E-1,-3.778942625E0,1.574192660E0,-1.889649945E0,4.508798821E0
2.873532083E-1,-4.192023852E0,1.184908431E0,-2.071344278E0,4.823643756E0
2.973822083E-1,-5.130587919E0,6.845405531E-1,-2.204597352E0,5.625991259E0
3.074112083E-1,-6.668336053E0,-2.307024783E-1,-2.460801584E0,7.111643537E0
3.174412083E-1,-8.524463911E0,-9.357650042E-1,-2.556084010E0,8.948503036E0
3.274702083E-1,-1.011068605E1,-3.849549508E-1,-2.213606157E0,1.035732663E1
3.374992083E-1,-1.139219808E1,-3.275752881E0,-3.347595280E0,1.231743189E1
3.475282083E-1,-1.095898606E1,-3.619701893E0,-6.478050699E0,1.323505792E1
3.575582083E-1,-9.886942341E0,-4.052854857E0,-5.738397215E0,1.212874536E1
3.675872083E-1,-8.142743640E0,-3.473744865E0,-2.289721702E0,9.144069272E0
3.776162083E-1,-6.142417012E0,-2.070839370E0,-6.892446381E-1,6.518644079E0
3.876462083E-1,-3.534635430E0,3.802038542E0,7.031808919E-1,5.238664722E0
3.976752083E-1,-4.462013188E-1,1.207937222E1,2.947352200E0,1.244175285E1
4.077042083E-1,1.207731868E0,9.631959885E0,1.187208141E0,9.779710152E0
4.177332083E-1,1.016380859E0,4.275874094E0,-2.186180377E-1,4.400445792E0
4.277632083E-1,5.700830609E-1,2.273066493E0,-4.999205295E-1,2.396194173E0
4.377922083E-1,-1.408831063E-1,1.189231278E0,-2.483405678E-1,1.223025805E0
4.478212083E-1,-2.016345367E0,-2.924491341E0,1.259314835E0,3.768842275E0
4.578512083E-1,-2.044435099E0,-5.970272060E0,-3.155013725E0,7.055350802E0
4.678802083E-1,-8.853356928E-1,-8.808412305E0,-4.166171558E0,9.784116315E0
4.779092083E-1,4.458548713E-1,-8.219073193E0,-1.769130059E0,8.419131302E0
4.879382083E-1,1.268321301E0,-5.859517609E0,-6.187172771E-1,6.027055385E0
4.979682083E-1,1.814288106E0,-5.653298593E0,6.911210096E-1,5.977380242E0
5.079972083E-1,2.677055300E0,-5.991033769E0,2.254790436E0,6.938529427E0
5.180262083E-1,3.226414075E0,-5.127004745E0,2.659581481E0,6.615836991E0
