"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.746208338E-3,-1.659290150E-1,6.122777385E-1,1.270225739E-1,6.469553318E-1
1.477720834E-2,-1.794905536E-1,7.098426247E-1,-2.567512393E-2,7.326340305E-1
2.480820833E-2,-2.532201058E-1,7.789035040E-1,6.186704993E-2,8.213638794E-1
3.483820834E-2,-2.650099381E-1,9.220000738E-1,2.539545161E-1,9.923745762E-1
4.486920834E-2,-3.546125793E-1,1.115197926E0,-4.663739204E-2,1.171149667E0
5.489920833E-2,-4.863548430E-1,1.345855381E0,-7.429828888E-1,1.612417847E0
6.493020833E-2,-4.102936406E-1,1.340732051E0,-1.464712903E0,2.027630931E0
7.496120834E-2,-1.460817926E-1,1.385790694E0,-1.821902935E0,2.293705745E0
8.499120834E-2,4.500007299E-1,1.382746049E0,-1.544222757E0,2.121110845E0
9.502220833E-2,1.111175188E0,1.133951116E0,-5.136562604E-1,1.668651607E0
1.050532083E-1,1.538694945E0,6.615914011E-1,1.154775975E0,2.034402337E0
1.150832083E-1,1.830478315E0,4.907655805E-2,3.143942606E0,3.638328529E0
1.251142083E-1,2.027253056E0,-3.358345386E-1,4.619515543E0,5.055933508E0
1.351442083E-1,2.103184998E0,-5.890762791E-1,5.090504086E0,5.539280626E0
1.451752083E-1,2.032735551E0,-6.225814095E-1,4.713975558E0,5.171188160E0
1.552062083E-1,1.870748966E0,-7.375201276E-1,3.685804081E0,4.198665188E0
1.652362083E-1,1.389962683E0,-9.559294197E-1,2.538700238E0,3.048080742E0
1.752672083E-1,1.961464278E0,-5.312517017E-2,1.434698560E0,2.430745638E0
1.852972083E-1,2.311120465E0,-4.556501269E-2,7.330133861E-1,2.425007752E0
1.953282083E-1,1.998694085E0,-2.467501616E-1,-1.924903393E-2,2.013959834E0
2.053592083E-1,1.663411962E0,-2.822035843E-1,-6.293609637E-1,1.800742469E0
2.153892083E-1,1.458882059E0,-2.694157237E-1,-7.300804228E-1,1.653462766E0
2.254202083E-1,1.417550869E0,-2.425512761E-1,-6.876670593E-1,1.594104003E0
2.354502083E-1,1.513964000E0,-3.135329658E-1,-7.013466203E-1,1.697727009E0
2.454812083E-1,1.628204122E0,-3.726249272E-1,-7.642585677E-1,1.836842170E0
2.555122083E-1,1.761965028E0,-2.380723089E-1,-9.609214801E-1,2.021031735E0
2.655422083E-1,1.753987817E0,-1.245170420E-1,-1.209344530E0,2.134125570E0
2.755732083E-1,1.604134644E0,-2.981536192E-1,-1.239428455E0,2.048981803E0
2.856032083E-1,1.316358517E0,-4.520552588E-1,-9.948265600E-1,1.710799108E0
2.956335833E-1,1.175696728E0,-5.557187909E-1,-7.347090787E-1,1.493614274E0
3.056645833E-1,1.195106633E0,-6.278383487E-1,-4.468945062E-1,1.422032192E0
3.156945833E-1,1.180797985E0,-7.044240099E-1,-1.979843831E-1,1.389134580E0
3.257255833E-1,1.135748550E0,-8.415733767E-1,-2.277665913E-2,1.413750082E0
