"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.504666671E-3,3.540275654E-1,6.794107908E-1,1.039586411E0,1.291384701E0
1.453466667E-2,5.207457170E-1,1.193258255E0,8.557049274E-1,1.557970567E0
2.456466667E-2,6.067660068E-1,1.559234313E0,6.788893653E-1,1.805621057E0
3.459466667E-2,7.038775876E-1,1.771543205E0,5.316158371E-1,1.978995802E0
4.462366667E-2,7.878493054E-1,1.755683802E0,3.834504622E-1,1.962184089E0
5.465366667E-2,8.871186550E-1,1.471389254E0,2.551015936E-1,1.736963634E0
6.468366667E-2,1.054728215E0,9.477629060E-1,1.291993462E-1,1.423867481E0
7.471366667E-2,1.224455636E0,3.029547679E-1,6.266636431E-2,1.262933200E0
8.474266667E-2,1.300493705E0,-3.166395915E-1,-9.018014520E-3,1.338516280E0
9.477266667E-2,1.302868406E0,-7.651368195E-1,-9.401036382E-2,1.513848864E0
1.048026667E-1,1.199422975E0,-9.780994302E-1,-2.381646949E-1,1.565891564E0
1.148326667E-1,9.938440816E-1,-8.749142003E-1,-4.527798750E-1,1.399360758E0
1.248616667E-1,7.723566690E-1,-4.022065759E-1,-7.227962539E-1,1.131697565E0
1.348916667E-1,6.184728634E-1,2.017271858E-1,-1.018300353E0,1.208361763E0
1.449216667E-1,4.683872630E-1,7.013776106E-1,-1.271533762E0,1.525816269E0
1.549506667E-1,3.424842846E-1,1.019570222E0,-1.530464989E0,1.870599371E0
1.649806667E-1,2.099836005E-1,1.177391835E0,-1.806815949E0,2.166778374E0
1.750106667E-1,1.511180726E-1,1.027417771E0,-2.024603975E0,2.275400009E0
1.850406667E-1,3.159855804E-1,3.089224362E-1,-1.953993875E0,2.003340217E0
1.950696667E-1,7.054009335E-1,-6.536894739E-1,-1.596196610E0,1.863529990E0
2.050996667E-1,1.054959180E0,-1.396120970E0,-1.324949831E0,2.194899699E0
2.151296667E-1,1.253736007E0,-1.790567706E0,-1.151120296E0,2.470438143E0
2.251596667E-1,1.367136030E0,-1.767309237E0,-1.109314750E0,2.494598580E0
2.351886667E-1,1.430307594E0,-1.281222013E0,-1.151455049E0,2.239008349E0
2.452186667E-1,1.473257439E0,-6.863268775E-1,-1.237221423E0,2.042608361E0
2.552486667E-1,1.652532632E0,-5.048421675E-1,-1.166732069E0,2.084944468E0
2.652786667E-1,1.862330730E0,-6.396403688E-1,-1.042350098E0,2.227983231E0
2.753076667E-1,2.095870716E0,-8.492624652E-1,-9.678399056E-1,2.459803829E0
2.853376667E-1,2.331431353E0,-9.682533038E-1,-1.042831323E0,2.731406924E0
2.953676667E-1,2.622792554E0,-1.039586996E0,-1.236900703E0,3.080536521E0
3.053976667E-1,3.158743079E0,-1.229004623E0,-2.045273589E0,3.958693504E0
3.154266667E-1,4.192342526E0,-1.787700816E0,-4.315847999E0,6.276794884E0
3.254566667E-1,5.345333930E0,-2.416390520E0,-6.124736202E0,8.480797811E0
3.354866667E-1,5.732820725E0,-2.912326208E0,-5.878534509E0,8.712292774E0
3.455166667E-1,5.318591689E0,-3.189307060E0,-4.310568841E0,7.552489709E0
3.555456667E-1,4.473141024E0,-2.890739458E0,-3.145098601E0,6.185225173E0
3.655756667E-1,3.748490618E0,-2.063416330E0,-3.066896185E0,5.264477284E0
3.756056667E-1,3.468728539E0,-1.246970193E0,-3.544629783E0,5.113845191E0
3.856356667E-1,3.736020554E0,-1.004894881E0,-3.151974342E0,4.990251051E0
3.956646667E-1,3.907305673E0,-1.134049349E0,-2.139858150E0,4.596966223E0
4.056946667E-1,3.569363798E0,-1.044641329E0,-4.245347536E-1,3.743242336E0
4.157246667E-1,2.903304832E0,-9.390236574E-1,1.609939613E0,3.450050715E0
4.257546667E-1,2.040105820E0,-9.163282746E-1,2.994904681E0,3.737799261E0
4.357836667E-1,1.160616612E0,-1.061391848E0,3.929881480E0,4.232912948E0
4.458136667E-1,3.238714278E-1,-1.375261028E0,4.348176670E0,4.571966311E0
4.558436667E-1,-3.774322155E-1,-1.564769288E0,4.480979801E0,4.761316833E0
4.658736667E-1,-6.269228210E-1,-1.648089772E0,4.127226178E0,4.488120770E0
4.759026667E-1,-5.133400722E-1,-1.534049186E0,3.574450876E0,3.923458168E0
4.859326667E-1,-3.452526489E-1,-1.180854557E0,2.622910668E0,2.897115332E0
4.959626667E-1,-1.113054045E-1,-7.870878518E-1,-1.486654580E-1,8.087011796E-1
5.059916667E-1,-3.040424962E-1,-6.550138682E-1,-2.127323474E0,2.246550727E0
5.160216667E-1,-1.190045210E0,-8.281253654E-1,-8.225909758E-1,1.666929853E0
5.260516667E-1,-2.008758020E0,-1.009214804E0,1.159918016E0,2.529631022E0
5.360816667E-1,-2.492466304E0,-1.053271235E0,2.188995227E0,3.480440873E0
5.461106667E-1,-2.641398979E0,-9.916070831E-1,2.003519207E0,3.460399166E0
5.561406667E-1,-2.504744872E0,-8.573193437E-1,1.345741360E0,2.969808603E0
5.661706667E-1,-2.220587440E0,-6.518423384E-1,1.262142695E0,2.636078754E0
5.762006667E-1,-2.126364530E0,-2.420215183E-1,1.636276788E0,2.693956618E0
5.862296667E-1,-2.139489483E0,1.468990141E-1,2.146005182E0,3.033864336E0
5.962596667E-1,-2.102222254E0,3.260015684E-1,2.464574500E0,3.255724634E0
6.062896667E-1,-2.035888516E0,5.664893621E-1,2.560716759E0,3.320093759E0
6.163196667E-1,-1.992035860E0,7.944144130E-1,2.589175158E0,3.362012660E0
6.263486667E-1,-1.940638542E0,8.377393574E-1,2.619667218E0,3.366086974E0
6.363786667E-1,-2.163006107E0,8.527298641E-1,2.549918121E0,3.450771807E0
6.464086667E-1,-2.395850421E0,8.684647214E-1,2.544491905E0,3.601217747E0
6.564386667E-1,-2.481255437E0,8.640301931E-1,2.763718053E0,3.813307514E0
6.664676667E-1,-2.582133063E0,9.153985673E-1,2.833510419E0,3.941338223E0
6.764976667E-1,-2.855501212E0,9.343476391E-1,2.715050508E0,4.049492801E0
6.865276667E-1,-3.314353275E0,9.013950706E-1,2.630110345E0,4.326075719E0
6.965576667E-1,-3.696518811E0,9.153079355E-1,2.314531585E0,4.456354608E0
7.065866667E-1,-3.937970226E0,1.000056894E0,1.851705755E0,4.465034994E0
7.166166667E-1,-3.938351757E0,1.126668409E0,1.560622004E0,4.383553046E0
7.266466667E-1,-3.716831746E0,1.304253611E0,1.469268615E0,4.204124876E0
7.366766667E-1,-3.277150950E0,1.465095896E0,1.247070765E0,3.800185499E0
7.467056667E-1,-2.614788301E0,1.600324452E0,6.530440874E-1,3.134425432E0
7.567356667E-1,-1.997087270E0,1.755207254E0,7.697055414E-2,2.659893708E0
7.667656667E-1,-1.726583672E0,1.874541909E0,-2.665350929E-1,2.562428438E0
7.767956667E-1,-1.516106420E0,1.795138475E0,-3.786107218E-1,2.380009853E0
7.868246667E-1,-1.090781708E0,1.531108621E0,-6.723458925E-1,1.996533832E0
7.968546667E-1,-5.428926310E-1,1.317783483E0,-1.065683119E0,1.779597210E0
8.068846667E-1,6.744675547E-2,1.278324718E0,-1.136161656E0,1.711585948E0
8.169146667E-1,5.062305889E-1,1.310524750E0,-9.896801332E-1,1.718490994E0
8.269436667E-1,5.824654171E-1,1.272076968E0,-6.854151504E-1,1.557960110E0
8.369736667E-1,6.259344953E-1,1.048056688E0,-6.107185784E-1,1.364988643E0
8.470036667E-1,9.600832817E-1,5.274480879E-1,-1.441254166E0,1.810296927E0
8.570336667E-1,1.932370287E0,-1.545097500E-1,-3.487259535E0,3.989850530E0
8.670626667E-1,3.893352462E0,-5.431899619E-1,-4.721575184E0,6.143819736E0
8.770926667E-1,5.880730138E0,-1.014370294E0,-4.410336958E0,7.420445144E0
8.871226667E-1,6.727184186E0,-1.966893418E0,-4.061437401E0,8.100552484E0
8.971526667E-1,5.261415861E0,-2.726977658E0,-2.968738976E0,6.628145677E0
9.071816667E-1,2.752760079E0,-2.161909754E0,-8.843690018E-1,3.610214726E0
9.172116667E-1,8.736871621E-1,-1.891211736E-1,1.031952579E0,1.365291984E0
9.272416667E-1,-6.888227615E-1,1.951583653E0,2.154952737E0,2.987804688E0
9.372716667E-1,-1.616388800E0,2.995007007E0,3.038703250E0,4.562509963E0
9.473006667E-1,-2.460237913E0,1.805576924E0,3.882975701E0,4.938661652E0
9.573306667E-1,-3.312649104E0,-1.854761363E0,3.201817178E0,4.966429003E0
9.673606667E-1,-2.587362521E0,-7.776298635E0,-4.810106707E0,9.502757063E0
9.773906667E-1,3.975638866E-1,-1.314098685E1,-1.205551909E1,1.783757643E1
9.874196667E-1,2.522062863E0,-1.363551979E1,-6.322906526E0,1.524031981E1
9.974497917E-1,2.970422974E0,-1.022208018E1,-1.293400448E0,1.072320944E1
1.007479792E0,1.521212794E0,-4.949335928E0,1.536458678E0,5.400992479E0
1.017509792E0,-1.134622377E0,-2.154927009E-1,3.483358272E0,3.669821507E0
1.027538792E0,-3.295258900E0,3.109900702E0,4.171038780E0,6.158553247E0
1.037568792E0,-4.373512655E0,5.163438746E0,4.216889137E0,7.973134053E0
1.047598792E0,-4.608753450E0,6.333687623E0,3.910661098E0,8.754968731E0
1.057628792E0,-4.475423485E0,6.738752902E0,3.670616523E0,8.883334492E0
1.067657792E0,-3.860529994E0,6.133074331E0,3.213768886E0,7.927584944E0
1.077687792E0,-3.071159390E0,4.780670654E0,2.504851291E0,6.209759406E0
1.087717792E0,-2.325891117E0,2.706787807E0,2.197781253E0,4.191266176E0
1.097747792E0,-1.540945392E0,6.239891267E-1,2.284709469E0,2.825557023E0
1.107776792E0,-7.888648206E-1,-8.754386955E-1,2.501565156E0,2.765235767E0
1.117806792E0,-4.381014633E-1,-1.773763393E0,2.816200322E0,3.356956020E0
1.127836792E0,-2.794641638E-1,-2.053622244E0,2.962647346E0,3.615624958E0
1.137866792E0,-2.596192986E-1,-1.786679893E0,2.944357256E0,3.453819171E0
1.147895792E0,-3.116288200E-1,-1.152720678E0,2.816497360E0,3.059172252E0
1.157925792E0,-4.178899777E-1,-6.625333875E-1,2.571690813E0,2.688340782E0
1.167955792E0,-5.256863219E-1,-2.307475019E-1,2.288776792E0,2.359680004E0
1.177985792E0,-5.794631642E-1,1.430059379E-1,1.932546873E0,2.022613575E0
1.188014792E0,-6.665293747E-1,5.098789591E-1,1.528841656E0,1.744016849E0
1.198044792E0,-7.346880287E-1,8.652809125E-1,1.162986050E0,1.625119722E0
1.208074792E0,-7.783722845E-1,1.076674131E0,8.438625616E-1,1.573910614E0
