"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.112499977E-4,1.114190232E-1,-3.083862466E-1,-7.812184167E-1,8.472416954E-1
9.422749994E-3,-5.540223674E-1,-3.174886072E-1,-1.159827969E0,1.323986676E0
1.945675000E-2,-5.728758372E-1,-7.536359310E-2,-8.988690734E-1,1.068565397E0
2.949075001E-2,-2.548667731E-1,4.879150629E-2,-5.334718895E-1,5.932368330E-1
3.952475000E-2,1.566003123E-3,1.882230413E-1,-2.817644584E-1,3.388533247E-1
4.955875000E-2,5.967975274E-2,3.445167768E-1,-2.700220799E-1,4.417752891E-1
5.959375000E-2,3.005154101E-2,2.565582812E-1,-5.024003702E-1,5.649171433E-1
6.962775000E-2,-5.349485581E-2,1.627437991E-1,-7.251336783E-1,7.450946887E-1
7.966175000E-2,-2.891068619E-1,1.201608664E-1,-8.397847134E-1,8.962476088E-1
8.969574999E-2,-3.887434715E-1,-3.585571110E-2,-8.380276251E-1,9.244984689E-1
9.972975000E-2,-3.129398023E-1,-2.123036295E-1,-8.667356998E-1,9.456399549E-1
1.097637500E-1,-2.917413615E-1,-1.890381432E-1,-1.030606842E0,1.087657531E0
1.197987500E-1,-3.062516657E-1,-2.717493474E-2,-1.353805255E0,1.388278513E0
1.298327500E-1,-1.081324220E-1,6.408548355E-2,-1.412040015E0,1.417623566E0
1.398667500E-1,1.798608468E-1,1.041704857E-1,-1.322430850E0,1.338665294E0
1.499007500E-1,2.555148456E-1,8.366956294E-2,-1.428866547E0,1.453942242E0
1.599347500E-1,3.073056446E-1,-8.241065741E-3,-1.651898063E0,1.680259470E0
1.699697500E-1,2.098361411E-1,-7.904383063E-2,-2.000301484E0,2.012830137E0
1.800037500E-1,-3.798894896E-3,-1.615609074E-1,-2.387652040E0,2.393114836E0
1.900377500E-1,-3.982226120E-2,-3.697843498E-1,-2.416918523E0,2.445367340E0
2.000717500E-1,1.433664462E-1,-5.910874289E-1,-2.050175310E0,2.138494117E0
2.101057500E-1,3.462859981E-1,-7.103776449E-1,-1.590690579E0,1.776188872E0
2.201397500E-1,5.346843097E-1,-9.875970626E-1,-1.270220477E0,1.695492651E0
2.301747500E-1,6.630086931E-1,-1.178526195E0,-1.015663698E0,1.691176297E0
2.402087500E-1,6.230905558E-1,-1.329835179E0,-1.220602174E0,1.909600250E0
2.502427500E-1,3.856031147E-1,-1.347259297E0,-1.622827461E0,2.144146997E0
2.602767500E-1,1.391854769E-1,-1.436976635E0,-1.564814311E0,2.129065118E0
2.703107500E-1,-2.255070810E-1,-1.452064206E0,-9.953539789E-1,1.774844626E0
2.803447500E-1,-5.676807323E-1,-1.542218331E0,-1.164702208E0,2.014256694E0
2.903797500E-1,-7.280768743E-1,-1.427560864E0,-9.224719441E-1,1.849048524E0
3.004137500E-1,-4.761817842E-1,-1.168861333E0,-4.821502930E-1,1.351093931E0
3.104477500E-1,5.391679546E-1,-8.898286933E-1,-2.116820705E-1,1.061746903E0
3.204817500E-1,3.157051479E0,-5.046299136E-1,-1.428920342E0,3.501919293E0
3.305157500E-1,2.451387421E0,-4.034052551E-2,-5.470476040E0,5.994750683E0
3.405507500E-1,-7.954246949E0,2.692112466E0,1.529601209E0,8.535642560E0
3.505847500E-1,-5.954852952E0,5.022530789E0,7.802267289E0,1.102549156E1
3.606187500E-1,-2.332649475E0,2.437731687E0,1.212865139E1,1.258920068E1
3.706527500E-1,-2.155911827E0,5.449090433E-1,1.741902617E1,1.756039163E1
3.806867500E-1,-1.582082747E0,4.556015950E-1,1.775217011E1,1.782835108E1
3.907207500E-1,-3.555010638E0,1.233749054E0,2.072919342E1,2.106797801E1
4.007557500E-1,-2.095712549E0,1.146445447E0,2.386738938E1,2.398663428E1
4.107897500E-1,2.102536103E0,1.610277582E0,2.348139831E1,2.363027123E1
4.208237500E-1,2.964330175E0,3.227100538E0,2.077745400E1,2.123450084E1
4.308577500E-1,1.773854317E0,5.221198127E0,1.618564958E1,1.709920236E1
4.408917500E-1,-1.439265089E-1,6.170431607E0,1.145983867E1,1.301625305E1
4.509257500E-1,-2.484311777E0,5.887426370E0,7.146565204E0,9.586813260E0
4.609607500E-1,-3.808116430E0,4.883136676E0,3.839803369E0,7.286347813E0
4.709947500E-1,-4.598330496E0,3.748699071E0,1.616221277E0,6.148947820E0
4.810287500E-1,-4.506709304E0,2.165094148E0,-4.165848792E-2,4.999979685E0
4.910627500E-1,-4.479636111E0,3.697147679E-1,5.879480588E-1,4.533156915E0
5.010967500E-1,-3.054075580E0,-1.294361876E0,2.164548018E0,3.960810326E0
5.111317500E-1,-3.098904428E-1,-2.470977786E0,3.445432355E0,4.251207760E0
5.211657500E-1,1.204633428E0,-3.265100423E0,4.104748019E0,5.381540557E0
5.311997500E-1,2.105713919E0,-4.435622950E0,1.306042713E0,5.080800097E0
5.412337500E-1,1.737218588E0,-5.864119953E0,-3.600860410E0,7.097325337E0
5.512677500E-1,5.111583298E-1,-7.578081533E0,-7.294579867E0,1.053088306E1
5.613017500E-1,-8.617225894E-1,-8.666660594E0,-7.689729438E0,1.161832649E1
5.713367500E-1,-2.968624078E0,-9.848091102E0,-8.919954375E0,1.361481595E1
5.813707500E-1,-4.178813238E0,-1.114651679E1,-9.355123460E0,1.514019985E1
