"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.310708336E-3,-1.042549780E-1,1.688368902E-2,-5.110291064E-1,5.218284267E-1
8.723291670E-3,-1.764873871E-1,1.277333030E-1,-8.673145741E-1,8.942584442E-1
1.875829167E-2,-1.265565509E-1,1.752979173E-1,-8.215057325E-1,8.494807761E-1
2.879229166E-2,-2.997721285E-2,1.429576984E-1,-4.399439210E-1,4.635581845E-1
3.882629167E-2,1.854093611E-2,8.811052322E-2,-4.568721950E-2,1.009680773E-1
4.886029166E-2,-8.209081471E-2,-1.169808581E-2,5.682558060E-2,1.005231002E-1
5.889529167E-2,-2.256077993E-1,-1.121593903E-1,-2.555584073E-2,2.532423917E-1
6.892954167E-2,-3.186913794E-1,-1.904778738E-1,-1.729694098E-1,4.095905669E-1
7.896354167E-2,-3.324568945E-1,-2.607912268E-1,-2.174673057E-1,4.752175078E-1
8.899754166E-2,-2.758394748E-1,-3.555101269E-1,-3.030810678E-1,5.425246537E-1
9.903254166E-2,-3.198035198E-1,-3.261948189E-1,-5.973059428E-1,7.519652522E-1
1.090665417E-1,-4.084356147E-1,-4.299336340E-1,-7.425326532E-1,9.502722358E-1
1.191005417E-1,-5.098979625E-1,-6.921317008E-1,-3.024495685E-1,9.113275838E-1
1.291345417E-1,-5.267037374E-1,-8.199554895E-1,1.959343493E-1,9.940493453E-1
1.391685417E-1,-4.107402948E-1,-9.865952884E-1,1.182418102E-1,1.075201831E0
1.492035417E-1,-3.900893909E-1,-7.767270242E-1,1.408886611E-2,8.692945986E-1
1.592375417E-1,-1.720774171E-1,-4.739584900E-1,-3.096697104E-1,5.917284996E-1
1.692715417E-1,3.117586282E-1,-1.326470107E-1,-2.287518471E-1,4.087983357E-1
1.793055417E-1,7.861066890E-1,1.366190243E-1,5.825580955E-2,8.000138896E-1
1.893405417E-1,1.016183223E0,4.411456700E-1,-7.043555975E-2,1.110044599E0
