"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.006708335E-3,-8.915919212E-1,-2.443726838E-1,-9.972601712E-2,9.298383951E-1
1.104170833E-2,-7.489477797E-1,-1.539688826E-1,-8.487993658E-2,7.693073489E-1
2.107670833E-2,-7.415207925E-1,-2.288407248E-1,-1.265664911E-1,7.862825445E-1
3.111170833E-2,-9.536513445E-1,-2.351551330E-1,-1.403401923E-1,9.921916110E-1
4.114670833E-2,-1.023338022E0,-1.208256948E-1,-1.196539128E-1,1.037370047E0
5.118170833E-2,-1.012521404E0,-5.070120692E-3,-1.451565439E-1,1.022885977E0
6.121770834E-2,-9.811446601E-1,4.009552717E-2,-1.836364853E-1,9.989869139E-1
7.125270834E-2,-8.815151221E-1,1.434205055E-1,-2.232694978E-1,9.205909083E-1
8.128770834E-2,-7.627665044E-1,2.511326498E-1,-3.237217391E-1,8.658383870E-1
9.132270834E-2,-8.426333307E-1,4.000325811E-1,-5.756279755E-1,1.096086019E0
1.013577083E-1,-7.682729736E-1,4.983657914E-1,-9.330840558E-1,1.307385819E0
1.113927083E-1,-8.495434240E-1,5.422421283E-1,-1.170740628E0,1.544792598E0
1.214287083E-1,-9.905513683E-1,6.012820494E-1,-1.020881168E0,1.544322012E0
1.314637083E-1,-1.042799895E0,7.074569607E-1,-7.170580888E-1,1.449861812E0
1.414987083E-1,-1.027359152E0,7.666471553E-1,-4.819690293E-1,1.369492181E0
1.515337083E-1,-9.430263689E-1,7.573530060E-1,-3.573560929E-1,1.261184239E0
1.615687083E-1,-8.609826243E-1,7.810161030E-1,-3.049527615E-1,1.201779272E0
1.716037083E-1,-7.382516143E-1,7.976414913E-1,-2.682673305E-1,1.119470748E0
1.816387083E-1,-6.842905846E-1,7.836730778E-1,-2.027375847E-1,1.059952652E0
1.916747083E-1,-7.111331052E-1,8.242334586E-1,-5.884111583E-2,1.090198773E0
2.017097083E-1,-8.120620407E-1,8.666544235E-1,1.273435861E-1,1.194466842E0
2.117447083E-1,-1.008118158E0,8.714497250E-1,3.623788512E-1,1.380958101E0
2.217797083E-1,-1.136529300E0,8.899713653E-1,5.987145370E-1,1.562756212E0
2.318147083E-1,-1.188189158E0,8.233411735E-1,7.791800773E-1,1.642195407E0
2.418497083E-1,-1.146772306E0,7.067324907E-1,8.875517875E-1,1.613166362E0
2.518857083E-1,-1.009158232E0,5.669448602E-1,8.478948015E-1,1.434835324E0
2.619207083E-1,-7.938732532E-1,4.501993525E-1,6.855410117E-1,1.141437987E0
2.719557083E-1,-4.937564313E-1,4.081689817E-1,4.472798377E-1,7.813172111E-1
2.819907083E-1,-1.533173566E-1,4.133782661E-1,1.415037882E-1,4.630454889E-1
2.920257083E-1,1.571322262E-1,5.004316127E-1,-1.420586890E-1,5.434178932E-1
3.020607083E-1,3.506996226E-1,6.441099805E-1,-3.794609070E-1,8.257472205E-1
3.120957083E-1,4.218871343E-1,7.610338283E-1,-5.911108178E-1,1.051937850E0
3.221317083E-1,3.617070061E-1,8.001505315E-1,-7.407059830E-1,1.148789878E0
3.321667083E-1,2.260188586E-1,7.355721277E-1,-8.870875186E-1,1.174340302E0
3.422017083E-1,2.047380634E-1,6.552863485E-1,-9.322198373E-1,1.157735591E0
3.522367083E-1,2.806391618E-1,6.035753274E-1,-9.122568583E-1,1.129280342E0
3.622717083E-1,4.773485595E-1,5.782481128E-1,-8.762181294E-1,1.153252244E0
3.723067083E-1,6.395570460E-1,5.176925933E-1,-9.013360137E-1,1.220428386E0
3.823417083E-1,7.915146326E-1,4.781934822E-1,-9.360152650E-1,1.315784555E0
3.923777083E-1,9.775641176E-1,5.170581704E-1,-9.737999725E-1,1.473522020E0
4.024127083E-1,1.045415354E0,5.431923008E-1,-1.037871423E0,1.570072683E0
4.124477083E-1,1.014490746E0,4.947925580E-1,-1.067857114E0,1.553811432E0
4.224827083E-1,8.731647134E-1,3.875633937E-1,-1.029563699E0,1.404501125E0
4.325177083E-1,7.529151155E-1,3.384187156E-1,-9.027147871E-1,1.223234395E0
4.425527083E-1,8.469672869E-1,1.236633486E-1,-8.409225816E-1,1.199915412E0
4.525877083E-1,7.343763721E-1,-4.254492581E-2,-9.372770941E-1,1.191472651E0
4.626237083E-1,6.702343167E-1,5.032382762E-1,-3.256986827E-1,8.991898764E-1
4.726587083E-1,7.523056895E-1,2.526897633E-1,-1.032460409E-1,8.002972647E-1
4.826937083E-1,5.483764422E-1,-9.472138524E-2,-3.694592446E-1,6.679737993E-1
4.927287083E-1,7.647248831E-1,-5.840257466E-2,-5.400242794E-1,9.379985234E-1
5.027637083E-1,1.081077522E0,-2.969181025E-1,-9.976028180E-1,1.500699954E0
5.127987083E-1,9.608334795E-1,-4.957678735E-2,-1.306213598E0,1.622298615E0
5.228347083E-1,1.237432800E0,1.590296477E-1,-1.275522147E0,1.784232920E0
5.328697083E-1,1.065776236E0,-2.340277898E-1,-1.649534034E0,1.977779189E0
5.429047083E-1,1.010805100E0,-1.493747252E-1,-1.766805207E0,2.040990053E0
5.529397083E-1,1.125459497E0,3.300226986E-2,-1.714979580E0,2.051561159E0
5.629747083E-1,1.184802889E0,-7.806442201E-2,-1.771527418E0,2.132641867E0
5.730097083E-1,9.882785556E-1,7.988290608E-2,-1.866549935E0,2.113547833E0
5.830447083E-1,1.189305537E0,5.121412468E-1,-1.465249093E0,1.955426097E0
5.930807083E-1,1.252052886E0,2.663792646E-1,-1.610419670E0,2.057193684E0
6.031157083E-1,1.252030374E0,1.625911868E-1,-1.788429379E0,2.189176922E0
6.131507083E-1,1.412013995E0,2.938681948E-1,-1.693082342E0,2.224111026E0
6.231857083E-1,1.373560658E0,2.800418687E-1,-1.572757169E0,2.106812152E0
6.332207083E-1,1.274136796E0,2.530189615E-1,-1.380241687E0,1.895391855E0
6.432557083E-1,1.176924643E0,2.704290462E-1,-1.027456362E0,1.585544090E0
6.532907083E-1,9.923885635E-1,3.433297920E-1,-5.810653013E-1,1.200144696E0
6.633267083E-1,8.149301000E-1,4.208042300E-1,-1.433181792E-1,9.282927170E-1
6.733617083E-1,7.136838068E-1,4.507554227E-1,5.584090948E-2,8.459569932E-1
6.833967083E-1,7.622764347E-1,4.467132425E-1,1.048522711E-1,8.897258469E-1
6.934317083E-1,8.947543146E-1,4.769445169E-1,1.003744733E-1,1.018889783E0
7.034667083E-1,9.911452261E-1,5.188941962E-1,3.894245625E-2,1.119435823E0
7.135017083E-1,1.024145230E0,5.864681286E-1,-3.521134794E-2,1.180702400E0
7.235367083E-1,9.638815599E-1,6.601442152E-1,-7.894501269E-2,1.170935678E0
7.335727083E-1,8.637660451E-1,6.879658520E-1,-7.613484085E-2,1.106880892E0
7.436077083E-1,7.708563466E-1,6.948930484E-1,-7.533494174E-2,1.040562929E0
7.536427083E-1,7.611822744E-1,6.688460416E-1,-5.743953824E-2,1.014915160E0
7.636777083E-1,8.562384859E-1,6.390562320E-1,-1.378364146E-1,1.077281806E0
7.737127083E-1,9.681587251E-1,6.539964527E-1,-2.677638853E-1,1.198640970E0
7.837477083E-1,1.143443194E0,7.050788981E-1,-3.792071378E-1,1.395849792E0
7.937827083E-1,1.258870593E0,7.815318274E-1,-4.353257900E-1,1.544362558E0
8.038187083E-1,1.230729844E0,7.426256239E-1,-3.975755811E-1,1.491393680E0
8.138537083E-1,1.049662991E0,6.000032634E-1,-2.314912677E-1,1.231009552E0
8.238887083E-1,9.507756107E-1,4.980231446E-1,8.692236900E-2,1.076827197E0
8.339237083E-1,9.988289791E-1,4.692489964E-1,4.660388750E-1,1.197934131E0
8.439587083E-1,1.090442423E0,4.775368398E-1,7.305312431E-1,1.396703980E0
8.539937083E-1,1.195838193E0,3.984368759E-1,8.061193693E-1,1.496198304E0
8.640287083E-1,1.335798901E0,4.223695296E-1,7.310066217E-1,1.580229542E0
8.740647083E-1,1.440178571E0,5.535582447E-1,5.323427922E-1,1.632154985E0
8.841005417E-1,1.365265067E0,6.867794520E-1,2.453363049E-1,1.547838694E0
8.941355417E-1,1.075717892E0,7.474431449E-1,3.040552139E-5,1.309900850E0
9.041705417E-1,7.447361033E-1,7.949219513E-1,-6.643723369E-2,1.091305034E0
9.142055417E-1,4.195320220E-1,8.812730473E-1,1.069894284E-1,9.818839235E-1
9.242405417E-1,6.196923003E-2,8.535654312E-1,4.984915066E-1,9.904079528E-1
9.342755417E-1,-2.778003386E-1,7.372227967E-1,1.021191071E0,1.289768073E0
9.443115417E-1,-4.477236414E-1,6.067451030E-1,1.504538873E0,1.682924033E0
9.543465417E-1,-5.511291651E-1,4.320115882E-1,1.884320793E0,2.010234369E0
9.643815417E-1,-5.633222178E-1,3.074770045E-1,2.163807176E0,2.256974861E0
9.744165417E-1,-5.670986420E-1,1.854146236E-1,2.348380970E0,2.422988368E0
9.844515417E-1,-5.895652525E-1,6.726227582E-2,2.404693165E0,2.476824705E0
9.944865417E-1,-5.520021544E-1,-1.558575332E-2,2.278515514E0,2.344479098E0
1.004521542E0,-5.342785860E-1,-1.110725391E-1,2.007674823E0,2.080516501E0
1.014557542E0,-5.325913719E-1,-2.184116310E-1,1.690240011E0,1.785572318E0
1.024592542E0,-5.643041115E-1,-2.668172210E-1,1.337773944E0,1.476234970E0
1.034627542E0,-5.684371427E-1,-2.820743608E-1,9.379378295E-1,1.132437240E0
1.044662542E0,-5.976594801E-1,-3.131412023E-1,5.610473585E-1,8.775126239E-1
1.054697542E0,-6.009258809E-1,-3.232200480E-1,1.921406758E-1,7.088731572E-1
1.064732542E0,-5.930569173E-1,-2.699372953E-1,-1.577859449E-1,6.704319914E-1
1.074767542E0,-5.769746623E-1,-2.451924634E-1,-5.031856513E-1,8.038749310E-1
1.084803542E0,-6.471015622E-1,-2.985652632E-1,-8.187125176E-1,1.085436242E0
1.094838542E0,-7.711511193E-1,-3.723033303E-1,-1.030869967E0,1.340140555E0
1.104873542E0,-9.010044035E-1,-4.397848767E-1,-1.151226130E0,1.526611043E0
1.114908542E0,-1.007579410E0,-5.029084933E-1,-1.165353588E0,1.620549970E0
1.124943542E0,-1.056479748E0,-6.164345241E-1,-1.092261053E0,1.639870479E0
1.134978542E0,-9.871300162E-1,-7.227895296E-1,-9.440060699E-1,1.545314801E0
1.145013542E0,-8.331053659E-1,-7.605830079E-1,-7.727171499E-1,1.367348842E0
1.155048542E0,-6.761230476E-1,-7.830754924E-1,-6.489772028E-1,1.221278433E0
1.165084542E0,-5.721954406E-1,-7.967024285E-1,-5.538967985E-1,1.126474165E0
1.175119542E0,-5.014907628E-1,-7.893659270E-1,-5.261938602E-1,1.073066415E0
1.185154542E0,-4.974166422E-1,-7.542498887E-1,-5.343752843E-1,1.049701460E0
1.195189542E0,-4.819930029E-1,-7.015863562E-1,-6.246340746E-1,1.055797517E0
1.205224542E0,-4.522872470E-1,-6.423862213E-1,-7.498913741E-1,1.086075911E0
1.215259542E0,-4.185534905E-1,-5.728178036E-1,-8.373043245E-1,1.097445120E0
1.225294542E0,-3.331617033E-1,-5.597720808E-1,-1.008364034E0,1.200474709E0
1.235330542E0,-2.298905924E-1,-5.329514873E-1,-1.196785880E0,1.330106543E0
1.245365542E0,-1.220437429E-1,-4.852890784E-1,-1.418271393E0,1.503959410E0
1.255400542E0,2.812817708E-2,-3.920517164E-1,-1.652951732E0,1.699042427E0
1.265435542E0,1.727108167E-1,-3.064186585E-1,-1.879085780E0,1.911722990E0
1.275470542E0,2.117942639E-1,-2.207955408E-1,-1.962173545E0,1.985883306E0
1.285505542E0,1.426953046E-1,-1.117163175E-1,-1.879793878E0,1.888509335E0
1.295540542E0,2.020139918E-3,-7.725867569E-2,-1.651479403E0,1.653286788E0
1.305576542E0,-9.605776638E-2,-2.864200115E-2,-1.371804739E0,1.375461996E0
1.315611542E0,-8.080026112E-2,3.858869970E-2,-1.115671551E0,1.119259031E0
1.325646542E0,-8.701168522E-2,1.109690434E-1,-9.070352948E-1,9.179314723E-1
1.335681542E0,-3.718032472E-2,1.874938935E-1,-7.719593507E-1,7.952720137E-1
1.345716542E0,1.281300366E-1,3.176418042E-1,-6.654786301E-1,7.484486817E-1
1.355751542E0,3.377943061E-1,4.019779497E-1,-5.674284250E-1,7.730887936E-1
1.365786542E0,4.925823835E-1,4.718474990E-1,-3.730500197E-1,7.774598280E-1
1.375821542E0,6.130839233E-1,5.055759931E-1,-8.673935115E-2,7.993764425E-1
1.385857542E0,6.521909787E-1,5.282602662E-1,2.525868523E-1,8.764770958E-1
1.395892542E0,6.165065910E-1,4.830531031E-1,5.715197217E-1,9.695645773E-1
1.405927542E0,4.999488520E-1,3.997934300E-1,8.155895197E-1,1.036807555E0
1.415962542E0,2.661149704E-1,2.940746015E-1,1.095564145E0,1.165142843E0
1.425997542E0,-3.716592595E-2,2.266053343E-1,1.338342294E0,1.357899620E0
1.436032542E0,-2.827176277E-1,2.036152518E-1,1.530682359E0,1.569833403E0
1.446067542E0,-4.421201085E-1,3.053936416E-1,1.678958977E0,1.762849601E0
1.456103542E0,-1.902671913E-1,7.057899195E-1,1.689843569E0,1.841171449E0
1.466138542E0,3.123305955E-1,1.196518663E0,1.469058554E0,1.920244866E0
1.476173542E0,7.835352297E-1,1.463406635E0,9.634340286E-1,1.919294548E0
1.486208542E0,1.092881516E0,1.616190872E0,2.859469718E-1,1.971859177E0
1.496243542E0,1.140863110E0,1.727041801E0,-3.758870888E-1,2.103695111E0
1.506278542E0,9.231617694E-1,1.706644374E0,-8.693482357E-1,2.126177092E0
1.516313542E0,4.751693022E-1,1.625013151E0,-9.790683138E-1,1.955767974E0
1.526348542E0,9.874485433E-5,1.572345525E0,-7.354540139E-1,1.735846499E0
1.536384542E0,-3.954860055E-1,1.388477490E0,-2.466273701E-1,1.464617349E0
1.546419542E0,-7.006304826E-1,1.045763994E0,3.202730513E-1,1.298876527E0
1.556454542E0,-7.974290912E-1,6.266420084E-1,8.136640316E-1,1.300239408E0
1.566489542E0,-6.448759657E-1,2.156540841E-1,1.136696969E0,1.324557169E0
1.576524542E0,-3.478315634E-1,-1.779108918E-1,1.217709557E0,1.278849345E0
1.586559542E0,5.657242357E-2,-5.419006509E-1,1.092633521E0,1.220944211E0
1.596594542E0,4.947143514E-1,-7.500825781E-1,9.478090990E-1,1.306027661E0
1.606629542E0,8.620223323E-1,-7.937706345E-1,8.345263124E-1,1.438606439E0
1.616665542E0,1.087250209E0,-7.915662342E-1,6.685905182E-1,1.501899930E0
1.626700542E0,1.197861549E0,-7.504012513E-1,4.160796797E-1,1.473464159E0
1.636735542E0,1.175713904E0,-6.562452918E-1,1.645856720E-1,1.356484246E0
1.646770542E0,1.150203160E0,-5.030798167E-1,-1.202281094E-1,1.261154792E0
1.656805542E0,1.062207827E0,-4.653752160E-1,-4.965280116E-1,1.261506887E0
