"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.973583334E-3,-4.030976915E-1,-2.113009782E-1,-1.101870952E0,1.192164187E0
1.200758333E-2,-1.217430645E0,-2.177700453E-1,-1.526850679E0,1.964900548E0
2.204158333E-2,-1.790472981E0,-2.698783846E-1,-1.290811447E0,2.223695580E0
3.207658333E-2,-1.802315932E0,-2.494305253E-1,-8.721192312E-1,2.017709161E0
4.211058332E-2,-1.597013758E0,-2.156656323E-1,-3.145053577E-1,1.641912979E0
5.214420833E-2,-1.499171129E0,-2.903550415E-1,5.559088254E-1,1.625070690E0
6.217820833E-2,-1.366870859E0,-3.600803107E-1,1.254588531E0,1.889969882E0
7.221220832E-2,-1.044612678E0,-4.349638474E-1,1.314027817E0,1.734092932E0
8.224720832E-2,-6.481778884E-1,-3.504055077E-1,9.427266991E-1,1.196516704E0
9.228120833E-2,2.100901076E0,2.135080098E-1,-1.290073528E0,2.474603142E0
1.023152083E-1,-8.305326641E-1,-2.395966780E-1,-2.445705535E0,2.593967355E0
1.123492083E-1,-2.646485472E0,1.355112400E0,-1.613580090E0,3.382876835E0
1.223832083E-1,-1.913491382E0,1.771128345E0,-1.182094751E0,2.862812059E0
1.324182083E-1,-1.093023530E0,1.247433147E0,-9.854102039E-1,1.929202727E0
1.424522083E-1,-7.656811953E-1,1.029536802E-1,-1.320529336E0,1.529923161E0
1.524862083E-1,-8.954496217E-1,-1.108162118E0,-1.842148919E0,2.328812132E0
1.625202083E-1,-2.079914834E0,-1.018410427E0,-1.180024837E0,2.599166045E0
1.725542083E-1,-2.089437025E0,-1.056562852E0,-1.595480618E0,2.833307351E0
1.825882083E-1,-1.995282819E0,-1.089431147E0,-1.723815308E0,2.852990180E0
1.926232083E-1,-2.370774052E0,-1.012671093E0,-1.313025604E0,2.893113994E0
2.026572083E-1,-1.768557032E0,-8.048706964E-1,-9.294207752E-1,2.153934491E0
2.126912083E-1,-7.495037037E-1,-6.452814701E-1,-6.821829557E-1,1.201464757E0
