"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.763791661E-3,-1.891831541E-1,3.122197542E-1,-9.697209549E-1,1.036161267E0
1.179779167E-2,-7.373923659E-2,4.396277328E-1,-7.712190932E-1,8.907799437E-1
2.183179166E-2,-1.221328399E-1,3.855667157E-1,-5.440389776E-1,6.779059906E-1
3.186579167E-2,-2.881361693E-1,1.411712278E-1,-1.883470023E-1,3.720569323E-1
4.189979166E-2,-4.146357098E-1,-1.531874022E-1,-2.712406397E-2,4.428598728E-1
5.193279166E-2,-5.382306460E-1,-2.758752890E-1,-1.539297062E-1,6.240943501E-1
6.196679166E-2,-6.679546335E-1,-4.659449541E-1,-3.195251924E-1,8.748510966E-1
7.200079167E-2,-5.485395795E-1,-7.308605144E-1,-3.193111843E-1,9.679940053E-1
8.203479166E-2,-1.926976231E-1,-6.952257550E-1,-2.684912789E-1,7.697784039E-1
9.206879167E-2,8.932118922E-2,-6.463270254E-1,-3.499505943E-1,7.403933529E-1
1.021027917E-1,1.764908955E-1,-5.590951925E-1,-5.375088072E-1,7.953943602E-1
1.121367917E-1,1.111204863E-1,-4.862785003E-1,-5.560076433E-1,7.469665600E-1
1.221707917E-1,2.991713271E-1,-4.629625452E-1,-7.308393914E-1,9.154037454E-1
1.322047917E-1,4.293209919E-1,-3.821608588E-1,-9.652478349E-1,1.123417473E0
1.422387917E-1,3.900692180E-1,-2.956692103E-1,-7.741462094E-1,9.159020855E-1
1.522727917E-1,6.005797988E-1,-1.220309887E-1,-3.492103368E-1,7.053619754E-1
1.623067917E-1,9.838416883E-1,2.834836860E-1,-1.401431412E-1,1.033415487E0
1.723407917E-1,5.205346325E-1,1.229905716E-1,-4.309415478E-1,6.868723331E-1
1.823747917E-1,6.126817811E-1,1.527373219E-1,-1.201191757E0,1.357044322E0
1.924087917E-1,-4.821061465E-1,1.010002076E-1,-1.590622167E0,1.665144515E0
2.024427917E-1,-1.253166488E-1,-1.221221139E-1,-2.141149800E0,2.148287816E0
2.124767917E-1,-6.716670308E-1,-4.622900058E-1,-1.510772005E0,1.716764603E0
2.225107917E-1,-9.608627155E-1,-8.135311536E-1,-1.291335357E0,1.803506890E0
2.325447917E-1,-8.055834720E-1,-1.096925962E0,-9.663880420E-1,1.669166602E0
2.425787917E-1,-1.155953896E0,-1.471230648E0,-5.490032637E-1,1.949911181E0
2.526127917E-1,-1.212183353E0,-1.748756752E0,-5.437284905E-1,2.196173794E0
2.626457917E-1,-1.283043129E0,-1.919156749E0,-8.433363122E-1,2.457758823E0
2.726797917E-1,-1.186605293E0,-2.073436850E0,-1.246842724E0,2.694770727E0
2.827137917E-1,-9.037564686E-1,-2.228485275E0,-1.411662285E0,2.788496509E0
2.927477917E-1,-1.621320342E0,-2.507285779E0,-1.732747514E0,3.452184175E0
3.027817917E-1,-2.932552897E0,-3.226812270E0,-3.076780318E0,5.336549545E0
3.128157917E-1,-4.800065283E0,-4.269301532E0,-4.498155997E0,7.842255394E0
3.228497917E-1,-5.544975414E0,-4.999062404E0,-4.205843162E0,8.568926068E0
3.328837917E-1,-4.740642369E0,-5.527945399E0,-3.019278799E0,7.883394882E0
3.429177917E-1,-3.559411252E0,-5.504310368E0,-1.073026053E0,6.642155223E0
3.529517917E-1,-2.472328493E0,-5.070440535E0,6.396263355E-1,5.677226193E0
3.629857917E-1,-1.643475734E0,-4.845166612E0,1.292449252E0,5.277032978E0
3.730197917E-1,-1.423101193E0,-4.414776456E0,1.298015217E0,4.816670185E0
3.830537917E-1,-1.474929743E0,-3.744214257E0,1.043351433E0,4.157299648E0
3.930877917E-1,-1.817085999E0,-3.284058558E0,3.161291295E-1,3.766534185E0
4.031217917E-1,-2.413126604E0,-2.768844307E0,-1.062672973E-1,3.674366822E0
4.131557917E-1,-2.323969429E0,-2.231859557E0,8.707158995E-1,3.337690394E0
4.231897917E-1,-3.894783568E-1,-1.740554717E0,3.145710220E0,3.616174346E0
4.332237917E-1,2.395939298E0,-1.209971936E0,5.673451606E0,6.276353267E0
4.432577917E-1,4.449703630E0,-5.769795594E-1,7.238367659E0,8.516262923E0
