"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.973166553E-3,1.258745097E-1,2.641345185E-1,-1.842512470E0,1.865600074E0
1.602262491E-2,-9.222956505E-1,3.264266610E-1,-1.015187588E0,1.409889879E0
2.607162483E-2,-1.636012348E0,2.584866929E-1,-3.019547479E-1,1.683605786E0
3.612062498E-2,-2.142386047E0,1.805345374E-1,2.198063381E-1,2.161186138E0
4.616862489E-2,-2.270978745E0,-8.456067860E-2,2.725445688E-1,2.288837152E0
5.621762481E-2,-2.567845100E0,-4.968519473E-1,-2.227657601E-2,2.615566202E0
6.626662496E-2,-2.269851986E0,-7.768347591E-1,-3.492717326E-1,2.424394982E0
7.631562487E-2,-1.289931587E0,-7.698590308E-1,-4.965345897E-1,1.582135590E0
8.636462479E-2,-8.668965713E-1,-7.321064830E-1,-6.483870725E-1,1.306864707E0
9.641262493E-2,-7.601986997E-1,-6.823460931E-1,-6.230545954E-1,1.196534698E0
1.064616248E-1,-5.755754236E-1,-6.930956143E-1,-5.220560780E-1,1.041254603E0
1.165106250E-1,-4.977749303E-1,-7.351347560E-1,-4.005798805E-1,9.739954986E-1
1.265596249E-1,-5.675942301E-1,-7.852366233E-1,-3.260265653E-1,1.022278380E0
1.366086248E-1,-5.930639340E-1,-7.588563251E-1,-2.704255378E-1,1.000358797E0
1.466576250E-1,-4.333783018E-1,-7.214043242E-1,-2.807509898E-1,8.871651874E-1
1.567056249E-1,-1.891683351E-1,-8.462757075E-1,-3.663863866E-1,9.413852646E-1
1.667546248E-1,4.672135441E-3,-9.619932747E-1,-4.118883955E-1,1.046472618E0
1.768036250E-1,2.160730371E-1,-1.042377872E0,-3.836428356E-1,1.131556897E0
1.868526249E-1,4.249417929E-1,-1.084409997E0,-3.246596324E-1,1.209100676E0
1.969016248E-1,5.763881866E-1,-1.049090475E0,-3.065157223E-1,1.235623752E0
2.069506249E-1,6.556615935E-1,-9.656881303E-1,-3.637064615E-1,1.222590725E0
2.169986248E-1,6.986662567E-1,-8.058732015E-1,-4.218684232E-1,1.146969538E0
2.270476250E-1,7.720571454E-1,-5.746029586E-1,-5.220287423E-1,1.094876616E0
2.370966249E-1,8.871208477E-1,-3.617999768E-1,-6.733359723E-1,1.171009801E0
2.471456248E-1,1.023978658E0,-2.746659386E-1,-9.026566073E-1,1.392394563E0
2.571946250E-1,1.040473945E0,-2.409462154E-1,-1.014477882E0,1.473026301E0
2.672436249E-1,1.097136389E0,-2.003419805E-1,-9.210737287E-1,1.446451513E0
2.772916248E-1,1.175438865E0,-1.115806621E-1,-7.552874771E-1,1.401629746E0
2.873406250E-1,1.125776416E0,-2.791168392E-2,-4.758532803E-1,1.222533413E0
2.973896249E-1,8.857198548E-1,1.138932359E-1,-1.164110470E-1,9.005680775E-1
3.074386248E-1,7.160937367E-1,2.970695454E-1,9.569173068E-2,7.811513694E-1
3.174876249E-1,7.166294879E-1,4.042180181E-1,1.359617972E-1,8.339278382E-1
3.275366249E-1,8.980862774E-1,3.754812920E-1,7.175030619E-2,9.760600743E-1
3.375846250E-1,1.119623245E0,1.633226734E-1,-4.026626587E-2,1.132188977E0
3.476336249E-1,1.341215031E0,-1.236668569E-1,-1.946981017E-1,1.360903597E0
3.576826248E-1,1.469314662E0,-3.782517028E-1,-3.566696298E-1,1.558580492E0
3.677316250E-1,1.466767761E0,-6.122976190E-1,-5.077030639E-1,1.668555794E0
3.777806249E-1,1.253678265E0,-7.860476321E-1,-6.292612687E-1,1.607964495E0
