"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.470858333E-2,6.090518296E-2,2.289477289E-2,3.239942193E-3,6.514682772E-2
3.475658334E-2,-4.190611750E-2,1.063474041E-1,1.675028479E-1,2.027883061E-1
4.480558333E-2,-8.090953097E-2,1.434123194E-1,2.184005213E-1,2.735182503E-1
5.485358334E-2,-5.506586105E-2,1.153462690E-1,2.227859330E-1,2.568473920E-1
6.490158333E-2,-1.242566948E-1,8.182593584E-2,2.589515465E-1,2.986488129E-1
7.494958333E-2,-1.031163789E-1,7.623775184E-2,2.842220432E-1,3.118130084E-1
8.499758333E-2,-4.346293867E-2,6.965261757E-2,2.756225431E-1,2.875905082E-1
9.504558332E-2,-2.152418554E-2,8.744335592E-2,2.393984574E-1,2.557757855E-1
1.050945833E-1,-5.812527046E-2,2.571020722E-2,2.977337891E-1,3.044420651E-1
1.151425833E-1,6.418342441E-3,-4.509957433E-2,3.200438404E-1,3.232695880E-1
1.251905833E-1,2.840314239E-2,-1.197416210E-1,2.423027694E-1,2.717635486E-1
1.352385833E-1,7.435085535E-2,-1.686775535E-1,1.193527812E-1,2.196024889E-1
1.452865833E-1,2.790264997E-1,-1.296701932E-1,-3.939152241E-2,3.101964516E-1
1.553355833E-1,1.603230518E-1,-1.361477387E-1,-9.984763920E-2,2.328287756E-1
1.653835833E-1,1.048239121E-1,-1.045979172E-1,1.868770123E-3,1.480954730E-1
1.754315833E-1,2.113762611E-1,-6.052979171E-2,2.168965717E-2,2.209394050E-1
1.854795833E-1,1.914790633E-1,-3.297244906E-2,-9.585866868E-2,2.166570988E-1
1.955275833E-1,2.356752428E-1,4.653506577E-2,-1.722379231E-1,2.955913304E-1
2.055765833E-1,3.983260712E-1,1.870173454E-1,-2.546351320E-1,5.084075107E-1
2.156245833E-1,3.850777423E-1,1.779576695E-1,-1.052136290E-1,4.370625899E-1
2.256725833E-1,3.703869054E-1,-1.493963599E-3,1.944918412E-1,4.183488591E-1
2.357205833E-1,4.525361922E-1,-8.824500918E-2,3.036921018E-1,5.520915501E-1
2.457685833E-1,7.483041474E-1,-1.085792863E-1,2.474190831E-1,7.955908252E-1
2.558165833E-1,6.753452218E-1,-1.894714218E-1,2.275648624E-1,7.374119302E-1
2.658655833E-1,4.759566298E-1,-2.977507460E-1,3.448769653E-1,6.588856816E-1
2.759135833E-1,3.904592273E-1,-3.622221458E-1,3.930258626E-1,6.619158706E-1
2.859615833E-1,3.694013572E-1,-3.378158677E-1,2.957387191E-1,5.814106235E-1
2.960095833E-1,3.460607341E-1,-3.185311657E-1,1.946947396E-1,5.090443761E-1
3.060575833E-1,1.428176576E-1,-3.159168756E-1,2.237507236E-1,4.126314844E-1
3.161065833E-1,2.902587086E-2,-2.938424671E-1,3.308255213E-1,4.434314177E-1
3.261545833E-1,-1.915957153E-2,-3.270447117E-1,3.523970693E-1,4.811538497E-1
3.362025833E-1,-8.464955628E-2,-3.591593742E-1,2.714049464E-1,4.580629307E-1
3.462505833E-1,-1.165753537E-1,-2.897388911E-1,1.922049952E-1,3.667167821E-1
3.562985833E-1,-2.465709445E-1,-3.342215842E-1,2.221263671E-1,4.710004469E-1
3.663475833E-1,-3.382593790E-1,-4.208977854E-1,2.630545378E-1,6.006430247E-1
3.763955833E-1,-3.840410310E-1,-4.440252775E-1,2.083117354E-1,6.229283584E-1
3.864435833E-1,-3.454511619E-1,-4.229507428E-1,6.922343194E-2,5.504686364E-1
3.964915833E-1,-5.502984220E-1,-3.925534075E-1,5.278573017E-2,6.780212860E-1
4.065395833E-1,-7.375060943E-1,-3.769758403E-1,1.341713707E-1,8.390637520E-1
4.165875833E-1,-7.686091885E-1,-3.423287487E-1,1.399203531E-1,8.529517935E-1
4.266361667E-1,-8.136046824E-1,-3.258571422E-1,7.476833741E-2,8.796168260E-1
4.366841667E-1,-8.889709067E-1,-3.579916853E-1,3.890621264E-2,9.591355551E-1
4.467321667E-1,-9.246620187E-1,-3.568421227E-1,4.111059467E-2,9.919809627E-1
4.567801667E-1,-9.480462036E-1,-3.006895566E-1,7.688562334E-2,9.975556188E-1
4.668281667E-1,-9.093752043E-1,-2.065973318E-1,1.240346559E-1,9.407604985E-1
4.768771667E-1,-9.831097631E-1,-1.520556736E-1,1.886247450E-1,1.012524088E0
4.869251667E-1,-9.771314237E-1,-3.977276087E-2,2.727995074E-1,1.015276939E0
4.969731667E-1,-8.769804601E-1,3.754614115E-2,2.805394667E-1,9.215241899E-1
5.070211667E-1,-8.360641301E-1,-5.203027904E-2,2.962567824E-1,8.885260045E-1
5.170691667E-1,-8.157416935E-1,-2.361889207E-1,3.460616112E-1,9.170487204E-1
5.271171667E-1,-7.296608850E-1,-3.500359637E-1,3.036634505E-1,8.643735733E-1
