"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.309250068E-3,-4.470213908E-1,9.903902775E-1,-1.456497565E0,1.817164324E0
1.735725021E-2,-4.897583976E-1,1.051314172E0,-1.233492069E0,1.693111768E0
2.740525012E-2,-2.366151828E-1,7.206231362E-1,-2.758173431E0,2.860560281E0
3.745325003E-2,2.255937660E-1,9.218006837E-1,-2.634188778E0,2.799921350E0
4.750125017E-2,1.538714972E0,2.144581531E0,-9.244026947E-1,2.796675535E0
5.754925008E-2,5.598280971E0,4.323897277E0,-1.452785168E0,7.221317209E0
6.759724999E-2,3.606558229E0,6.267928081E0,-1.239472016E0,7.336925485E0
7.764525013E-2,2.816821296E0,7.060783042E0,-1.228673232E0,7.700569933E0
8.769425005E-2,2.790561158E0,6.910983224E0,-1.228790177E0,7.553730601E0
9.774225019E-2,2.544766432E0,6.816746573E0,-1.157115446E0,7.367685266E0
1.077906252E-1,2.140196119E0,6.606134543E0,-1.182577292E0,7.044142395E0
1.178386251E-1,1.814149235E0,6.318104208E0,-1.260058016E0,6.693080340E0
1.278866250E-1,1.692982647E0,6.028231416E0,-1.204104109E0,6.376176829E0
1.379346251E-1,1.665206034E0,5.778581035E0,-1.099456637E0,6.113404519E0
1.479826251E-1,1.801622745E0,5.461800526E0,-1.022143582E0,5.841394268E0
1.580306252E-1,2.399211400E0,5.431812496E0,-8.751872653E-1,6.002229176E0
1.680786251E-1,3.082751495E0,5.913916011E0,-9.011974347E-1,6.729778316E0
1.781266250E-1,3.310739988E0,6.720749910E0,-5.556848405E-1,7.512540466E0
1.881746252E-1,3.129387425E0,7.137275732E0,-4.551320636E-1,7.806466277E0
1.982226251E-1,2.627522952E0,7.530508001E0,-1.629519600E-1,7.977404400E0
2.082716250E-1,2.027282292E0,8.009111958E0,9.244214058E-2,8.262220851E0
2.183196251E-1,1.005367043E0,6.526612995E0,-2.036807589E-1,6.606733378E0
