"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.116666667E-4,-7.437501605E0,-1.059970156E1,-2.937742301E0,1.327781733E1
9.818333333E-3,-8.653554060E0,-1.314416540E1,-5.792498578E0,1.676920158E1
1.984833333E-2,-8.056428797E0,-1.465071337E1,-4.453816561E0,1.730277230E1
2.987833333E-2,-6.885303422E0,-1.441326262E1,-1.842792990E0,1.607934789E1
3.990933333E-2,-6.359484369E0,-1.271820392E1,-1.146378496E0,1.426569087E1
4.993933333E-2,-6.267997663E0,-1.001937242E1,-2.043793952E0,1.199386143E1
5.996933333E-2,-6.239389576E0,-7.588411809E0,-3.109777325E0,1.030459563E1
6.999933333E-2,-5.866765818E0,-5.644921871E0,-2.631323642E0,8.556164340E0
8.003033333E-2,-4.796142094E0,-3.879868491E0,-1.765291947E0,6.416588981E0
9.006033333E-2,-3.290249882E0,-2.187583709E0,-1.203040062E0,4.130202436E0
1.000903333E-1,-1.613837952E0,-6.233090955E-1,-4.430201411E-1,1.785848260E0
1.101203333E-1,-1.718613625E-2,9.228274548E-1,3.549682362E-1,9.888924731E-1
1.201503333E-1,1.413214428E0,2.369972983E0,7.782822374E-1,2.866996721E0
1.301813333E-1,2.497788147E0,3.655978603E0,9.439078367E-1,4.527260450E0
1.402113333E-1,3.125182107E0,4.779084304E0,1.098426504E0,5.814890435E0
1.502413333E-1,3.510987243E0,5.872721207E0,1.207473567E0,6.947940574E0
1.602713333E-1,3.955729682E0,6.958667268E0,1.122046770E0,8.082687450E0
1.703023333E-1,4.378938872E0,7.901182297E0,7.001223595E-1,9.060571652E0
1.803323333E-1,4.416764217E0,8.712933705E0,7.492519811E-2,9.768758042E0
1.903623333E-1,4.003709010E0,9.396380829E0,-5.336603160E-1,1.022772955E1
2.003923333E-1,3.997166853E0,9.681103393E0,-1.404796923E0,1.056761847E1
2.104223333E-1,3.792114648E0,9.718339632E0,-1.243010313E0,1.050577619E1
2.204533333E-1,3.423298304E0,9.622002077E0,-1.386376293E-1,1.021377088E1
2.304833333E-1,3.113145322E0,9.483007329E0,8.045862293E-1,1.001331418E1
2.405133333E-1,2.908641293E0,9.442941037E0,1.310890932E0,9.967334882E0
2.505433333E-1,2.783570520E0,9.463751278E0,1.608018364E0,9.994827470E0
2.605743333E-1,2.673237946E0,9.550807548E0,1.942956086E0,1.010639423E1
2.706043333E-1,2.631220146E0,9.640586282E0,2.368002910E0,1.026993968E1
2.806343333E-1,2.593317910E0,9.728371700E0,2.835945200E0,1.045988044E1
2.906643333E-1,2.481810338E0,9.736494652E0,3.254287752E0,1.056168071E1
3.006943333E-1,2.357836941E0,9.571065812E0,3.462341625E0,1.044760764E1
