"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.700208333E-3,-6.615488626E-1,8.753679442E-1,1.192177836E-1,1.103688731E0
1.273020833E-2,-6.348111534E-1,9.299575496E-1,-1.179897952E-1,1.132134195E0
2.276020833E-2,-5.640241760E-1,8.344953221E-1,-3.336374474E-1,1.061046493E0
3.279020833E-2,-4.400148185E-1,5.783071697E-1,-4.628609133E-1,8.615639547E-1
4.282020833E-2,-3.415607169E-1,2.719399667E-1,-5.488676814E-1,7.013350130E-1
5.285020833E-2,-2.788206777E-1,1.715105295E-2,-5.863364931E-1,6.494810329E-1
6.288020833E-2,-2.586116771E-1,-1.916740680E-1,-5.848151207E-1,6.675534984E-1
7.291020833E-2,-2.672838289E-1,-3.223447198E-1,-5.281193483E-1,6.739857636E-1
8.294020833E-2,-2.468706143E-1,-3.672478276E-1,-4.445122775E-1,6.272218363E-1
9.297020833E-2,-2.299076955E-1,-3.551750815E-1,-3.325228950E-1,5.381248579E-1
1.030002083E-1,-1.945691706E-1,-2.971326953E-1,-2.166674796E-1,4.160406200E-1
1.130302083E-1,-1.672664742E-1,-3.089013863E-1,-9.293557249E-2,3.633664273E-1
1.230602083E-1,-1.176901254E-1,-3.873517245E-1,1.565884352E-2,4.051388941E-1
1.330902083E-1,-1.101197353E-1,-4.774321747E-1,3.339001335E-2,4.911035843E-1
1.431202083E-1,-1.124821566E-1,-5.073728424E-1,-4.841136418E-2,5.219416605E-1
1.531502083E-1,-1.675883634E-1,-5.025687701E-1,-3.538968071E-1,6.371060965E-1
1.631802083E-1,-2.710095285E-1,-4.835314053E-1,-5.776229724E-1,8.005604803E-1
1.732097917E-1,-3.323257707E-1,-3.882948804E-1,-4.364980837E-1,6.721189694E-1
1.832397917E-1,-2.124660359E-1,-1.610720801E-1,-1.937522415E-1,3.295845301E-1
1.932697917E-1,-1.187569499E-2,1.251643288E-1,-1.085687613E-1,1.661153734E-1
2.032997917E-1,1.326848714E-1,3.639622772E-1,-1.210549057E-1,4.058671020E-1
2.133297917E-1,9.919392049E-2,5.338829488E-1,-1.189582403E-1,5.558970226E-1
2.233597917E-1,-6.126040131E-2,6.584953004E-1,-4.620703697E-2,6.629509693E-1
2.333897917E-1,-2.138592812E-1,7.344477081E-1,1.374088369E-2,7.650738788E-1
2.434197917E-1,-3.515898612E-1,7.168680543E-1,3.780583061E-2,7.993400519E-1
2.534497917E-1,-5.505998459E-1,6.383457953E-1,6.084371410E-2,8.451908082E-1
2.634797917E-1,-7.483494633E-1,4.756376642E-1,1.457043549E-1,8.986032862E-1
2.735097917E-1,-9.266813546E-1,3.131721926E-1,2.184157240E-1,1.002257743E0
2.835397917E-1,-1.073787068E0,1.811122423E-1,1.866794495E-1,1.104839141E0
2.935697917E-1,-1.165784235E0,1.274885970E-1,9.181188382E-2,1.176322935E0
3.035997917E-1,-1.189663095E0,1.092546397E-1,-4.546327114E-2,1.195534091E0
3.136297917E-1,-1.166818900E0,1.463055217E-1,-1.446099023E-1,1.184813772E0
3.236597917E-1,-1.081024459E0,2.466840881E-1,-1.814966237E-1,1.123569288E0
3.336897917E-1,-9.369174904E-1,3.667098838E-1,-2.037848210E-1,1.026556757E0
3.437197917E-1,-7.590127382E-1,5.208278704E-1,-2.062149239E-1,9.433380105E-1
3.537497917E-1,-6.179352120E-1,6.828811133E-1,-1.594197301E-1,9.346577937E-1
3.637797917E-1,-5.126581407E-1,8.716730887E-1,-1.445302340E-1,1.021528918E0
3.738097917E-1,-4.084914556E-1,1.092628843E0,-2.464039334E-1,1.192232342E0
3.838397917E-1,-2.842556646E-1,1.432664899E0,-3.801369182E-1,1.509249506E0
3.938697917E-1,-1.644789603E-1,1.815692022E0,-4.639004751E-1,1.881221545E0
4.038997917E-1,-1.050852826E-1,2.235706294E0,-5.461043604E-1,2.303834959E0
4.139297917E-1,-5.064156532E-2,2.599079171E0,-6.306457432E-1,2.674974983E0
4.239597917E-1,7.194209486E-2,2.818232814E0,-7.300096714E-1,2.912134265E0
4.339897917E-1,2.160861933E-1,2.833212796E0,-7.947886348E-1,2.950504527E0
4.440197917E-1,2.355819798E-1,2.719391481E0,-8.235756469E-1,2.851116578E0
4.540497917E-1,1.028574935E-1,2.604320616E0,-1.041015032E0,2.806559785E0
4.640797917E-1,-1.111313036E-1,2.532764145E0,-1.629141870E0,3.013527436E0
4.741087917E-1,-5.114577073E-1,2.509150749E0,-1.876181761E0,3.174505389E0
4.841397917E-1,-9.342037976E-1,2.587899880E0,-1.233431550E0,3.015180909E0
4.941687917E-1,-1.167914961E0,2.780693690E0,-3.747081439E-1,3.039192153E0
5.041987917E-1,-1.144165033E0,3.150351740E0,-3.338103788E-1,3.368272417E0
5.142287917E-1,-9.182765669E-1,3.522879018E0,-1.102115804E0,3.803757047E0
5.242587917E-1,-8.829859892E-1,3.636208583E0,-1.417608172E0,4.001411006E0
5.342887917E-1,-1.680032819E0,3.250395845E0,-8.903192747E-1,3.765667515E0
5.443187917E-1,-2.329564630E0,2.196991294E0,-2.766908294E-1,3.214062838E0
5.543487917E-1,-2.074918973E0,5.202805710E-1,1.365032494E-1,2.143505016E0
5.643787917E-1,-1.337926849E0,-1.571901137E0,-8.230298093E-1,2.222228499E0
5.744087917E-1,-1.394876683E-1,-3.692209706E0,-3.263334564E0,4.929626943E0
5.844387917E-1,1.201409274E0,-5.244530856E0,-4.572784595E0,7.061079740E0
5.944687917E-1,1.702513901E0,-5.500131363E0,-2.954011886E0,6.471181099E0
6.044987917E-1,1.721897129E0,-4.738697585E0,-1.365407008E0,5.223458703E0
6.145287917E-1,1.661798277E0,-3.365329301E0,-4.308687499E-1,3.777917772E0
6.245587917E-1,1.194799581E-1,-1.702275919E0,4.464642973E0,4.779650159E0
6.345887917E-1,-6.635508031E-1,4.567546660E-1,8.232069215E0,8.271389729E0
6.446187917E-1,-1.245104347E0,5.822832763E-2,-2.743454527E0,3.013340027E0
6.546487917E-1,-9.577932197E-1,-1.818662993E0,-2.376355219E-1,2.069148031E0
6.646787917E-1,4.465781718E-2,-3.478181732E0,9.695171794E-1,3.611053315E0
6.747087917E-1,7.050198412E-1,-4.519971959E0,3.368092695E-1,4.587007736E0
6.847387917E-1,1.126434813E0,-5.117372627E0,-7.089661270E-2,5.240361087E0
6.947687917E-1,1.754401508E0,-6.287584081E0,-2.154979634E-1,6.531315151E0
7.047987917E-1,1.915417162E0,-7.830868945E0,-1.149822798E0,8.143305459E0
7.148287917E-1,1.966517734E0,-9.873540523E0,-1.464959071E0,1.017349987E1
7.248587917E-1,2.419723140E0,-1.212199024E1,-1.707022104E0,1.247844669E1
7.348887917E-1,2.811479572E0,-1.432224720E1,-2.118084873E0,1.474847334E1
7.449187917E-1,2.202144153E0,-1.521448086E1,-2.775932010E0,1.562164092E1
7.549487917E-1,9.339608458E-1,-1.344578466E1,-2.324121164E0,1.367709571E1
7.649787917E-1,1.419707469E0,-1.153848139E1,-6.350307164E-1,1.164282552E1
7.750087917E-1,3.997601301E0,-1.034206856E1,-5.307780772E-2,1.108792205E1
7.850387917E-1,6.697246442E0,-9.108458667E0,-5.603433537E-1,1.131950149E1
7.950687917E-1,8.259843489E0,-8.121117128E0,1.519469154E-1,1.158450024E1
8.050987917E-1,8.581488297E0,-6.971221240E0,1.543256504E0,1.116340036E1
8.151287917E-1,8.530180734E0,-5.947840971E0,1.087919203E0,1.045582918E1
8.251587917E-1,6.923759390E0,-4.059013145E0,2.697392209E-1,8.030366807E0
8.351887917E-1,4.950942743E0,-1.503860596E0,-4.384195518E-1,5.192845313E0
8.452187917E-1,3.747677855E0,5.529162204E-1,-4.526037276E-1,3.815187517E0
8.552487917E-1,2.472888949E0,2.656642671E0,-7.283277199E-2,3.630183831E0
8.652787917E-1,1.030059543E0,4.697132068E0,1.625642896E-2,4.808777038E0
8.753087917E-1,-3.988137290E-1,6.527715780E0,-3.585081406E-1,6.549706389E0
8.853387917E-1,-1.576922433E0,8.089242201E0,-8.733366215E-1,8.287655918E0
8.953687917E-1,-2.367000259E0,9.322189018E0,-1.145137424E0,9.685929900E0
9.053987917E-1,-3.176471837E0,1.047743511E1,-1.163442718E0,1.101000539E1
9.154287917E-1,-4.009653874E0,1.083738853E1,-1.564005057E0,1.166072152E1
9.254587917E-1,-4.234496565E0,1.083324169E1,-1.703503250E0,1.175550977E1
9.354887917E-1,-4.233066921E0,1.101717054E1,-1.609832025E0,1.191169431E1
9.455187917E-1,-4.072780414E0,1.097487529E1,-1.421817144E0,1.179224287E1
9.555487917E-1,-3.758408373E0,1.089387264E1,-1.130664323E0,1.157931329E1
9.655787917E-1,-3.545854190E0,1.061571474E1,-6.833395350E-1,1.121309210E1
9.756087917E-1,-3.213358119E0,9.950993911E0,-2.198974085E-1,1.045926886E1
9.856387917E-1,-2.786521902E0,9.087712162E0,1.448799706E-1,9.506429763E0
9.956687917E-1,-2.732257694E0,8.529404224E0,4.557623935E-1,8.967925506E0
1.005698792E0,-2.961171509E0,8.306260441E0,9.131351101E-1,8.865456274E0
1.015728792E0,-3.160036483E0,8.244065362E0,1.394439457E0,8.938395028E0
1.025758792E0,-2.806350395E0,8.001548585E0,1.584452624E0,8.626173683E0
1.035788792E0,-2.445362889E0,7.883796186E0,2.006517659E0,8.494713361E0
1.045818792E0,-1.883982239E0,8.358946778E0,2.588583419E0,8.951097387E0
1.055848792E0,-1.651877598E0,9.251435954E0,3.956923099E0,1.019681358E1
1.065878792E0,-2.174265798E0,1.027615173E1,5.389794989E0,1.180578740E1
1.075908792E0,-1.955003105E0,1.049451249E1,5.747110151E0,1.212378260E1
1.085938792E0,-4.773351109E-1,9.785160443E0,3.983943082E0,1.057586952E1
1.095968792E0,6.345930523E-1,9.024724200E0,1.576086866E0,9.183267667E0
1.105998792E0,1.610229051E0,8.412650530E0,2.696234460E-1,8.569610454E0
1.116027792E0,2.368497438E0,8.056577316E0,-5.270808828E-1,8.414037819E0
1.126057792E0,3.105744208E0,7.665802047E0,-2.256640495E0,8.573365409E0
1.136088792E0,4.043874704E0,6.649441946E0,-5.791628512E0,9.701080436E0
1.146117792E0,3.163602115E0,4.352850934E0,-2.611938368E0,5.981464004E0
1.156147792E0,1.037392536E0,5.297507215E-1,4.806813555E0,4.945935265E0
1.166177542E0,2.051399133E-1,-2.781841498E0,4.408998238E0,5.217278023E0
1.176207542E0,6.806848991E-1,-6.695902752E0,-5.397668849E0,8.627472086E0
1.186237542E0,1.959187080E0,-1.339393389E1,-1.017495864E1,1.693415668E1
1.196267542E0,5.371372166E-1,-1.752606530E1,-3.381219109E0,1.785732690E1
1.206297542E0,3.362051936E0,-2.061349573E1,-6.258720471E0,2.180346719E1
1.216327542E0,6.850888465E0,-2.147635531E1,-1.380437218E1,2.643348637E1
1.226357542E0,7.365549862E0,-2.101383822E1,-3.908909564E0,2.260779280E1
1.236387542E0,7.766979927E0,-2.049067848E1,3.648601756E0,2.221499891E1
1.246417542E0,5.836486596E0,-1.968107300E1,2.039978059E-1,2.052926753E1
