"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.448125005E-3,-3.735946586E0,1.032112851E1,1.046638036E1,1.516667757E1
1.747812500E-2,-5.202971186E0,1.114920768E1,8.577366010E0,1.499823152E1
2.750812500E-2,-5.193166575E0,1.124000792E1,7.000542102E0,1.422372479E1
3.753812501E-2,-3.586548180E0,1.009473134E1,7.346944022E0,1.299016994E1
4.756812500E-2,-9.350383414E-1,8.310633574E0,1.001145061E1,1.304492508E1
5.759812500E-2,1.319131997E0,6.332384863E0,1.247221156E1,1.404974265E1
6.762812501E-2,2.712207007E0,3.923767924E0,1.339279953E1,1.421685974E1
7.765812500E-2,3.152346810E0,1.563054592E0,1.408616002E1,1.451896464E1
8.768812500E-2,2.697999150E0,-2.062362662E-1,1.400006913E1,1.425916086E1
9.771812501E-2,1.549550447E0,-1.252686431E0,1.317879144E1,1.332857358E1
1.077481250E-1,4.419169177E-1,-1.963566352E0,1.148389646E1,1.165893482E1
1.177781250E-1,-2.927475759E-1,-2.330808917E0,8.725988783E0,9.036661529E0
1.278081250E-1,-8.312502636E-1,-2.433372881E0,5.504668803E0,6.075661215E0
1.378381250E-1,-9.635538965E-1,-2.662547481E0,2.018234310E0,3.477192105E0
1.478681250E-1,-9.264308015E-1,-3.065527351E0,-1.282862742E0,3.449850546E0
1.578971250E-1,-8.668963520E-1,-3.303696724E0,-3.990248719E0,5.252428598E0
1.679271250E-1,-7.199151845E-1,-3.346541320E0,-5.943528065E0,6.858800372E0
1.779571250E-1,-6.777793445E-1,-3.287389424E0,-7.226048160E0,7.967564627E0
1.879871250E-1,-9.075280689E-1,-3.256426079E0,-8.094980659E0,8.772492797E0
1.980171250E-1,-8.807053558E-1,-3.269466539E0,-8.817735690E0,9.445502425E0
2.080471250E-1,-6.783529564E-1,-3.249147172E0,-9.634228020E0,1.018996907E1
2.180771250E-1,-5.440022498E-1,-3.045583376E0,-1.035894128E1,1.081106753E1
2.281071250E-1,-4.459164132E-1,-2.659782918E0,-1.096686460E1,1.129360021E1
2.381371250E-1,-2.098669486E-1,-2.138782847E0,-1.156402787E1,1.176202265E1
2.481671250E-1,4.004220787E-2,-1.665023893E0,-1.204579049E1,1.216038554E1
2.581971250E-1,2.704244780E-1,-1.386898742E0,-1.214607024E1,1.222798593E1
2.682271250E-1,8.040175876E-1,-1.078759832E0,-1.153412872E1,1.161233363E1
2.782571250E-1,1.265609947E0,-8.888346666E-1,-1.042119776E1,1.053532906E1
2.882871250E-1,7.253533874E-1,-1.234706243E0,-8.822293594E0,8.937757063E0
2.983171250E-1,2.028918050E-2,-1.794186840E0,-7.161396081E0,7.382757744E0
3.083471250E-1,-2.623917559E-1,-2.297288876E0,-5.277324965E0,5.761644245E0
3.183771250E-1,-4.253028584E-1,-2.452376331E0,-3.693758633E0,4.454086330E0
3.284071250E-1,-3.106722886E-1,-2.546662391E0,-2.908055402E0,3.877988245E0
3.384371250E-1,4.469817759E-1,-2.817400755E0,-2.729539908E0,3.948154991E0
3.484671250E-1,1.075730975E0,-2.600294515E0,-2.918297970E0,4.054034008E0
3.584971250E-1,1.423825663E0,-1.846918493E0,-3.411414716E0,4.132328375E0
3.685271250E-1,1.856487023E0,-1.124478919E0,-3.817762874E0,4.391618184E0
3.785571250E-1,2.425327989E0,-6.765517947E-1,-3.937714410E0,4.673920513E0
3.885871250E-1,2.542065310E0,-6.549565655E-1,-3.699338046E0,4.536095912E0
3.986171250E-1,2.246867897E0,-8.332638985E-1,-2.829950634E0,3.708283250E0
4.086471250E-1,1.704216025E0,-1.274524612E0,-1.751752719E0,2.756338665E0
4.186771250E-1,1.331437024E0,-1.732154899E0,-5.538956290E-1,2.253860136E0
4.287071250E-1,9.105648203E-1,-1.612243124E0,1.284092411E0,2.253297473E0
4.387371250E-1,8.496407070E-1,-1.120475038E0,3.050019366E0,3.358566923E0
4.487661250E-1,1.969310657E0,-4.013201380E-1,4.112006460E0,4.576880974E0
4.587961250E-1,3.125229470E0,9.370256639E-1,4.429747667E0,5.501612557E0
4.688261250E-1,2.942942522E0,2.148216745E0,4.391059565E0,5.705887308E0
4.788561250E-1,1.669927076E0,2.368545093E0,5.033422397E0,5.808098082E0
4.888861250E-1,1.474667788E-2,2.237000282E0,6.799335904E0,7.157887709E0
4.989161250E-1,-1.346361750E0,2.394092748E0,8.835663253E0,9.252746358E0
5.089461250E-1,-2.923583560E0,3.255918540E0,1.007726336E1,1.098633621E1
5.189761250E-1,-4.022749006E0,5.046005605E0,9.752396740E0,1.169418335E1
5.290061250E-1,-4.087255781E0,7.100565743E0,7.705274261E0,1.124699716E1
5.390361250E-1,-3.573282602E0,8.463980897E0,5.308378358E0,1.061066454E1
5.490661250E-1,-2.580346447E0,8.701580166E0,4.727787266E0,1.023365319E1
5.590961250E-1,-1.544899572E0,7.521179354E0,5.922861081E0,9.697171595E0
5.691261250E-1,-6.414212114E-1,5.287707281E0,7.781553528E0,9.429944049E0
5.791561250E-1,-3.721077409E-1,3.751996901E0,9.544774391E0,1.026248815E1
5.891861250E-1,-4.415619186E-1,3.001537178E0,9.655632337E0,1.012103938E1
5.992161250E-1,-6.131648342E-1,2.128612492E0,8.198169982E0,8.492170118E0
6.092461250E-1,-7.483256359E-1,1.421198216E0,6.450324957E0,6.647291755E0
6.192761250E-1,-7.259551390E-1,1.038118175E0,4.992579596E0,5.150781614E0
6.293061250E-1,-9.765870479E-1,5.821742257E-1,4.002249545E0,4.160606988E0
6.393361250E-1,-1.112627783E0,-5.810290486E-2,3.416310005E0,3.593395411E0
6.493661250E-1,-1.149025531E0,-6.211508882E-1,2.663338902E0,2.966388748E0
6.593961250E-1,-9.735100968E-1,-1.008318718E0,1.619038466E0,2.141428051E0
6.694261250E-1,-5.681742373E-1,-1.321102363E0,5.931567585E-1,1.555624748E0
6.794561250E-1,-4.723850043E-1,-1.600578221E0,-4.490556371E-1,1.728192466E0
6.894861250E-1,-8.158368570E-1,-1.506116452E0,-1.622266713E0,2.359179059E0
6.995161250E-1,-1.169091567E0,-1.103420172E0,-2.935078894E0,3.346490592E0
7.095461250E-1,-9.683462745E-1,-8.300581625E-1,-4.973407161E0,5.134342202E0
7.195761250E-1,-9.310274439E-1,-7.529412818E-1,-7.585208704E0,7.679135613E0
