"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.034583335E-4,-6.416851401E-2,-1.273371542E-1,-1.525935005E0,1.532582784E0
1.043345833E-2,3.610138187E-1,-4.272969782E-2,-1.702035599E0,1.740425805E0
2.046345833E-2,6.968822712E-1,1.071455491E-1,-1.836055536E0,1.966780364E0
3.049345833E-2,8.699268177E-1,1.105632466E-1,-1.863386006E0,2.059418439E0
4.052345833E-2,9.432409617E-1,-1.605119169E-2,-1.777392029E0,2.012233480E0
5.055345833E-2,9.711810046E-1,-2.276508164E-1,-1.671584469E0,1.946589858E0
6.058345833E-2,9.241805005E-1,-4.522657585E-1,-1.611082159E0,1.911606559E0
7.061345833E-2,8.610826117E-1,-5.747409528E-1,-1.606650847E0,1.911312997E0
8.064345833E-2,7.718491307E-1,-4.560594320E-1,-1.638779835E0,1.867977686E0
9.067345833E-2,6.457998258E-1,-5.973164678E-2,-1.609667279E0,1.735411777E0
1.007044583E-1,3.843512258E-1,4.139922237E-1,-1.555026072E0,1.654455050E0
1.107344583E-1,8.154526949E-3,6.759808141E-1,-1.562658735E0,1.702621179E0
1.207644583E-1,-4.523558056E-1,7.668266648E-1,-1.524852832E0,1.765736409E0
1.307944583E-1,-1.018854816E0,7.208698887E-1,-1.367000667E0,1.851056281E0
1.408244583E-1,-1.613329537E0,4.902019089E-1,-1.108998123E0,2.018169206E0
1.508544583E-1,-2.173230549E0,1.296976751E-1,-9.854932344E-1,2.389759281E0
1.608844583E-1,-2.546395758E0,-3.199257267E-1,-9.491785169E-1,2.736315714E0
1.709144583E-1,-2.883454412E0,-7.207441735E-1,-1.057353761E0,3.154643955E0
1.809444583E-1,-3.053003493E0,-1.214645616E0,-1.513069669E0,3.617398806E0
1.909744583E-1,-2.892277860E0,-1.628812671E0,-2.322476635E0,4.051197312E0
2.010044583E-1,-2.499610139E0,-1.697894016E0,-3.437883891E0,4.577110507E0
2.110344583E-1,-1.914122589E0,-1.496428201E0,-4.607512379E0,5.208870604E0
2.210644583E-1,-1.130390454E0,-1.269947412E0,-5.622005464E0,5.873456771E0
2.310944583E-1,-1.308381745E-1,-1.017117316E0,-6.280309560E0,6.363484457E0
2.411244583E-1,1.765575537E-1,-1.303399333E0,-5.731128541E0,5.880123872E0
2.511544583E-1,-8.946687260E-1,-2.437122408E0,-3.959537096E0,4.734757837E0
2.611844583E-1,-2.431864299E0,-3.792120495E0,-2.268351299E0,5.043764411E0
2.712144583E-1,-3.689509169E0,-4.630777865E0,-1.262886461E0,6.054045239E0
2.812444583E-1,-4.400069247E0,-4.407456912E0,-8.177871957E-1,6.281326429E0
2.912744583E-1,-4.698783907E0,-3.741894667E0,-6.999687240E-1,6.047338432E0
3.013044583E-1,-4.790438720E0,-3.237132021E0,-7.341093005E-1,5.828056564E0
3.113344583E-1,-4.328102302E0,-2.496528364E0,-7.735470159E-1,5.056035838E0
3.213644583E-1,-3.726007782E0,-1.540702148E0,-8.019244306E-1,4.110958512E0
3.313954583E-1,-3.001495078E0,-5.204530638E-1,-7.192836121E-1,3.130050001E0
3.414254583E-1,-1.979103574E0,4.319297272E-1,-3.450617373E-1,2.054867842E0
3.514554583E-1,-1.166377143E0,6.606599396E-1,5.057487052E-2,1.341441394E0
3.614854583E-1,-9.431947687E-1,4.574235874E-1,6.994158697E-1,1.260172714E0
3.715154583E-1,-8.170598021E-1,3.039715987E-1,1.357281425E0,1.613133076E0
3.815454583E-1,-6.948714137E-1,1.498623830E-1,2.198639624E0,2.310697127E0
3.915754583E-1,-4.425263438E-1,8.721648395E-2,2.609392490E0,2.648087130E0
4.016054583E-1,-2.023116150E-1,1.336743665E-1,2.567538121E0,2.578963130E0
4.116354583E-1,1.753258377E-2,3.983380580E-1,2.427815394E0,2.460339039E0
4.216654583E-1,2.809207052E-1,5.982204473E-1,2.499532664E0,2.585429884E0
4.316954583E-1,3.983947760E-1,4.062347227E-1,2.872553447E0,2.928362743E0
4.417254583E-1,3.402351531E-1,2.233712393E-1,3.018844936E0,3.046158141E0
4.517554583E-1,3.584927917E-2,1.289369524E-2,2.772155585E0,2.772417358E0
4.617854583E-1,-5.366270471E-1,-3.097346145E-1,2.566532400E0,2.640263752E0
4.718154583E-1,-8.061562067E-1,-4.875806022E-1,2.871598597E0,3.022201379E0
4.818454583E-1,-6.755609840E-1,-3.658491737E-1,2.921891084E0,3.021204357E0
4.918754583E-1,-4.672749764E-1,-1.489414465E-1,2.803547824E0,2.846121899E0
5.019054583E-1,-3.402114719E-1,1.150258416E-1,2.773462146E0,2.796617075E0
5.119354583E-1,-7.906137228E-2,5.083516663E-1,2.846800848E0,2.892913270E0
5.219654583E-1,5.954804420E-2,7.599059004E-1,2.607967816E0,2.717075464E0
5.319954583E-1,-1.422218263E-2,7.641632581E-1,2.204256167E0,2.333000858E0
5.420264583E-1,-9.354083240E-3,5.996600318E-1,2.302187089E0,2.379021867E0
5.520564583E-1,-8.992316008E-2,4.059061092E-1,2.803739613E0,2.834396190E0
5.620864583E-1,-2.932977989E-1,3.057240093E-1,3.355277352E0,3.381919112E0
5.721160000E-1,-5.371962735E-1,4.067837763E-1,3.762472188E0,3.822335653E0
5.821460000E-1,-6.980514219E-1,6.466073263E-1,3.986610582E0,4.098590093E0
5.921760000E-1,-7.193572140E-1,9.849810183E-1,3.951619089E0,4.135572008E0
6.022060000E-1,-7.822486961E-1,1.268040635E0,3.549192073E0,3.849234268E0
6.122360000E-1,-9.101729107E-1,1.474794087E0,3.508359797E0,3.913057729E0
6.222660000E-1,-1.060425303E0,1.569021383E0,3.449850803E0,3.935454292E0
6.322960000E-1,-1.058411814E0,1.540733723E0,3.147896786E0,3.661058610E0
6.423260000E-1,-7.385910451E-1,1.376008303E0,2.964318773E0,3.350537474E0
6.523560000E-1,-1.172624016E-1,1.134196115E0,2.982884560E0,3.193391863E0
6.623860000E-1,4.591719049E-1,9.489481366E-1,3.084353047E0,3.259536029E0
6.724160000E-1,9.049566096E-1,8.771507603E-1,2.968912053E0,3.225333890E0
6.824460000E-1,1.234725831E0,9.206476128E-1,2.669839836E0,3.082236957E0
6.924760000E-1,1.410031789E0,1.057994615E0,2.170003470E0,2.795792788E0
7.025060000E-1,1.327258019E0,1.172957892E0,1.622667248E0,2.402185060E0
7.125360000E-1,1.012572275E0,1.236031222E0,1.115588228E0,1.948746492E0
7.225660000E-1,4.479487592E-1,1.201490550E0,6.254792896E-1,1.426696175E0
7.325960000E-1,-3.624121803E-1,1.017218472E0,3.005243728E-1,1.120888446E0
7.426270000E-1,-1.243939582E0,6.626830763E-1,2.160470170E-1,1.425907029E0
7.526570000E-1,-2.050123563E0,1.317962408E-1,1.388713717E-1,2.059043984E0
7.626870000E-1,-2.696330647E0,-4.228928554E-1,-1.075887680E-1,2.731412211E0
7.727170000E-1,-2.937025432E0,-8.716274804E-1,-5.706943873E-1,3.116335177E0
7.827470000E-1,-2.522978244E0,-1.185392581E0,-8.833376992E-1,2.924185405E0
7.927770000E-1,-1.703914017E0,-1.305882645E0,-9.914769825E-1,2.364673142E0
8.028070000E-1,-5.939458403E-1,-1.229334991E0,-1.278978729E0,1.870781326E0
8.128370000E-1,7.229357100E-1,-1.364847722E0,-2.222102454E0,2.706138330E0
8.228670000E-1,1.973213673E0,-1.582012727E0,-3.872155429E0,4.624924230E0
8.328970000E-1,3.378351927E0,-1.770566136E0,-4.760295154E0,6.099883288E0
8.429270000E-1,4.645412861E0,-1.958992660E0,-3.935841840E0,6.395964656E0
8.529570000E-1,5.242390190E0,-1.915751331E0,-1.857192636E0,5.882339888E0
8.629870000E-1,4.946463191E0,-1.845883536E0,1.767931965E-1,5.282616772E0
8.730170000E-1,4.360275144E0,-1.635890141E0,1.414595540E0,4.867156914E0
8.830470000E-1,3.057871007E0,-1.546414293E0,1.705437801E0,3.827595898E0
8.930770000E-1,1.769858038E0,-1.657313170E0,1.118716342E0,2.670320331E0
9.031070000E-1,7.189992182E-1,-2.220360861E0,5.150534526E-1,2.390029767E0
