"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.830083333E-3,2.582122246E0,1.957998633E-2,1.500875008E0,2.986697919E0
1.585908333E-2,2.685978152E0,-3.227282971E-1,4.948615551E-1,2.750185474E0
2.588908333E-2,2.862100088E0,-2.984465647E-1,-3.741422796E-1,2.901839022E0
3.591908333E-2,3.126911421E0,-2.079679191E-2,-9.195500904E-1,3.259383364E0
4.594908333E-2,3.342956684E0,4.530913854E-1,-1.391854842E0,3.649371329E0
5.597808333E-2,3.408524729E0,7.596568090E-1,-1.909058023E0,3.979902239E0
6.600808333E-2,3.175547976E0,7.997459042E-1,-2.441253465E0,4.084533871E0
7.603808333E-2,2.705862193E0,7.743040842E-1,-2.784850475E0,3.959372323E0
8.606808333E-2,2.523901520E0,9.992990953E-1,-2.560402763E0,3.731533180E0
9.609708333E-2,2.425127576E0,9.681679344E-1,-1.823890988E0,3.185148543E0
1.061270833E-1,1.972069665E0,5.327152598E-1,-1.073263523E0,2.307539578E0
1.161570833E-1,1.450156113E0,9.116978645E-2,-4.262819016E-1,1.514259206E0
1.261870833E-1,6.434115306E-1,-2.243190730E-1,2.871221890E-1,7.394163885E-1
1.362160833E-1,-3.316343375E-2,-4.146020883E-1,8.883820190E-1,9.809267642E-1
1.462460833E-1,-4.997951433E-1,-4.984435594E-1,1.328270026E0,1.504175000E0
1.562760833E-1,-8.970467155E-1,-7.359662300E-1,1.492981267E0,1.890854877E0
1.663060833E-1,-1.197760611E0,-9.360819232E-1,1.514437625E0,2.145786841E0
1.763350833E-1,-1.483098303E0,-1.003662288E0,1.535555429E0,2.358993226E0
1.863650833E-1,-1.729230706E0,-9.124732053E-1,1.471378729E0,2.446998478E0
1.963950833E-1,-1.943353112E0,-6.405887872E-1,1.303093377E0,2.425907596E0
2.064250833E-1,-2.134666992E0,-1.980878788E-1,9.470910609E-1,2.343720003E0
2.164540833E-1,-2.280095431E0,2.739391297E-1,4.258638257E-1,2.335645054E0
2.264840833E-1,-2.349030303E0,5.187205338E-1,-2.243371993E-1,2.416059092E0
2.365140833E-1,-2.278567408E0,4.934061831E-1,-8.861515255E-1,2.494109785E0
2.465440833E-1,-2.039801911E0,1.458137709E-1,-1.498454261E0,2.535235426E0
2.565730833E-1,-1.633323506E0,-4.100722504E-1,-2.033465722E0,2.640243884E0
2.666030833E-1,-1.201033882E0,-8.430305028E-1,-2.447122316E0,2.853347235E0
2.766330833E-1,-8.400506886E-1,-9.090373814E-1,-2.757387273E0,3.022452430E0
2.866630833E-1,-4.965793940E-1,-6.647676086E-1,-2.917827854E0,3.033517175E0
2.966920833E-1,-1.832940212E-1,-2.443674213E-1,-2.828434451E0,2.844881997E0
3.067220833E-1,1.484553967E-1,2.125398570E-1,-2.481177084E0,2.494684734E0
3.167520833E-1,5.248530205E-1,4.751424050E-1,-1.940474090E0,2.065592092E0
3.267820833E-1,8.248747520E-1,4.135852575E-1,-1.345469465E0,1.631489872E0
3.368110833E-1,1.052073798E0,9.830163538E-2,-8.004547329E-1,1.325613167E0
3.468410833E-1,1.279469895E0,-3.631068295E-1,-3.538574114E-1,1.376264818E0
3.568710833E-1,1.542854654E0,-8.452986377E-1,-4.810679734E-2,1.759899013E0
3.669010833E-1,1.842150966E0,-1.229572388E0,1.341468215E-1,2.218865432E0
3.769300833E-1,2.150254499E0,-1.391998683E0,2.325116068E-1,2.572025737E0
3.869600833E-1,2.439120109E0,-1.283958510E0,2.158470422E-1,2.764859184E0
3.969900833E-1,2.629395230E0,-9.351288271E-1,-6.179936841E-2,2.791416193E0
4.070200833E-1,2.703209896E0,-5.198794520E-1,-5.376541105E-1,2.804762081E0
4.170490833E-1,2.724206663E0,-2.200839347E-1,-1.092376243E0,2.943301673E0
4.270790833E-1,2.684488866E0,-1.150626791E-1,-1.677723607E0,3.167724166E0
4.371090833E-1,2.651559394E0,-1.384755152E-1,-2.299007958E0,3.512176003E0
4.471390833E-1,2.606352815E0,-3.241649580E-1,-2.941013233E0,3.943059314E0
4.571680833E-1,2.615760693E0,-7.208312970E-1,-3.547661857E0,4.466285528E0
4.671980833E-1,2.646921090E0,-1.238937873E0,-3.989765155E0,4.945642961E0
4.772280833E-1,2.733381236E0,-1.834610689E0,-4.214916579E0,5.348148383E0
4.872580833E-1,2.958313682E0,-2.480874199E0,-4.120193147E0,5.646445626E0
4.972870833E-1,3.209437561E0,-2.880615004E0,-3.688149399E0,5.674581769E0
5.073170833E-1,3.449274560E0,-3.120507551E0,-3.098179958E0,5.588719121E0
5.173470833E-1,3.681325114E0,-3.272214146E0,-2.392844367E0,5.475878393E0
5.273770833E-1,3.887382748E0,-3.222927965E0,-1.657426752E0,5.314703447E0
5.374060833E-1,4.170943471E0,-3.018522754E0,-1.116040071E0,5.268187022E0
5.474360833E-1,4.474312221E0,-2.841322884E0,-8.811866547E-1,5.372995022E0
5.574660833E-1,4.514570009E0,-2.496848792E0,-9.115535845E-1,5.238943232E0
5.674960833E-1,4.154402282E0,-1.964591954E0,-1.129364706E0,4.732245187E0
5.775259583E-1,3.415387899E0,-1.501476102E0,-1.378804441E0,3.977487482E0
5.875559583E-1,2.406358452E0,-1.108654307E0,-1.624962280E0,3.108082654E0
5.975859583E-1,1.339028172E0,-8.294930291E-1,-1.865514393E0,2.441556692E0
6.076149583E-1,3.353438842E-1,-8.120958084E-1,-1.813786415E0,2.015384897E0
6.176449583E-1,-4.764493308E-1,-9.134520292E-1,-9.867433691E-1,1.426555660E0
6.276749583E-1,-9.425043587E-1,-9.328039742E-1,4.775403482E-1,1.409426303E0
6.377049583E-1,-1.089990360E0,-8.700218350E-1,1.924806329E0,2.376951069E0
6.477339583E-1,-1.036548929E0,-6.971547514E-1,2.888869518E0,3.147383917E0
6.577639583E-1,-8.393968968E-1,-5.214611238E-1,3.435732701E0,3.575020006E0
6.677939583E-1,-7.031775297E-1,-3.019484621E-1,3.780782744E0,3.857453780E0
6.778239583E-1,-6.200258839E-1,1.012357682E-1,4.021198032E0,4.069977198E0
6.878539583E-1,-3.829036745E-1,3.829552031E-1,3.957369826E0,3.994251601E0
6.978829583E-1,4.526329637E-3,2.650045842E-1,3.441248964E0,3.451440620E0
7.079129583E-1,3.421361560E-1,-5.197063744E-2,2.761056401E0,2.782658898E0
7.179429583E-1,4.514059985E-1,-2.775556326E-1,2.269687972E0,2.330726924E0
7.279719583E-1,3.290821375E-1,-3.297993350E-1,2.080662693E0,2.132186647E0
7.380019583E-1,2.938355235E-1,-1.263934135E-1,2.175579375E0,2.198967991E0
7.480319583E-1,4.285772992E-1,1.125267416E-1,2.199078165E0,2.243275629E0
7.580619583E-1,5.933304939E-1,3.157519841E-1,2.121925470E0,2.225827507E0
7.680919583E-1,6.155448702E-1,5.998418802E-1,2.061233711E0,2.233246556E0
7.781209583E-1,5.107045128E-1,7.484570521E-1,2.035740874E0,2.228283636E0
7.881509583E-1,3.463724638E-1,7.677727443E-1,2.078751823E0,2.242912841E0
7.981809583E-1,9.853793599E-2,5.885128999E-1,2.185771218E0,2.265756601E0
8.082109583E-1,-2.014446922E-1,2.632679611E-1,2.251066637E0,2.275344147E0
8.182399583E-1,-4.306487484E-1,-1.028735733E-1,2.329646783E0,2.371348867E0
8.282699583E-1,-5.846647011E-1,-3.619911808E-1,2.332341765E0,2.431602051E0
8.382999583E-1,-7.854943393E-1,-5.008262998E-1,2.346603124E0,2.524752376E0
8.483299583E-1,-9.394244841E-1,-4.779291880E-1,2.303579311E0,2.533261201E0
8.583589583E-1,-1.075977727E0,-2.442732811E-1,2.305795844E0,2.556187000E0
8.683889583E-1,-1.106880700E0,7.072382748E-2,2.379812093E0,2.625584191E0
8.784189583E-1,-1.218206716E0,3.706795585E-1,2.465046955E0,2.774506700E0
8.884489583E-1,-1.479139738E0,6.580690384E-1,2.352558221E0,2.855772996E0
8.984779583E-1,-1.791226687E0,8.823869419E-1,2.114273804E0,2.908135739E0
9.085079583E-1,-2.226925676E0,9.589924836E-1,1.911096655E0,3.087256869E0
9.185379583E-1,-2.669626413E0,9.890746540E-1,1.759718089E0,3.346906274E0
9.285679583E-1,-2.959047216E0,1.002184111E0,1.513410269E0,3.471418163E0
9.385969583E-1,-3.131657022E0,1.028908811E0,1.162666208E0,3.495385780E0
9.486269583E-1,-3.235802364E0,1.064331828E0,8.116613603E-1,3.501715772E0
9.586569583E-1,-3.272775771E0,1.175526574E0,5.268966955E-1,3.517178429E0
9.686869583E-1,-3.165557716E0,1.312718625E0,3.773065004E-1,3.447658051E0
9.787159583E-1,-2.916713374E0,1.509206706E0,4.092197263E-1,3.309438407E0
9.887459583E-1,-2.632270306E0,1.646929684E0,4.768614864E-1,3.141436173E0
9.987759583E-1,-2.358140850E0,1.706712202E0,6.419795474E-1,2.980911362E0
1.008805958E0,-2.048817879E0,1.726345398E0,8.651163134E-1,2.815377305E0
1.018834958E0,-1.693516059E0,1.718154618E0,1.022806072E0,2.620340473E0
1.028864958E0,-1.319639243E0,1.709671478E0,9.230297685E-1,2.348703525E0
1.038894958E0,-9.702169450E-1,1.639325965E0,7.530813226E-1,2.048375458E0
1.048924958E0,-6.309256786E-1,1.436662055E0,5.437653279E-1,1.660646201E0
1.058953958E0,-2.060535407E-1,1.103541502E0,1.033854970E-1,1.127364390E0
1.068983958E0,2.091606049E-1,8.585221159E-1,-4.128640035E-1,9.753281846E-1
1.079013958E0,5.535746169E-1,8.470381844E-1,-6.802940127E-1,1.219310660E0
1.089043958E0,8.861983033E-1,9.575575769E-1,-7.570439807E-1,1.508436122E0
1.099072958E0,1.197882233E0,1.053168908E0,-8.621099675E-1,1.813096851E0
1.109102958E0,1.728746995E0,9.883063298E-1,-1.566410601E0,2.533566211E0
1.119132958E0,2.680156079E0,7.028405839E-1,-3.183636430E0,4.220516842E0
1.129162958E0,3.934088260E0,1.914816946E-1,-4.761741170E0,6.179635478E0
1.139191958E0,4.971233166E0,-8.779927593E-1,-4.986940541E0,7.096027511E0
1.149221958E0,5.171580994E0,-2.623701212E0,-4.966358342E0,7.635035901E0
1.159251958E0,4.228491767E0,-4.041647499E0,-4.894546055E0,7.627033383E0
1.169281958E0,2.663249440E0,-3.559238175E0,-2.678375017E0,5.189871549E0
1.179310958E0,1.384075998E0,-9.410818774E-1,-3.014227974E-1,1.700634344E0
1.189340958E0,3.921587205E-1,2.279807163E0,1.046646047E0,2.539050435E0
1.199370958E0,-5.535029885E-1,4.119880906E0,1.898733302E0,4.570007920E0
1.209400958E0,-1.464526084E0,4.510639803E0,2.281533262E0,5.262708628E0
1.219429958E0,-2.388596950E0,3.901100315E0,2.038597970E0,5.007979706E0
1.229459958E0,-2.977799529E0,1.857455760E0,1.204251751E0,3.710478974E0
1.239489958E0,-3.026581387E0,-1.688768851E0,-9.443321984E-1,3.592199664E0
1.249519958E0,-2.540327810E0,-6.664493848E0,-6.832334665E0,9.876717097E0
1.259548958E0,-1.861435375E0,-1.172948887E1,-9.811802112E0,1.540510667E1
1.269578958E0,-1.840346223E0,-1.376142905E1,-5.918165767E0,1.509266345E1
1.279608958E0,-1.396070684E0,-1.282885546E1,-2.814477732E0,1.320794574E1
1.289638958E0,-6.907377246E-1,-7.425335303E0,6.998181581E-1,7.490158104E0
1.299667958E0,-1.421749609E0,-7.427998710E-1,3.016092359E0,3.416128908E0
1.309697958E0,-2.417867234E0,2.316122466E0,3.276386719E0,4.684572037E0
1.319727958E0,-2.995162543E0,3.932416248E0,3.464278808E0,6.036234245E0
1.329757958E0,-3.013605246E0,4.904131688E0,3.453343345E0,6.712518488E0
1.339786958E0,-2.821585023E0,5.193989278E0,2.814345585E0,6.546709688E0
1.349816958E0,-2.365694868E0,5.055396819E0,2.050807979E0,5.946373901E0
1.359846958E0,-1.652412911E0,4.490685010E0,1.738698810E0,5.091148578E0
1.369876958E0,-8.726688695E-1,3.387671512E0,1.924535018E0,3.992706383E0
1.379905958E0,-2.381244222E-1,2.061313671E0,2.578434992E0,3.309689457E0
1.389935958E0,1.634888075E-1,9.795951480E-1,3.502607306E0,3.640685813E0
1.399965958E0,3.534049831E-1,2.847190565E-1,4.281241254E0,4.305227833E0
1.409995958E0,3.897525182E-1,-1.296766251E-1,4.578228353E0,4.596618095E0
1.420024958E0,5.029427726E-1,-3.323662627E-1,4.419034399E0,4.459964549E0
1.430054958E0,5.774382003E-1,-4.111457992E-1,4.165076959E0,4.224966487E0
1.440084958E0,4.755150189E-1,-4.681251615E-1,3.866778914E0,3.923931048E0
1.450114958E0,2.732686003E-1,-5.678932786E-1,3.503656297E0,3.559885665E0
1.460143958E0,2.156981575E-1,-8.905695355E-1,3.046140908E0,3.180976929E0
1.470173958E0,1.350287278E-1,-1.015079561E0,1.984060843E0,2.232737490E0
1.480203958E0,-3.286822245E-2,-9.722364271E-1,8.360161829E-1,1.282671840E0
1.490233958E0,-5.198028535E-2,-8.767613357E-1,7.363400498E-2,8.813820719E-1
1.500262958E0,-1.911418252E-2,-6.753867370E-1,-4.598390722E-1,8.172909940E-1
1.510292958E0,2.705587082E-2,-3.552873480E-1,-9.479201961E-1,1.012676561E0
1.520322958E0,1.508295856E-1,1.019245702E-1,-1.417657435E0,1.429297305E0
1.530352958E0,3.869449776E-1,5.425818515E-1,-1.743176023E0,1.866221887E0
1.540381958E0,6.742311079E-1,8.067496991E-1,-1.857206084E0,2.134161920E0
1.550411958E0,8.915160535E-1,8.903391552E-1,-1.696900574E0,2.113522236E0
1.560441958E0,1.058116384E0,8.413488436E-1,-1.297172633E0,1.873535427E0
1.570471958E0,1.092311412E0,8.179979879E-1,-7.221130067E-1,1.543927500E0
1.580501000E0,1.035405213E0,7.931403047E-1,-1.028665566E-1,1.308326040E0
1.590530000E0,9.740622202E-1,7.475203282E-1,4.883910263E-1,1.321404421E0
1.600560000E0,9.626082556E-1,6.340627098E-1,9.347066581E-1,1.484023824E0
1.610590000E0,9.637651272E-1,3.615011841E-1,1.184918956E0,1.569572954E0
1.620619000E0,9.438716570E-1,7.652134180E-2,1.237792988E0,1.558486671E0
1.630649000E0,8.416064134E-1,-2.359351516E-2,1.128403863E0,1.407889657E0
1.640679000E0,6.585747495E-1,8.698434949E-2,7.938769808E-1,1.035146192E0
1.650709000E0,4.718455256E-1,2.500591010E-1,2.529938185E-1,5.909091522E-1
1.660739000E0,2.561713051E-1,3.269488174E-1,-2.718716273E-1,4.964206367E-1
1.670768000E0,-2.002024513E-2,2.896102524E-1,-6.848178573E-1,7.438080439E-1
1.680798000E0,-3.693067785E-1,2.372449279E-1,-1.007157241E0,1.098652976E0
1.690828000E0,-7.303363846E-1,1.941322374E-1,-1.242538589E0,1.454297323E0
1.700858000E0,-9.949502286E-1,2.158844644E-1,-1.451198233E0,1.772712151E0
1.710887000E0,-1.142163969E0,3.037453115E-1,-1.635829330E0,2.018102412E0
1.720917000E0,-1.109286391E0,4.768176323E-1,-1.708082204E0,2.091749547E0
1.730947000E0,-9.183422749E-1,6.064509881E-1,-1.542638161E0,1.894958530E0
1.740977000E0,-6.213719860E-1,7.183678651E-1,-1.204614790E0,1.534031397E0
1.751006000E0,-3.107532725E-1,7.469876468E-1,-6.843920338E-1,1.059693633E0
1.761036000E0,-6.319972631E-2,5.436969155E-1,-1.090638743E-1,5.581177922E-1
1.771066000E0,1.564519575E-1,2.199664056E-1,3.348694557E-1,4.301162482E-1
1.781096000E0,2.803942731E-1,-9.310989261E-2,6.673093933E-1,7.297891660E-1
1.791125000E0,3.401726976E-1,-3.395226699E-1,8.907613242E-1,1.012150604E0
1.801155000E0,3.800148210E-1,-4.853235769E-1,9.891742028E-1,1.165510979E0
1.811185000E0,4.470861487E-1,-5.492605412E-1,9.404597336E-1,1.177301014E0
1.821215000E0,5.745678753E-1,-5.720693600E-1,7.371457596E-1,1.095799008E0
1.831244000E0,6.247755772E-1,-4.665926063E-1,4.336488086E-1,8.922468668E-1
1.841274000E0,6.667813897E-1,-3.098913199E-1,1.086034061E-1,7.432528181E-1
1.851304000E0,6.518885314E-1,-1.858028787E-1,-2.031593151E-1,7.076404981E-1
1.861334000E0,5.804416227E-1,-2.584972179E-1,-4.095395690E-1,7.559470534E-1
1.871363000E0,4.935001040E-1,-5.637715763E-1,-5.583184630E-1,9.343983353E-1
1.881393000E0,3.281907660E-1,-9.120937210E-1,-7.569716214E-1,1.229890308E0
1.891423000E0,1.364839901E-1,-1.107310617E0,-1.136917993E0,1.592905272E0
1.901453000E0,1.028749620E-1,-1.147911344E0,-1.711388366E0,2.063282300E0
1.911482000E0,3.404676531E-1,-1.163899385E0,-2.355009373E0,2.648895836E0
1.921512000E0,8.692244209E-1,-1.277679770E0,-2.859620576E0,3.250453280E0
1.931542000E0,1.590891139E0,-1.457307989E0,-3.156983067E0,3.823770819E0
1.941572000E0,2.256603950E0,-1.678742630E0,-3.249618165E0,4.297726891E0
1.951601000E0,2.764115664E0,-1.919460804E0,-3.176339105E0,4.627504218E0
1.961631000E0,3.034239778E0,-2.247375582E0,-3.039532385E0,4.847273992E0
1.971661000E0,3.113590002E0,-2.546442536E0,-2.879859836E0,4.946959164E0
1.981691000E0,3.126409146E0,-2.960813659E0,-2.695171144E0,5.079842435E0
1.991720000E0,3.188134985E0,-3.446340135E0,-2.418795772E0,5.281291319E0
2.001750000E0,3.309897112E0,-3.677517407E0,-2.103831700E0,5.376398515E0
2.011780000E0,3.508834006E0,-3.663174772E0,-1.836440282E0,5.394745444E0
